Reaction_ID,MaxBiomass.2,minFlux.2,maxFlux.2
EX_gln__L_e,0.0,0.0,0.0
EX_hco3_e,-1.99,-1.99,-0.74996580637489
EX_mn2_e,0.0,0.0,0.0
EX_arg__L_e,0.0,0.0,0.0
ADPT,7.32258414045658e-05,7.32243671563992e-05,7.32258414045658e-05
O2tcx,0.0269901702462529,0.0269898397544983,4.84839026400873
AOXPBDC,1.00122343747697e-05,1.00120328e-05,1.00122343747697e-05
DNTPPA,2.91720101555775e-05,2.91714228399971e-05,2.91720101555607e-05
CBMD,0.0,0.0,0.0
H2Otu_syn,-8.09908332333717,-500.0,-7.37984742638979
DTMPK,0.000204147036586787,0.000204142926577333,0.000204147036586787
BIOMASS__1,0.0367017389104462,0.036701,0.0367017389104462
ATPM,0.0,0.0,1000.0
ACOATA,0.0128679673914039,0.0,0.0128679673914036
5DOAN,3.97303664053362e-05,3.97295665199992e-05,3.97303664053362e-05
3HAD160,0.0128579551570291,0.0128576962897569,0.0128579551570294
RNDR3,0.00025358284753134,0.000253577742187,0.000457729884118135
Htex,2.61568394161737,1.27725681042235,2.62202526893677
G5SD,0.0134928261675072,0.01349255451852,0.0134928261675072
HISTDa,0.00509427880143903,0.00509417623911,0.00509427880143903
TRPS3,0.0,0.0,0.00256259101630954
DMBZIDS2,1.95693671870499e-06,1.95689732e-06,1.95693671870499e-06
HSTPT,0.00509427880143903,0.00509417623914032,0.00509427880143903
ZCAROTDH2,0.0,0.0,0.000218629322550419
ORNDC,4.91509687488695e-05,0.0,4.91509687488695e-05
GND,0.0,0.0,474.907941789049
CMPA_1,0.0,0.0,4.91509687488701e-05
U23GAAT2,0.0,0.0,0.0
HOXGfx,0.00110839251509547,0.0011083702,0.0011083925150955
PGK,5.06535391557106,5.06529440856925,966.934679047296
IMPD,0.00834136668077533,0.00834119874532698,0.00834136668077436
LPOR,0.000491803301399979,0.0004917934,0.000491803301399979
CHRPL,6.82652343734299e-06,6.82638599980301e-06,6.82652343734306e-06
GCALDDy,2.91720101555775e-05,2.91714228399971e-05,2.91720101555607e-05
MSBENZMT,6.82652343734299e-06,6.82638599980301e-06,6.82652343734306e-06
DESAT18a,0.000545534096638789,0.000545523113487434,0.000545534096638796
FUM,-0.0345537428851399,-0.0345615956262435,159.585120992679
PHYFXOR,0.00110839251509547,0.0011083702,0.0011083925150955
TMPPP_1,9.69366328102705e-06,9.69346811999922e-06,9.69366328102705e-06
VPAMTr,0.264759486688007,0.0,1000.0
RNDR1,0.000204147036586787,0.000204142926526,0.000204147036586787
TALA,1.16610784900972,-998.833905036425,999.051363593512
GLYCL,0.0160612850764768,0.0,97.4083496381017
ACONT,0.0,0.0,159.619641000646
NDPK7,0.00025358284753134,0.000253577742228117,0.000457729884118135
GTPCI,0.000712415985921113,0.000712401642959997,0.000712415985920704
AIRC2,0.00954139154656915,0.00954119945120306,0.00954139154656416
IGPS,0.00256259101630951,0.00256253942406,0.00256259101630951
MTAP,3.34954749992296e-05,3.349480064e-05,3.34954749992296e-05
HEMEAS_1,0.0,0.0,0.0
DHORD3um,0.00751310297724593,0.00751295171710301,0.00751310297724603
MTHFC,0.0233617310764018,0.0146353756903123,191.886169743499
HBZNPT,6.82652343734299e-06,6.82638599980301e-06,6.82652343734306e-06
GCATENEC,0.000218629322550415,0.000218624920876209,0.000218629322550416
COCHL_1,1.95693671870499e-06,1.95689732e-06,1.95693671870499e-06
HSDy,-0.0111109835079665,-0.0111109835079666,-0.0111107598122544
TRPS1,0.00256259101630951,0.0,0.00256259101630951
HISTDb,0.00509427880143903,0.00509417623911,0.00509427880143903
UPPDC1,0.00160988947977648,0.00160985706812,0.00160988947977651
GARFT,0.0087260607283936,0.0,0.00955108520986173
H4THDPR,0.0116291236101912,0.01162888948284,0.0116291236101902
UDPG4E,0.00595477544014908,0.00595465555352348,0.00595477544014908
GLCS3,0.00838527461143827,0.00838523866878,999.9934
AICART,0.0146356703480082,0.0146353756903149,0.0146356703480077
ASPTA,-0.0815890164421151,-487.04303022351,-0.0815873738230347
GLYOX,0.0,0.0,0.0
PRAGSr,0.00955108520985018,0.00955089291932306,0.00955108520984751
SQD1,0.000562118070979385,0.000562106753943,0.000562118070979385
ACKr,-0.140063513820708,-159.759701694587,0.0
UDCPDPS,4.36897499989951e-06,4.3688870400003e-06,4.3689749998996e-06
GK1,0.00834332361749403,0.00834315564259214,980.584910208244
