WT100_0A,WT100_0B,WT205_0A,WT205_0B,WT205_5A,WT205_5B,WT205_10A,WT205_10B,WT205_20A,WT205_20B,WT205_30A,WT205_30B,WT205_40A,WT205_40B,WT205_50A,WT205_50B,WT205_60A,WT205_60B,WT205_70A,WT205_70B,WT205_80A,WT205_80B,AD205_0B,AD205_0A,AD205_50A,AD205_50B,AD205_60A,AD205_60B,AD205_70B,AD205_70A,AD205_80A,AD205_80B
SYNPCC7942_RS00005,1025.48516551949,1077.14333243841,1379.0666461447,1273.21610809504,950.393966513641,853.162525081945,1053.88142920195,1073.67704733235,1081.61126893846,1190.17629923949,1458.47250480688,1577.5138975319,1379.90005124189,1349.29391858589,902.386075468608,1058.03117896824,1113.81942247805,968.475300192375,1296.30477630204,1333.62494242693,1051.02307026784,1030.73087329768,1588.69886469554,1450.8056218152,1599.53389503991,1470.77072005233,1501.43056735833,1592.17024242351,1474.55911356768,1523.8222774345,1409.23318017026,1457.54808223209
SYNPCC7942_RS00010,164.178659504352,170.956155980792,233.043071416103,232.849432381345,261.123094759936,253.16829646514,211.279331868649,277.409380650464,290.265903711203,258.973546593777,205.376740472806,227.983744852414,246.986001389598,248.527664348036,297.73642264049,331.084586615911,356.191883259228,325.428528290449,422.194500923768,389.956929055118,557.779787291265,635.113313681442,252.428823394247,247.321506306396,248.731347314818,253.870552248691,259.89894005331,302.697482135168,263.314127422801,264.767641550541,285.013452169265,272.580420573274
SYNPCC7942_RS00015,2784.7226477469,2752.03546201246,3720.46409307826,3785.23707812039,3140.53451805869,2994.11754085362,3481.07851555012,3543.3911167344,3740.61644527101,3747.9533275125,3619.39299152075,3851.50560900854,3953.92372659348,4051.90649526129,3470.87254338434,3729.32855793761,3143.20828160164,3211.76262187453,3001.08654266751,3228.59357810225,2357.11899092232,2278.07053440177,4408.4890942781,3829.06689227938,3707.05373401892,3382.14322499909,3586.23141742626,3784.18136687635,3396.75224375413,3561.21866808937,3507.24886974957,3467.82868395998
SYNPCC7942_RS00020,5397.68915939694,5636.77115698904,5620.45054591778,5386.5070663192,2987.62459770377,3147.77459940182,4218.0409469491,4487.3535925589,4702.5195130439,4825.72408737936,5971.80000437593,5586.85440682289,5869.6760156328,6003.90515451307,5497.92736601891,5242.85809675321,5852.07634527978,5179.08655156639,4330.92301218371,4333.24025257866,5047.67658747054,4682.0193832269,5770.80337926292,5048.00860193234,5888.23631816424,5572.56352704564,5858.94481048236,5921.57734929257,5489.67485655987,5773.24903508609,6462.06425813402,6519.2150587108
SYNPCC7942_RS00025,248.793814787365,248.663499608424,389.319013424549,360.17104319085,494.016665762041,519.507197948697,418.785818525358,412.261162911107,592.184818155337,641.372783479057,716.338196238481,637.185338177259,609.948038214313,681.187160986316,759.635735846455,655.999895220346,728.013433451308,617.880299047465,833.719826733939,713.995871882057,529.35299372408,531.304573864784,423.719810697486,390.856309073501,706.971021790963,541.310764298861,594.588941992466,635.016736222401,693.960135820736,762.38058489021,689.662180557728,672.365037414075
SYNPCC7942_RS00030,26.52116807378,33.4739326395956,13.7084159656531,17.2056230823654,28.2295237578309,13.1706050184177,18.8642260597008,23.1174483875387,24.3653860779477,25.3463471134335,27.7804286629882,23.3829481899912,17.1816348792764,22.1360672698655,30.5893584904613,23.6488990439937,32.9045619639009,22.5630446281378,23.6246020372505,37.469171119175,28.4267935671857,30.2434911276877,25.0425420033975,30.9151882882995,29.6564298721513,22.0300892447211,40.2001957636415,37.9528953135838,39.0724189078994,30.9834474154888,40.4648728388463,56.7875876194321
SYNPCC7942_RS00035,54.3052489129781,59.7748797135635,60.3170302488737,50.4698277082719,42.3442856367464,38.048414497651,45.2741425432819,26.9703564521285,36.0183968108792,48.4886640430902,64.490280824794,66.8084233999747,46.1756437380553,57.3525379264698,31.6090037734767,63.7492061185916,50.1794569949489,39.0514233948538,58.6804631247836,70.0812274636421,74.5242966491085,58.8521989511761,71.120819289649,59.6221488417205,79.4026993351149,46.1582822270347,49.5490784993721,72.2030691331593,52.6628254845601,49.7612943339669,51.0209266228931,64.3592659686897
SYNPCC7942_RS00040,198.277304170641,178.129141546419,150.792575622184,137.644984658923,110.565634718171,73.1700278800982,95.5787453691508,105.312820432121,100.639638148045,88.1612073510731,123.027612650376,122.760477997454,123.493000694799,134.828773370999,109.102045282645,119.272708221881,101.181528038995,122.361126637209,125.743849553108,162.366408183092,182.853428891627,163.478330419934,130.221218417667,77.2879707207488,129.148968798078,92.3165644540694,112.186592828767,130.520932663788,156.289675631598,153.039452385596,207.602391086255,193.077797906069
SYNPCC7942_RS00045,2563.71291379873,2602.59826272855,3438.0707241858,3655.62138423324,3492.227334875,3955.57170719811,3815.60412434215,3666.68417480127,3959.90491997254,4034.47725140348,2974.49018327281,2967.96420954388,3712.30698610366,3727.91496522053,2845.82998489592,2860.48857132132,2087.79445660951,1923.06564984436,1352.69898761677,1377.3389753993,1003.38898374985,992.313465648997,3465.88781327022,3156.66154700887,2924.50664900538,2749.56494811495,2397.9884217149,2453.05298978041,2413.14656776831,2539.70379572416,2091.85799153862,1965.60769946727
SYNPCC7942_RS00050,381.399655156265,401.687191675147,245.380645785191,278.73109393432,281.119007421733,222.436884755498,260.326319623871,276.125077962268,271.197340693678,281.013848431546,420.675062610964,402.520750984848,307.121723467066,331.03482417208,271.22564528209,349.592420650341,336.449146080887,290.716151939467,298.736903180717,358.732619789138,370.316608091446,322.869702579369,389.661953572865,310.255996750434,468.762923785618,354.57953165313,429.113717570034,444.326579280981,411.109798943985,368.04579960217,389.694318861063,426.285491063203
SYNPCC7942_RS00055,453.385682785096,361.040273469924,230.301388222972,235.143515458994,267.004245542817,297.070313193199,233.91640314029,172.096560218344,228.822756210291,175.220399610258,223.235587470441,188.733796104929,142.822339933985,137.847327998708,189.65402264086,172.739784321345,300.254127920596,219.555780419956,314.740665851112,303.22273664962,407.962902275016,376.000159965847,135.229726818347,185.491129729797,174.111943120372,184.633128908139,224.373185657534,227.717371881503,287.097338931957,260.073179820921,292.05082135863,318.767658503745
SYNPCC7942_RS00060,2577.60495421833,2968.42052657556,3518.95037838316,3598.26930729202,2959.39507394594,2521.43916074818,3437.06198807749,3210.75672049148,2927.02442318997,2942.38029534207,2386.14039051738,2648.953987809,2813.49271148151,2549.67247553815,1599.82344905113,1797.31632734352,1224.04970505711,1341.63334596542,1158.36758376196,1299.62513900398,908.88910243191,850.087318183655,2899.92636399343,2666.43498986583,2641.33557667774,1951.23647596101,1929.60939665479,1745.83318442485,1933.23533552998,1797.03995009835,1593.96412139108,1627.91084509039
SYNPCC7942_RS00065,6221.10828244954,6849.00571758011,4870.60019259655,5744.3840264324,3700.420072589,3125.82359103779,3266.02633846953,3756.58536297504,2314.71167740503,2379.25058338709,1696.59046477535,2010.09843904674,1133.98790203224,978.011699377695,795.323320751993,920.250636711928,920.505120940129,1064.80214456635,816.953980126858,865.260303437245,663.804044379688,675.982896286425,4264.24405233853,4289.48237500156,1161.38406015457,945.195733785415,1044.27020158111,1224.6751341432,1065.14811544578,974.570255069013,991.389384551734,884.372031193289
SYNPCC7942_RS00070,2141.90005014909,1943.87908828508,1291.33278396452,1244.54006962443,1343.25483881012,1849.73830480888,1349.42097080393,1168.7154462589,783.929812942664,633.658677835838,549.655624260552,596.265178844774,387.660636963674,367.257479704587,377.268754715689,303.322835564267,495.213657556709,463.410224285599,393.235311329719,419.099617703365,356.487357166869,379.269726574246,755.283066822469,972.724317213996,460.152992532413,610.548187639414,540.365422125228,451.732022268997,456.977421140215,456.301680119017,458.308668457368,480.801575177858
