WT100_0A,WT100_0B,WT205_0A,WT205_0B,WT205_5A,WT205_5B,WT205_10A,WT205_10B,WT205_20A,WT205_20B,WT205_30A,WT205_30B,WT205_40A,WT205_40B,WT205_50A,WT205_50B,WT205_60A,WT205_60B,WT205_70A,WT205_70B,WT205_80A,WT205_80B,AD205_0B,AD205_0A,AD205_50A,AD205_50B,AD205_60A,AD205_60B,AD205_70B,AD205_70A,AD205_80A,AD205_80B
SYNPCC7942_RS00005,93.5513170016844,99.0207559548889,125.270440790786,114.932831316011,85.9431160472119,76.8758493032112,94.6608688389036,96.5909719161166,96.9215376196655,106.145627840987,134.604841857742,145.051932238575,125.313257832596,123.697160520657,81.7154109674496,96.946263373524,102.103531067967,88.869054637686,117.698383236362,123.708991761814,94.759090120283,92.7822686072255,145.463712390826,132.712429188391,148.030466373505,133.304971558421,136.713361172928,147.745104665391,133.994462703123,138.856619283759,127.770682798923,132.476353889715
SYNPCC7942_RS00010,14.9774275987918,15.7158358507759,21.168961167429,21.0192475289641,23.6130838644567,22.8122160024966,18.977357953384,24.9565190596665,26.0102853161492,23.0965023542888,18.9545593636412,20.9630373219328,22.4296103513596,22.7838916096959,26.9614689293732,30.3369259536198,32.6520154744681,29.8619135207278,38.3332770799203,36.1729726171382,50.288815370852,57.1703590069899,23.1127714517579,22.6237322208521,23.0190916609517,23.0098453046633,23.6652019963101,28.0887495497575,23.9275826255577,24.126658433777,25.8412616896699,24.7747986495052
SYNPCC7942_RS00015,254.040214271815,252.991986912491,337.956238872954,341.692201209761,283.995197829277,269.79071642259,312.674564374803,318.773315211203,335.190939603368,334.260444710366,334.039770814315,354.144791680418,359.068805711766,371.460451466581,314.304247382145,341.714380229127,288.137069579545,294.717178507236,272.484558015751,299.489041970719,212.515269363325,205.062793503836,403.648044282486,350.263854204978,343.073000716107,306.544385381135,326.545736898725,351.152318530301,308.665815869695,324.512111486937,317.991081347882,315.190493929816
SYNPCC7942_RS00020,492.411735055664,518.182979275584,510.545534037993,486.238356630618,270.167716287028,283.636281048383,378.869396283631,403.694803678124,421.385607731337,430.381207699704,551.147308259694,513.7095959111,533.044566002312,550.410855202655,497.863837216371,480.397470302817,536.458286571285,475.24239971121,393.227461453406,401.957676145957,455.092998603991,421.456649153202,528.383636244354,461.766534436321,544.932727589068,505.075612637899,533.488564427609,549.491531711922,498.851504867676,526.080931593245,585.894778926898,592.530601033999
SYNPCC7942_RS00025,22.6965633612461,22.8593976011286,35.3646174797049,32.5125306605652,44.673401905729,46.8111946872041,37.6158345147433,37.0881602692266,53.0647791668883,57.2006994476428,66.1120379736666,58.5890017459147,55.3913855633577,62.4481563553205,68.788679288983,60.1085675727,66.7367983716035,56.6978198046885,75.6978431867018,66.2312968381408,47.7258867637975,47.825911653209,38.7964377940222,35.7535768133109,65.4273412978588,49.0623147818441,54.1405340635008,58.9262452328245,63.0607580809053,69.4710874050601,62.5294727305592,61.1111700021128
SYNPCC7942_RS00030,2.41943061211253,3.07722660015193,1.24523300984876,1.55314636913528,2.55276582318451,1.18676268221081,1.69440696012357,2.07970992163888,2.18334511777895,2.26050874105805,2.56390174967128,2.15005510994182,1.56032072009458,2.02933447535753,2.77001393109999,2.16692328240141,3.01635246877304,2.07042600410379,2.14500286909301,3.47569487780331,2.56292860705444,2.7223980479519,2.29293367576963,2.82796652760651,2.74458400572885,1.99672211321459,3.66044491309832,3.52183098330292,3.55054451863115,2.82333236991008,3.66882110408894,5.16141638531358
SYNPCC7942_RS00035,4.95407220575422,5.4950475002713,5.47902524333456,4.55589601613015,3.82914873477677,3.42842552638678,4.06657670429658,2.42632824191202,3.22755365236888,4.32445150463279,5.95191477602261,6.14301459983379,4.19336193525419,5.25782114069906,2.86234772880332,5.84127145690815,4.59993751487888,3.58342962248734,5.32791035226329,6.50083671589138,6.7190290509265,5.29763944466316,6.51193163918576,5.45393544609828,7.34840233791919,4.18360823721151,4.5117111719584,6.70006869994215,4.78551652511154,4.53444289712831,4.62590487037301,5.84960523668872
SYNPCC7942_RS00040,18.0881241000794,16.3752415508085,13.6975631083364,12.4251709530822,9.99833280747267,6.59312601228227,8.58499526462611,9.47423408746599,9.01816461691305,7.86263909933235,11.3544220342585,11.2877893271946,11.2148051756798,12.3604918044504,9.87971635425661,10.9288304677636,9.27528384147709,11.2280794837937,11.4169507548499,15.061344470481,16.4858650940258,14.7156651240643,11.9232551140021,7.06991631901628,11.9522206701095,8.36721647442303,10.2151951063209,12.1116626498954,14.2021780745246,13.9455507968286,18.8226474035867,17.5488157100662
SYNPCC7942_RS00045,233.878292504211,239.254368161812,312.30443887007,329.991831895609,315.798405376451,356.424392223979,342.722047800995,329.865101459944,354.841045663379,359.814021783196,274.520623054089,272.903423597616,337.126795585436,341.758374145439,257.703629390002,262.103503114814,191.387564143649,176.464000965154,122.81871266581,127.763969119251,90.4644529949486,89.3240873030704,317.342020726517,288.755582229537,270.651396952036,249.209936130259,218.349795397609,227.630539164701,219.284716900676,231.427698806266,189.662099685293,178.653825816987
SYNPCC7942_RS00050,34.7937164218087,36.9267192018232,22.2896708762929,25.1609711799915,25.4212929892124,20.0431030773381,23.3828160497053,24.8409796195755,24.3015804413657,25.0621621291219,38.8247979235937,37.0116629639986,27.8907328716907,30.3477746542104,24.5607901890865,32.0327789572383,30.8422039932043,26.6766427451835,27.1239072478858,33.2765602189687,33.3873402324389,29.063438620027,35.6780479949755,28.3806640806225,43.3821342841013,32.1377178222157,39.0731212816775,41.231191999644,37.3579031960321,33.5377663334773,35.3323423719869,38.7450323324206
SYNPCC7942_RS00055,41.3607423689713,33.1900869016387,20.9199145654592,21.2263337115155,24.1449100776202,26.768091609866,21.0106463055323,15.4822849722005,20.5044584974023,15.626995209923,20.6027819170014,17.3540162445304,12.9701659857862,12.6372192329083,17.1740863728199,15.827961367106,27.524216277554,20.1468376553177,28.576973707594,28.1273826222231,36.7814889282678,33.8460297853479,12.381841849156,16.9677991656391,16.1133641626662,16.7344329488461,20.4303902126418,21.1309858998175,26.0887836368984,23.6988808019725,26.4793175338593,28.9727506428936
SYNPCC7942_RS00060,235.145613301032,272.884058863473,319.651313628177,324.814677331825,267.614950463843,227.199122383247,308.720948134515,288.848600227622,262.286198279271,262.415579940217,220.220846712837,243.57052888341,255.502517915488,233.742434570727,144.871728596529,164.686169462507,112.208311838357,123.110715474787,105.174334226496,120.555120483807,81.9444470850108,76.5214586451345,265.521719654124,243.912113006062,244.445046445722,176.852530027578,175.70135582872,162.004225231934,175.674767921837,163.753277454785,144.519648708895,147.960603045656
SYNPCC7942_RS00065,567.529295012682,629.622542581086,442.431288399265,518.543801108632,334.625053322436,281.658343244698,293.358325029395,337.952862266317,207.417786189,212.192972693232,156.58114256921,184.827951772499,102.981167526242,89.6596868203419,72.0203622085996,84.3215799021419,84.3824603139258,97.7081810398214,74.1755830860551,80.2628057892727,59.8478463917577,60.849275288006,390.440746310053,392.380355705404,107.481451063059,85.6688868574449,95.0864411146704,113.643472949019,96.7909310079012,88.8066363626261,89.8861170501789,80.3804578406168
