,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
Synpcc7942_0039,1.0,0.9967531089210594,0.9999959264028575,0.9920027772558209,0.9907755643748565,0.992409061942752,0.9893545375873001,0.9865161210806483,0.9869287746606921,0.9855141207895541,0.9836747595141365,0.9884443563769623,1.0062269066269254,1.0056539363798835,1.0056940764997162,1.0046511402788982,1.0013491138170043,1.004406339822314,1.002110228328077,1.0000402720842636,1.00043597628155,0.991281175228873,0.9921271396503613,0.993586734249836
A8DZ36_SYNE7,1.0,0.9990163404422031,1.0001700277906604,1.006865024481403,1.0094477087027627,1.0110280156474263,1.0075138931007097,1.0074512624059389,1.0061622414299214,1.002203265917262,1.010625133710451,1.0038342530753173,1.0208148971824103,1.017119925332005,1.0147531647763597,1.0120751138227104,1.0199558139482725,1.014775092446026,1.0171289353387172,1.0125026995893238,1.018721494092632,1.0128830512008897,1.0123840527510315,1.0108400558149009
Synpcc7942_1594,1.0,0.9966771712398953,1.0002701724065028,1.0014933420008745,1.0017174677938,0.9998738055239382,1.005112886125256,1.0039550419767436,1.0052178304716102,1.00747537820013,1.0072643619442445,1.0074300792755042,0.9878335592986305,0.9887338525986585,0.9869394486454327,0.9917554057809971,0.9917260770789041,0.9904327280902392,0.9991515207690491,1.000068224032635,1.0016651829735572,1.0102969482762765,1.0111978695316564,1.0122430555612802
Synpcc7942_1595,1.0,0.9993323729941307,1.0024180902450741,0.9981787024550878,0.9969596428967825,0.997356354629953,0.9997337779120447,0.999928521849654,0.9973420923097492,0.9949469262647899,0.9972439342719459,0.997414019266705,0.9966710668210165,0.9993701950316208,0.996626629707197,0.9972636984177086,0.9955339600509155,0.9973347913131619,1.0010350541077524,0.998437917199218,0.996576278339088,0.996670480830355,0.9929311381125615,0.9980582070844066
Synpcc7942_1956,1.0,1.0002172391355173,1.001893771430395,0.9966995356152119,0.9958012431665145,0.9966601483620904,0.995314607969768,0.9924592490830371,0.995546185042931,0.9969204217107405,0.9970224741154539,0.9952402547809699,0.9991805045827621,1.0000159236278683,0.9984228702093962,0.9966430950733769,0.9953174996975288,0.9974267617966559,0.9966094602504794,0.9984882753622923,0.9990938666510292,0.9989462453088497,0.9999719348555718,0.999765254946424
Synpcc7942_0536,1.0,0.9930522838565671,0.9973384508249317,1.001401970923845,0.9894566127304818,0.9985012688871724,0.9930400214591998,0.9900484276943732,0.9896493524634621,0.9854015664139412,0.9807574332822975,0.9994879898755198,0.989035088225767,0.9815179307064446,0.9755414238543966,0.9729853616575068,0.9676659152554311,0.9771576621482043,0.9779634369814578,0.9732191109853511,0.9806231869968941,0.9787214294218095,0.9789355056310612,0.9791884519056816
Synpcc7942_1907,1.0,0.9983197281499915,1.0023847901865934,0.9962853594538948,0.9961827416804225,0.9932752966207605,1.0016144063509433,1.0028306803627924,1.0005047142338923,1.0107526837947167,1.0094499987726602,1.008831794479091,0.9770655474500931,0.9801789828629909,0.9745030232354204,0.9759234447966905,0.9742600465195789,0.9774797584019782,0.9903857259891967,0.9881373404485165,0.990425066476008,1.0155449100653131,1.0133853644134891,1.015316366937346
Synpcc7942_1593,1.0,1.0027912771514418,1.0103824817156748,1.0097206737103208,1.0069798648652175,1.006670211202815,1.0070522483877573,1.0043535714282388,1.0052383323172547,1.0091683795218866,1.0049533565676831,1.0051552236972532,0.9818819363698098,0.9853122328715647,0.9763553344022733,1.0004753562440265,0.997147501578314,0.9970933527243606,1.0087820413255475,1.0066805143849051,1.004076557644086,1.0213263338075311,1.0191820632257853,1.0221199200473767
Synpcc7942_1190,1.0,1.0012878541679335,1.0046932289716815,0.9963214166626642,0.9961412611602453,0.998260935224945,0.9942681857279685,0.9948480436176035,0.994229651802576,0.9930062539131261,0.9942788687508266,0.9940205018440127,1.001425462479795,1.0004822019094286,0.9989066115794655,1.0020025206203684,0.9988120797577389,1.0012418796480922,0.9986069064173203,0.998665721969783,0.9989337582761894,0.9968863338119925,0.9969943925486408,1.0022811612418279
Synpcc7942_1093,1.0,0.999889007013071,1.0018591011723863,0.9957691883303007,0.9967334427634204,0.9982979637347558,0.998295760511102,0.9958676378469974,0.9953389507446375,0.9930742783518743,0.9952401908385402,0.9919647690577621,1.0008943253244256,1.0045854603361393,1.0008365407544206,0.9951547161890715,0.9999236009201702,1.002397894376547,1.0005567101986603,0.9997888442059106,1.0029790412228232,1.0016463545711312,0.9973541994291862,0.9946663162535939
Synpcc7942_1496,1.0,1.0015116183401687,1.0009594171271003,0.9966206198221542,0.9937113521907425,0.9951914692601368,0.9949158893375505,0.9917155959071383,0.9927674829586627,0.9907509386548276,0.9891431824755003,0.9928420754191207,0.9980012458391203,0.9983979754507802,0.9987891355381694,0.9997193857185455,0.9980225746444229,0.9998199177065872,1.0004111773484015,0.999945726533552,1.0014237133161095,0.9977642816882745,0.9985530303321176,1.001000637831568
Synpcc7942_1433,1.0,0.9947931890549538,0.9964156822056293,1.0000454365393505,0.9983363304962327,1.0022545219452652,1.0034633012364391,0.9987826569126648,1.0008780003882138,0.9980673630484603,1.0029488674034521,1.0036281033014316,1.0042263891236003,1.003897824359531,1.007094521701775,0.9980723675066279,1.0015943182099443,1.0017269386859935,0.9992305367749192,1.000568602726942,0.9991773297380107,1.000461611071976,1.0031970171830584,0.9931491316295985
