,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
ADPT,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.146815689896947e-06,1.0944082531371827e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.4679366091779723e-06,1.381139855861812e-06,1.1681964631932684e-06,1.6258030540897497e-06,1.5767586258896953e-06,1.6421900137901979e-06,2.8731721473133198e-06,5.600053442077674e-06,2.3862898204966013e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0589240649927973e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,2.358969233317712e-06,1.7631056301543095e-06,1.4525654176765586e-06
O2tcx,0.01871099906000461,0.018710692040004296,0.018710692039996476,0.020656363686800332,0.019713116286448333,0.016413260038518736,0.0187109990599991,0.01853202564331202,0.018711408419995336,0.026439947653333844,0.024876941434593597,0.02104091991052649,0.029283262204352047,0.028399922812201873,0.029578380885231747,0.05175001546873891,0.10086512143000001,0.04298076013969492,0.014640987498946918,0.016451767420850315,0.015633776483014748,0.019073077443685037,0.0187108455500034,0.018711561930003996,0.018711561930004558,0.018710845550004178,0.01871120374000407,0.04248959424430271,0.031756100559056,0.026162818995862928
DNTPPA,7.627899999999507e-07,7.627900000008181e-07,7.62789999998975e-07,8.420490918940753e-07,8.03568946461097e-07,7.627899999999507e-07,7.627900000008181e-07,7.627899999999507e-07,7.627900000008181e-07,1.0778320349170087e-06,1.0141015436505399e-06,8.577479185641031e-07,1.1937454268869108e-06,1.157734569524893e-06,1.2057775473527172e-06,2.109625826376537e-06,4.111837636177652e-06,1.7521326173395846e-06,7.627899999990834e-07,7.627899999999507e-07,7.627899999990834e-07,7.775146914776627e-07,7.627899999998423e-07,7.627899999990834e-07,7.627900000008181e-07,7.627899999990834e-07,7.627899999990834e-07,1.7320724840294696e-06,1.2945598040420888e-06,1.066545741957789e-06
DTMPK,5.28301e-05,5.28301e-05,5.28301e-05,5.831950829153282e-05,5.56544105172569e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,7.464960760877992e-05,7.023569522574058e-05,5.940679389158094e-05,8.267765738531327e-05,8.018358012226135e-05,8.351099044879295e-05,0.0001461106508608174,0.00028478191048957784,0.00012135101585936403,5.28301e-05,5.28301e-05,5.28301e-05,5.3849917935811007e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,0.0001199616703659727,8.965996395277097e-05,7.386792983953175e-05
BIOMASS__1,0.01,0.01,0.01,0.011039068313619095,0.01053460253099216,0.01,0.01,0.01,0.01,0.014130128015805368,0.013294636055154274,0.011244876290520164,0.015649725702831012,0.015177631714166988,0.015807464011764683,0.027656705336695828,0.05390523782646216,0.02297005227311022,0.01,0.01,0.01,0.010193037290448249,0.01,0.01,0.01,0.01,0.01,0.02270706857756709,0.016971378807303216,0.01398216733254939
5DOAN,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.146815689896947e-06,1.0944082531371827e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.4679366091779723e-06,1.381139855861812e-06,1.1681964631932684e-06,1.6258030540897497e-06,1.5767586258896953e-06,1.6421900137901979e-06,2.8731721473133198e-06,5.600053442077674e-06,2.3862898204966013e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0589240649927973e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,2.358969233317712e-06,1.7631056301543095e-06,1.4525654176765586e-06
3HAD160,0.00386477958,0.00386477958,0.00386477958,0.004266356580070011,0.004071391674519482,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.00546098302182705,0.005138083794949198,0.004345896826722847,0.006048274032890245,0.005865820112167297,0.006109236412425302,0.010688707003533904,0.020833186240675452,0.008877418897664895,0.00386477958,0.00386477958,0.00386477958,0.003939384237830292,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.008775781496024091,0.006559063825891022,0.005403799479097994
RNDR3,6.568978e-05,6.568978e-05,6.568978e-05,7.251539689266094e-05,6.920157226483181e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,9.282050007300911e-05,8.733217176431521e-05,7.386734496514857e-05,0.00010280270384793146,9.970152882246523e-05,0.00010383888332907395,0.0001816762889092375,0.0003541023213667977,0.00015088976804091103,6.568978e-05,6.568978e-05,6.568978e-05,6.695783771413416e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,0.00014916223393052948,0.00011148461401484107,9.184854959983563e-05
Htex,0.11665058194540578,0.11664815563456869,0.11664815563452519,0.12878015701889672,0.12290078480445021,0.09778973108654827,0.11665058194537378,0.11518151487959893,0.11665369905118612,0.16483689804372387,0.15509298152159684,0.13117696009198485,2.3715601772679378,2.3000215666365023,0.18440288927031656,0.32262894126156144,8.168745325511736,0.2679584128076304,1.224401821731604,0.0981060555740268,0.0913918071042921,0.11890912599127038,0.11664932828039629,0.11665487169706679,0.11665487169707216,0.11664932828040163,0.11665224923456846,3.441109922899116,2.571825559333732,2.1188434793070456
G5SD,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.005179754901680572,0.004943049317834491,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.006630142850094087,0.006238113065011761,0.0052763241815212535,0.007343168926601175,0.007121652845500421,0.007417182942609572,0.012977087464469196,0.02529343164888297,0.01077801472672425,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.0047827799745631654,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.004692202960000001,0.010654617439258328,0.00796331538749094,0.006560716694500354
HISTDa,0.0008583048,0.0008583048,0.0008583048,0.0009474885321107174,0.000904189991844272,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.001212795670058022,0.0011410849940391979,0.0009651531295559651,0.001343223468942323,0.0013027034152901754,0.0013567622237124883,0.0023737882942671644,0.004626712437159403,0.0019715306122261413,0.0008583048,0.0008583048,0.0008583048,0.0008748732832970726,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0019489585954055003,0.0014566615892926623,0.0012000961335930337
TRPS3,0.0007146576,0.0007146576,0.0007146576,0.0007889154067247069,0.0007528633761752784,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0010098203375468226,0.0009501112696050022,0.0008036236302080044,0.0011184195411443525,0.0010846809854530466,0.001129692429273412,0.001976507465983023,0.0038523787892488664,0.0016415722429375494,0.0007146576,0.0007146576,0.0007146576,0.000728453156670225,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.001622777913267951,0.0012128724847118178,0.0009992462148678148
