Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
PMANM,0.827014553,0.9390003103600676,0.8302787968869045,0.897821705,1.1744410494541826,1.046461535003948,0.7489859101004113,0.7752928222246845,0.8814706389217623,0.8662578331551855,0.7658662561478964,0.7201311400391728,0.954413734,0.8528594544636505,0.820449749,0.9151756231458288,1,0.9807024017685968,0.517432621,0.559345722,0.5497807585517186,0.6579390652662095,0.6733245410517864,0.8815425909159753,0.8397273777122802,0.8295413428913821,0.8711598785209483,0.8868565113459094,0.9077037056972526,0.8680871977655955
RPE,0.7300860326722202,0.7356231575410705,0.6274447398694835,0.8803417672169401,0.92221323,0.8183186150575004,0.7611864613677157,0.814349859,0.7703667922188898,0.850374879,0.8881465722017328,0.741093485,0.7657683353761523,0.9091140642131558,0.8732235673107734,0.997735305,1,1.042448892816542,0.382712071,0.429530242,0.3862163185976125,0.6707240548766581,0.6314323898263454,0.5168084579194083,0.7091805959827515,0.7685978238080251,0.7491762477876198,1.0205673839137577,0.9275321950014952,0.9828256796015664
UAMAS,0.6323920203332583,0.5933000216092204,0.5452817198492949,1.2734012569630089,1.6874264388503717,1.7344253590451018,1.5351861271482443,1.865354164251112,1.8707059173332736,1.3895301836703742,1.5827009638530871,1.4502771841757125,0.9340405585164584,1.1480089905064756,1.0795310302511376,0.9274305296695696,1,1.1700358409035847,0.8097994987686297,0.8619428442490299,0.8458948104746927,1.693023836007162,1.314505956099117,1.3188680872007117,0.9891055010864122,1.0103158684470672,1.2447319992880526,0.9156933169208874,0.7158756940674634,0.7308019913961863
NDHPQRum,0.8479973045594671,0.8352729977192694,0.8309503129589625,0.810689736,0.8063277987797395,0.7957052670012262,0.8476070658501784,0.7684134157721559,0.780786874,0.9274748898181966,0.6790868749475224,0.7778437412595314,0.7288372137813489,0.7077297274876782,0.6823637220552878,1.0246976068801654,1,0.9454137574543688,1.5338203254448883,1.5817349914619598,1.457814470391727,0.9303257023614748,0.8674455566979862,1.0135346562365577,0.8403195761670605,0.966434745,0.9406252931220364,0.9965087931634776,0.6920065325196646,0.6341808760022227
METS_1,0.4746542779709427,0.4061764812177363,0.4789251157149865,0.8233083421101104,0.8617901632935294,0.7561249825396485,0.6898577381569637,0.6513693545432884,0.6295790889690368,0.7090281547861296,0.6488998558275081,0.577164527,0.7426154352309174,0.6644175972480599,0.6537835083363129,1.008497098697402,1,0.9688385555154472,0.337313072,0.2955309184095718,0.3169873468059432,0.8067128255603332,0.7876105568068417,0.8591050689619029,0.6642811479540099,0.6679579335473483,0.6836209814714899,0.8337251126112957,0.6964300502543589,0.6812646631094431
PRUK,0.7994986215547218,0.881896383,0.7301183295593978,0.7716474778180239,0.9110244849737388,0.8357944025556883,0.8568526263574369,0.8921241694592248,0.8257856865285897,1.0364266468992347,0.9751855045860288,0.8011883306202273,1.046049444158661,0.9986106312099496,0.9267165777281527,1.1766969886290446,1,1.0966673291767428,0.3830529410918736,0.4483819962659798,0.3853302111700693,0.6592740873677281,0.6007861972126849,0.7151416759684726,0.7648592611861846,0.8373188581570542,0.8100045077176111,0.9975309926674336,0.9199102170881254,0.8441942959024443
FNOR_1,0.4037261809971308,0.4206628595946253,0.3733453372136731,0.6164997588749953,0.6244729054089683,0.5503436770502422,0.6107220875733747,0.5851498361701599,0.5064344336906126,0.724947342,0.6436083279869032,0.4933823905523974,0.5564734012836295,0.6155102148290124,0.5889614882648387,1.0415180824385308,1,1.1198016506347246,0.2276670949463081,0.2403670374093847,0.2265850679265476,0.5482547210508719,0.4913007660018257,0.4575557102229551,0.5554003302353261,0.5387864209946271,0.5300959903112671,0.8977300994363842,0.7622677043791366,0.6559369740716098
PC6YM_1,2.061801609883226,2.1820810329568574,2.808799660423104,2.1102595144288987,2.380380519,2.44620102,2.457818732165197,3.3722600704797325,2.824251265440021,2.977050569265678,4.176952012221323,5.568795431120626,3.729815087,3.347473359728592,3.415997795430003,1.7345131122219697,1,1.3224190804923368,11.04820502966435,12.24929252453091,13.047848603148577,3.2452330370356344,4.565373911076666,5.998162712913051,4.302805601461697,3.795484346236439,4.086749101236522,1.5576425271156462,1.8286585603375063,2.4683870746171808
DDPA,1.0982168664790557,1.1585655723270447,1.0891407960735615,1.1910182237040066,1.0804510304011965,0.9453425960780072,1.1703229161547797,1.1209037248892402,0.9860122254201604,0.9647130263101984,0.8504261294659989,0.8601168287872821,0.9592858223925448,0.9463910090971854,0.945356729,0.9633220884893048,1,0.9808740970240644,0.9720035046373376,1.0601452186134137,1.0104213899562189,1.3619771504407825,1.3406129915873912,1.3140010945138296,1.1841467617032175,1.1673504388594929,1.0449585108527422,0.9920911595648294,1.0296142763249252,0.9029972410740028
ASPCT,1.281724681,1.2183379639351462,1.432216556880976,1.3987533161747627,1.4246164117852518,1.4314869981401186,1.3557179669246866,1.4817037637660853,1.4574229033304795,0.8727787292312724,1.154601168,1.605886607274023,1.2101560275119012,1.3622855718576037,1.3625925107944712,0.7830409970175636,1,0.793111543,0.9575224229610472,1.0846342920349883,0.8654324917863639,1.2746706951934632,1.7410782466563384,1.960643412912097,1.6386014824954436,1.5434476654475893,1.6358311927453295,0.803649458,0.9289033207026052,1.4149795996797911
HSERTA,0.8530331257975323,0.8716982751185743,0.986644113,0.4150497037626042,0.5364946925988548,0.6109703119147534,0.7784476558830936,0.6884839734767529,0.8246164577297213,0.6701950212195091,0.7203902358706097,1.0171525384126614,0.555692045,0.5687650551072718,0.6686250997109453,0.902415606,1,0.9049331258475544,1.590254668070307,1.646597643949124,1.6695515740484632,0.5468632250361668,0.6503298926357911,0.7799666474610895,0.7677917857109031,0.700692076,0.8771824819164797,0.6946243701176531,0.4994832588615446,0.4477126571224722
