Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
DTMPK,1.0,0.8784106038844132,1.0533679030395888,0.9017845571955041,0.6923704908144527,0.6425080720948977,0.7458829678759232,0.7853365753290887,0.6538745390794679,0.9524808443866459,0.8023830139364376,1.0258969933875168,1.3195223207452906,1.2784769518247139,1.1666905129988898,1.0428446329685477,0.8403374886020659,0.7748312514302091,0.9672501312233555,0.6550425923925716,0.7761418173085418,0.8178517454427524,1.0975667873783508,0.8369040139078533
ACOATA,1.0,1.1191732936075625,0.9078596825037417,1.4427715861166615,1.5720138212096662,1.481734453333853,1.4005966005690385,1.3379232344081111,1.3453161270152252,1.0697149453586243,0.977835629523684,0.909389242971705,0.7200346633975848,0.7289626884038009,0.7251901178308326,1.407920772197815,1.455456497000088,1.4257887823993618,1.4392742889608565,1.2975227988241183,1.3330041146265939,1.4413624814330408,1.317623494313848,1.2434711010570587
3HAD160,1.0,0.7089811039594751,0.7131723218130676,0.7617927947077537,0.48250929747106186,0.410421215664564,0.6864402757324488,0.5462053899119518,0.43420714355090784,0.7402759751485379,0.500164120992782,0.7126142816020041,1.305047663402603,1.190751339910796,1.1605454900775785,1.0952865898950677,0.9309963047694619,0.3433692019502875,0.7014114113708768,0.6586285504518764,0.6426241733661782,1.113902308569148,0.8015425498178593,0.9745672087915297
RNDR3,1.0,0.9722318325984415,1.0358767937367885,1.967455932450244,2.3816469524953763,2.409441716292316,1.640271629148738,1.8409986034525672,1.8049692299083242,2.015538004695817,1.6131966339998436,1.586159786483901,0.7671682550099074,0.6389529771292004,0.6298237388981867,2.006379213106443,1.766751436390253,2.4492061364274376,2.317055830508243,2.7166184089273004,2.8843033836028873,4.039370601184744,1.8959449978851575,1.7212574766860702
G5SD,1.0,0.9948893493125609,0.995239918450529,1.0366764973166045,1.016329274999881,0.9561003103083482,1.0593727796848413,1.116690905836742,1.0373686984965278,0.9264079444365404,0.871888608527879,0.9940445461070162,1.127783055993558,1.0570582484294049,1.0969619483264403,1.1325825610101514,1.196122941639645,1.0634056589692598,1.1797804190875005,1.167345444058254,1.1581369080987318,1.005271060889002,1.0291163854833023,0.9499822858054201
HISTDa,1.0,0.892170382776077,0.9254775882425552,0.9405972905417265,0.8311211990008189,0.7603548368156192,0.8919306600456495,0.7666744485657472,0.6863616521759627,0.8234303658130727,0.6355482489156797,0.70146338193877,0.8718108915375182,0.9235695100971208,0.9289649925456847,1.20142129578956,1.1073455089803341,1.11189614118658,1.0313089641771693,0.8644806618702411,0.874102593297906,0.9111160120037779,0.9397283696097132,0.9148551554755567
TRPS3,1.0,0.9695511956379922,0.8562921669739487,1.051244930820002,1.1513340664280611,0.9878229689706147,0.8676569879772456,0.8708034844717215,0.9021635325111053,0.8758862543467898,0.7822685036504395,0.6923555183113753,0.591397380088408,0.6047076846557446,0.5653829080887169,0.9273729638922528,0.9135613880182457,0.6586742544245943,1.0357092687107456,0.9604093989433228,0.9293274872730132,1.0115984389318535,1.0251201345013743,1.0730096947706784
DMBZIDS2,1.0,1.094982432651053,0.8971658112680241,0.7383979770117237,0.7351540207346645,0.6193818605509707,0.7595728683583725,0.7483960616761112,0.5587364944098249,0.7130630042170182,0.6338139539746954,0.5443334419200082,1.0510249666664933,1.145856737680933,0.9459507405495455,0.7865108150333147,0.6623796877891779,0.6335980580594802,0.704456686745197,0.6468907801546898,0.6292635270853997,1.0625950088170588,0.8124174443436845,0.710509892529548
HSTPT,1.0,1.0739213532843728,0.9232929269199189,1.225380283292649,1.2920526740262852,1.1407205735877666,1.087234747545257,1.1588644079350494,0.9312005479170198,1.098041196667308,1.0504292610314758,0.8667465536398837,0.7419826267465781,0.7078931276247825,0.6878775430886908,1.2147655165874882,1.270503978324338,1.471918930178004,1.2480838402379046,1.1700477590394196,1.251938772286069,1.1864063583975692,1.1959201743365593,1.1431447179807783
ZCAROTDH2,1.0,1.039599953703197,0.8879634712324341,1.25111642003233,1.4076838475417504,1.2909171195073221,1.1111081031265155,1.0742609842865802,1.1072661442147862,1.2676490306633241,1.1134428853716583,1.0594710260973648,0.6105866902613822,0.6559729461438104,0.6434536090996344,0.9989351893821063,0.9850917189221804,1.022798533603508,1.0353374234540822,1.0236553189119086,0.974115783539772,1.6239961204714553,1.2256874235197504,1.2460264512645518
