,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
KARI_23dhmp_1,2109.218155,2122.118162,1558.294372,4582.748456,5745.480083,4572.360834,4476.658293,5239.631802,4181.458805,3376.036749,3053.600692,2091.245293,1060.580351,1241.810532,1107.870077,6112.85719,6205.866152,6401.952454,4691.761911,5172.478938,4887.698767,3901.823789,2910.798024,2421.993666
ARGDECARBOX-RXN,612.9351904,556.158012,579.8304642,777.6907048,1043.18488,1051.508844,740.8331262,926.3566357,935.7484538,536.037393,523.4744044,501.8553253,619.1788412,602.4708319,617.6620786,867.2957257,947.9271133,962.0398154,611.3555447,756.5891219,886.5894266,719.6370238,533.1333238,469.3701753
GAPDi_nadp,2716.144177,2890.56871,1956.927817,6454.631896,7365.004701,6361.680104,4653.95169,5336.467571,4446.676653,3497.00585,3143.889882,2122.815367,995.6882457,1123.662567,1065.852249,5487.756141,4632.014414,5604.856965,4326.516162,5252.946264,5197.916937,8452.390991,3763.811342,3196.291101
AMP-DEPHOSPHORYLATION-RXN,1132.728268,1251.960924,1045.177357,975.6300702,1023.276771,997.8499043,818.9266466,823.6873864,779.6121404,746.9009638,696.9513872,690.1871502,1067.339946,1106.90399,1093.864135,1032.738568,911.766406,1075.794523,836.3030335,857.6639332,869.8446959,884.163704,837.6239026,933.295221
RXN0-743,105.1604493,88.79155489,103.7764751,114.5435922,121.4394612,123.8283232,116.0849628,135.3367377,126.1923629,86.56504483,75.07191071,92.53297755,70.29978109,77.08945276,70.02971412,90.39660465,93.84564519,95.87896809,131.6765788,113.8318264,118.0944167,151.1505273,92.3364932,99.10135952
RXN-12002,963.4700215,826.5686564,803.8558708,1045.963855,964.5478517,862.6706515,1135.522,1130.528438,994.566928,1011.035331,920.1381488,881.7848449,494.1263459,515.3262331,473.4008675,1045.530541,907.4615599,662.2149067,946.0335159,863.5517863,868.0820927,1242.644601,1109.137162,1139.121122
RXN-9771,1321.015549,1256.8041,1339.210703,1144.431153,1452.296507,1606.672493,1433.121632,1540.038739,1413.782235,1002.156865,1198.107115,957.9884735,496.1542242,501.0814429,514.0181017,752.1679745,819.6426993,936.8512729,1040.088215,1351.262284,1592.512022,668.8076429,893.6853449,1032.396581
RBFSb_1,457.6983366,472.2096328,511.4697702,332.5783247,254.8237875,255.9118679,255.3869182,235.672595,314.4114805,338.4915215,360.1422743,328.7642261,425.8544432,439.0747092,386.564022,254.986649,270.3443357,264.073429,251.5963203,236.4954324,230.019722,415.9983539,407.8195116,390.9603084
SUCDum,130.1986515,110.5858456,115.3071946,170.8106199,172.2051376,123.8283232,157.2423587,178.5044902,139.0254846,92.11408617,125.7961747,90.35573102,92.6064424,96.36181594,86.83684551,161.1788517,185.1083827,146.256053,174.0011935,184.4860634,187.7172444,161.8514496,113.2221286,143.7514226
F16BDEPHOS-RXN,6339.672802,6872.466349,6878.897779,10537.005713,12014.543415,11612.001006,13512.289669,14548.699299,13463.01404,19517.088185,18177.547244,17699.925671,18521.964442,20311.394946999997,18006.040098999998,12305.024608,10945.501718,12340.76074,10398.530783999999,11631.453776999999,11039.184053,15929.6604373,11561.848045,10423.067165
CITCIb,787.2010778,716.7900067,742.0841594,720.4189087,578.3305489,523.1746655,557.2078214,578.6812233,516.5331465,670.3241933,702.0238136,669.5033082,594.1683421,608.3363337,578.4454387,583.3139394,619.0368706,475.3321723,706.194033,645.701222,686.5339596,937.6683154,912.3724923,913.6927543
3.6.3.35-RXN,69.10543813000001,53.274932930000006,57.65359729,216.02519579,178.17757010999998,141.37066897,193.12316533,143.50360986,125.12293607000001,160.92219872,131.88308637,103.41921021,81.11513203,72.89980858,84.03565694,90.39660465,87.81886064,101.56670348,174.00119347999998,151.12156262,144.53346518,236.75790560000002,194.5661821,168.79901897000002
THI-P-KIN-RXN,124.189483,117.0434133,121.8961771,154.7343263,116.4624341,101.1264639,149.8551338,124.8364736,103.7344,114.3102515,104.4919838,90.35573102,85.17088863,91.33424294,84.73595409,177.3820167,176.4986905,190.1328689,174.0011935,150.1402538,133.9578458,155.1633732,128.6115441,139.3953189
N-ACETYLGLUTPREDUCT-RXN,616.9413027,604.5897692,498.2918051,608.8896216,881.9292019,862.6706515,587.8120389,791.019898,768.9178723,430.6056076,433.1852145,358.1570543,592.1404638,593.2536147,648.4751528,452.8358214,531.2180099,524.8967236,445.9760319,505.3740568,539.3565896,326.3781298,390.2316081,319.0845971
3-ISOPROPYLMALDEHYDROG-RXN,2536.870649,2507.957828,2652.065475,2360.20086,2144.103274,1950.29609,2625.630795,2342.725597,2266.115398,3198.467426,3222.005249,3460.733361,5951.822813,6849.230292,6844.704258,2903.777725,2839.476494,2432.725682,2537.12551,2204.019673,2062.245784,2122.795459,2219.373569,2032.122383
2.7.1.148-RXN,237.3621571,228.4364548,209.2001959,179.8535351,186.1408135,207.4124413,210.0082509,207.6718906,191.427398,228.620503,220.1433057,212.2815367,162.9062235,155.8547632,156.8665596,150.0924756,162.7231829,156.8189902,192.0283442,193.3178431,215.0375945,248.7964432,256.1238442,301.6601823
DVOCHR_1,1972.008807,1942.92066,1828.442657,1933.17431,1886.29327,1636.597671,1799.316923,1668.375301,1532.488611,2407.174131,2069.549971,1794.051141,1385.716839,1424.479018,1473.425185,1838.632827,1701.275183,1903.76629,1761.958031,1728.084882,1633.051896,2693.957186,2510.67322,2313.091073
H2CO3_NAt_syn,110.1680898,108.9714537,119.4253087,95.45299348,107.5037853,121.7645178,146.6891803,151.6704819,143.3031918,150.9339243,165.3611006,137.1665314,116.2650226,108.0928196,128.1543768,148.3868793,122.2576295,146.256053,158.3254103,145.2337095,171.8538153,131.086298,120.9168363,106.724541
HEMEOSYN-RXN,5575.506871,5886.880089,6633.45818,4559.638783,5403.060618,5897.323892,4934.666237,6228.990022,7179.062138,6001.843108,8431.38716,10959.17041,6437.837645,9701.540044,8538.723043,2592.506397,3940.656129,5552.854813,4623.572254,5698.460481,5556.606695,882.8260887,2964.660978,5062.881543
PHOSMANMUT-RXN,548.8373927,623.1552761,551.0036655,595.827633,779.4024436,694.4705125,497.0547043,514.5129425,584.976462,574.8806824,508.2571252,477.9056135,343.3873923,371.2024736,364.8548106,436.6326564,446.8430262,585.024212,557.2740926,550.5142638,578.1338607,588.5507258,602.3856937,576.0947163
RIBULP3EPIM-RXN,3134.782918,3158.557766,2694.070239,3779.938542,3959.72276,3513.62867,3268.319362,3496.587956,3307.737106,3651.269199,3813.450167,3182.045805,1643.257383,1844.281364,1658.30363,2879.899376,2711.19208,2219.029338,3045.020886,3300.141656,3216.750902,4382.027677,3982.560891,4219.975474
MPOMT_1,490.7487635,443.1505785,361.5704173,511.4270914,696.7837938,750.193258,407.3526876,471.3451899,499.4223176,589.3081898,529.5613161,458.3103947,293.3663942,297.4647362,299.0268793,478.4197661,445.982057,538.7097953,489.8682249,485.7478798,487.3597942,671.4828735,613.3781334,624.0118572
HEMN-RXN,63.0962696,58.11810865,60.94808856,52.24795433,56.73810892,59.85035621,81.25947396,54.83471269,78.06815672,57.71002989,61.88360207,67.49464245,72.32765939,68.71016441,84.03565695,72.48784335,68.01656853,52.81468581,57.21660867,71.63554591,81.96105037,65.54314901,65.954638,88.21110023
2.1.1.131-RXN,227.3468762,263.9530768,322.036522,476.2601991,592.2662247,741.9380364,404.1867341,518.0130305,572.1433403,194.2164467,214.056394,327.6756029,170.3417773,165.0719804,183.477851,355.6168315,541.5496406,702.8415881,699.9237197,721.2620034,767.6137083,250.1340585,242.9329166,299.4821304
UDP-NACMUR-ALA-LIG-RXN,702.0711903,658.6718981,605.3627715,1413.709072,1873.353,1925.530426,1704.338317,2070.885426,2076.826854,1542.633491,1757.088505,1610.073809,899.0260467,956.9147288,939.0984664,1879.567138,1459.342831,1464.185597,1098.088613,1121.636013,1381.880935,1016.587617,794.7533879,811.324317
GLUTCYSLIG-RXN,1510.304358,1644.258157,1577.237697,1272.036734,1260.183261,1203.19854,1188.287892,1257.698304,1257.645922,1635.857386,1670.857256,1736.354108,2667.335925,3765.652181,3532.999077,1167.480677,1294.89771,1557.626965,1243.873397,1383.645476,1313.139409,1575.710807,1598.300727,1477.808185
NDHPQRum,3701.6478162,3646.1041224,3627.2348919,3538.7941369,3519.7535645999997,3473.3844649000002,3699.94436,3354.251042,3408.2632249999997,4048.5805579999997,2964.3259879999996,3395.415965,6695.37819,6904.5335939999995,6363.600122,4061.024824,3786.542638,4424.245604,3668.133268,4218.646738,4105.984233,4349.9249092,3020.7224199,2768.303911
R524-RXN,241.3682694,289.7833473,297.3278375,957.5442399,587.2891976,375.6125803,415.7952304,354.6755885,288.7452372,467.2292804,524.4888897,437.6265527,250.1049904,208.6442797,266.1129137,757.2847635,593.2077939,344.5142582,384.8404775,300.2805075,257.3400721,561.7984201,584.7977902,518.3763421
RXN-14118,435.6647186,397.1404091,375.5720052,676.2091012,739.5862269,681.0557775,592.0333103,600.8484476,529.3662682,685.8615091,584.3435212,519.2732976,267.0039763,249.7027926,263.3117251,732.5536169,588.0419786,896.2245915,643.4909002,588.7853089,600.1664011,811.9324785,796.9518758,747.0717872
CYOOum,3062.672896,3752.653988,4412.971061,2290.871844,3166.38464,3444.49119,2087.418695,3955.09949,4103.390648,2212.957685,4378.518468,5267.847981,2922.172631,4282.654272,3839.028928,1390.913794,2235.937069,3411.01617,2650.774938,3660.282003,3806.341683,387.9084329,1189.381972,2675.736707
R163-RXN,740.12925761,708.71804716,593.8320521300001,435.06469665,527.56487241,475.70714156,395.74419138,483.0121501,504.7694517,462.79004740000005,428.11278803999994,459.39901796,715.84104015,636.82591409,644.97366711,354.76403332,344.38768876999995,390.82867498999997,384.05668828,390.56092156,410.6865535,559.12318948,433.10212283,456.30186421
METS_1,1248.905527,1068.727442,1260.142912,2166.280568,2267.533546,1989.508393,1815.146691,1713.876446,1656.54212,1865.587697,1707.378726,1518.629455,887.5347363,777.5979582,834.0538952,2122.614613,2072.352917,2260.468553,1747.849826,1757.524147,1798.7366,2193.689069,1832.439692,1792.536679
PRUK,24993.13346,27568.9706,22824.23554,24122.47861,28479.54446,26127.77619,26786.07751,27888.70153,25814.89363,32399.74255,30485.28266,25045.95547,11974.62137,14016.87354,12045.81113,20609.57306,18781.18261,22356.05024,23910.27211,26175.43221,25321.55806,31183.82516,28757.32141,26390.36533
1.18.1.2-RXN,15204.19792,15842.02778,14060.06513,23217.18232,23517.44845,20725.76559,22999.59708,22036.55433,19072.15763,27301.28337,24238.0823,18580.62189,8573.869455,9052.145197,8533.120666,20647.09618,18502.22858,17231.40065,20916.19752,20290.52305,19963.24423,33808.22635,28706.75619,24702.37514
GARTRANSFORMYL2-RXN,724.1048082,744.2346692,738.7896681,895.248602,976.4927168,893.6277323,887.5223065,1017.358925,859.8191507,589.3081898,724.3424898,467.0193808,362.9902158,355.2818257,380.2613477,743.639993,819.6426993,793.8453544,619.9772254,668.2713256,689.1778644,583.2002646,562.8129109,505.308031
3-ISOPROPYLMALISOM-RXN,787.2010778,716.7900067,742.0841594,720.4189087,578.3305489,523.1746655,557.2078214,578.6812233,516.5331465,670.3241933,702.0238136,669.5033082,594.1683421,608.3363337,578.4454387,583.3139394,619.0368706,475.3321723,706.194033,645.701222,686.5339596,937.6683154,912.3724923,913.6927543
DMTPHT,338.516494,321.2639895,362.3940401,556.6416673,407.1208167,344.6554995,605.7524422,554.180607,455.5758187,516.0608442,591.4449181,414.7654641,156.8225886,157.5306208,161.7686396,517.6484813,527.774133,360.7649308,474.9762308,420.9814958,384.247505,581.8626494,645.2562084,612.032572
PC6YM_1,99.1512808,104.935474,135.0741422,101.4816036,114.4716233,117.636907,118.1955985,162.170746,135.8172042,143.1652665,200.8680854,267.8013233,531.3041148,589.0639705,627.4662385,156.0620627,219.5471516,288.4494379,206.9203382,182.5234457,196.5302606,74.90645601,87.93951733,118.7038262
6PGLUCONOLACT-RXN,614.9382465,555.350816,539.4729461,431.0456232,438.9737901,399.3463423,401.0207806,443.3444856,374.2993815,553.7943253,482.8949932,504.0325719,935.5278561,931.7768637,909.6859865,720.6144427,670.6950239,660.5898394,483.5979116,472.9908648,542.881796,541.7341908,530.9348359,528.1775755
DAHPSYN-RXN,9891.091405,10434.62209,9809.347767,10726.90693,9731.083383,8514.229122,10540.51462,10095.42062,8880.520183,8688.688923,7659.363862,7746.643156,8754.350624,9548.199067,9100.36135,12266.64869,12074.23237,11834.55229,10665.0191,10513.743,9411.419967,8935.27011,9273.222102,8132.845636
ASPCARBTRANS-RXN,262.4003593,249.4235496,293.2097234,286.3589804,291.653788,293.0603649,277.5485929,303.3409638,298.3700784,178.679131,236.3750702,328.7642261,196.0282357,222.0511411,177.1751767,260.9562361,356.4412579,401.3916122,335.4617604,315.9814491,334.8946144,164.5266802,190.1692062,289.6808971
HSERTA,433.66166245,443.15057846,501.58629642000005,211.00135398,272.74108502,310.60271068000003,395.74419137,350.00880444,419.21530727,340.71113803,366.22918601000003,517.09605106,808.44748254,837.0909054599999,848.76013516,278.01219921,330.61218123000003,396.5164104,390.32700154,356.21511188,445.93861818,353.1304354,253.9253563,227.60641915999997
CYRDAAT,978.4929428,979.1286916,781.6180546999999,1043.9543182,1018.2997444,967.9247262,891.7435777999999,910.0228914999999,925.0541857,781.30502,763.9074157,736.9979506000001,721.9246751,784.3013888999999,754.2200211,1190.5062272,1216.5495105999998,1213.1127063,1057.3315766,1104.953763,1154.5051181000001,936.3307001,854.1125621000001,871.2207431
RXN0-882,1769.700133,1780.674273,1723.842559,1388.589863,1503.062184,1502.450321,1347.640886,1320.699889,1410.573955,1578.147356,1559.263875,1444.603073,1612.839209,1605.471647,1652.701253,1317.573153,1395.631109,1261.864724,1234.467927,1363.03799,1296.394678,1503.479581,1611.491655,1510.478963
MTHFR3_1,87.13294373,104.128278,109.5418349,133.6341909,171.2097322,147.5620851,125.5828234,115.5029055,118.7063753,81.0160035,74.05742543,74.02638204,107.4775499,118.1479656,114.8487312,139.8588978,137.7550755,140.5683176,131.6765788,127.5701503,155.1090846,97.64591587,85.7410294,100.1903855
3HAD40_2,241.3682694,171.1255421,172.1371691,183.8726085,116.4624341,99.06265855,165.6849014,131.8366497,104.8038268,178.679131,120.7237483,172.0024759,314.997096,287.4095902,280.1188565,264.3674287,224.7129669,82.87843004,169.2984585,158.9720334,155.1090846,268.8606725,193.4669381,235.2296006
ZCAROTDH1,514.7854377,535.1709172,457.1106642,644.0565139,724.6551456,664.5453344,571.9822712,553.013911,570.0044867,652.5672611,573.1841831,545.4002559,314.3211366,337.6853202,331.2405478,514.2372887,507.1108717,526.5217908,532.9766287,526.9628514,501.46062,965.7582364,701.3176507,659.9497129
RXN-15115,1790.732223,2068.036033,1713.135462,2607.373875,3301.759777,3070.942415,1751.82762,2030.051066,2093.937683,1947.713509,2046.216809,1782.076285,1176.845374,1292.924191,1070.054032,1582.793379,1464.508646,2037.834339,1368.495873,1675.094204,1649.796627,1738.899872,1950.058797,1923.21979
IMPCYCLOHYDROLASE-RXN,1853.828492,2010.72512,1713.135462,2339.100725,2997.165719,2616.90523,1991.384771,2186.388332,1994.48099,1875.575971,1647.524094,1389.083287,1001.771881,1054.114474,986.718672,2088.502687,2111.096532,2789.427944,1937.526803,2343.365529,2437.680272,2726.059953,2304.015354,2129.045691
RXN-7737,533.8144714,547.2788565,477.7012347,2278.814623,3081.775179,2760.339704,2015.657081,2293.724365,2067.202013,1561.500232,1631.29233,1107.129861,306.8855828,294.1130208,266.8132108,2580.567223,2060.299348,2386.411265,1705.525212,1986.169109,2000.55467,1853.934786,1390.543618,1337.323841
3OAR40_2,250.3820222,209.8709479,190.2568711,284.3494437,402.1437896,303.3793918,282.8251821,310.3411399,282.3286763,341.8209463,314.4904367,252.5605976,183.1850065,205.2925644,165.9704225,332.5912813,309.0879507,213.6963441,277.4613626,269.8599332,275.8474061,341.0918979,281.4064555,301.6601823
RNDR2,2704.12584,2629.037221,2801.141205,5320.248426,6440.273066,6515.433605,4435.500897,4978.291895,4880.863935,5450.2684,4362.286703,4289.175665,2074.519502,1727.809256,1703.122647,5425.501875,4777.518212,6622.961601,6265.610544,7346.078037,7799.51931,10922.96642,5126.87386,4654.49682
FPPSYN-RXN,1119.708403,1215.637106,1005.643461,1101.226114,1166.615152,1114.454909,1052.15189,1127.02835,1068.357378,1343.977811,1238.686527,995.0016645,690.1545817,716.4291533,644.9736671,961.103523,965.1464978,871.8485827,1065.169468,1122.617322,1073.425369,1522.206195,1392.742106,1389.597085
NPDPS,430.6570782,385.8396658,366.5121542,376.7881322,363.3229782,387.9954126,341.9229813,355.8422845,370.0216743,356.2484537,389.5623474,384.2840127,355.5546621,357.7956122,390.0655077,397.4039412,321.1415198,394.0788095,385.6242666,410.1870985,420.3808713,345.1047438,341.8648736,334.3309601
3OAS100,6667.172487,6474.518743,5261.302564,5084.127863,5425.954943,4518.701894,6795.191595,6505.496978,4999.57031,6485.719513,6297.924617,4371.911034,3696.822142,3839.389919,3503.586598,5153.459263,4893.749057,4729.758248,5910.554054,5482.572534,5657.075079,6571.703899,6065.628208,5501.758992
AICARSYN-RXN,3555.424715,3313.539389,3416.387451,4963.555661,4384.760874,4022.356698,5905.558653,5244.298586,4809.212339,7303.648206,6681.400053,7695.477863,4883.130948,4888.476819,4897.878206,5543.188021,5825.317756,4789.073202,6421.584586,5764.208174,5464.070025,6888.718722,6037.047865,4806.96045
MANNPISOM-RXN,633.9672802,616.6977085,594.6556749,605.8753165,738.5908214,789.4055603,660.6289701,681.3504726,772.1261527,585.978765,667.5313141,564.9954747,622.5586383,619.2294085,619.76297,579.0499486,521.7473485,463.1441679,533.7604178,511.2619099,548.1696057,533.7084991,483.6673453,422.5420604
HPROb,257.3927188,229.2436508,241.3214858,278.3208336,324.5021668,348.7831103,284.9358178,309.1744439,262.0095671,297.4286156,340.867054,206.8384204,196.0282357,180.1546994,183.477851,294.2153642,272.9272433,220.1966131,240.6232721,260.0468447,334.0133128,232.7450597,284.7041874,271.1674563
3OAS120,6667.172487,6474.518743,5261.302564,5084.127863,5425.954943,4518.701894,6795.191595,6505.496978,4999.57031,6485.719513,6297.924617,4371.911034,3696.822142,3839.389919,3503.586598,5153.459263,4893.749057,4729.758248,5910.554054,5482.572534,5657.075079,6571.703899,6065.628208,5501.758992
