Entry	Entry Name	Gene Names (ordered locus)
Q31RN3	Q31RN3_SYNE7	Synpcc7942_0254
Q31RP2	Q31RP2_SYNE7	Synpcc7942_0245
Q31RQ5	AROA_SYNE7	Synpcc7942_0232
Q31RS5	AROC_SYNE7	Synpcc7942_0212
Q31RT4	Q31RT4_SYNE7	Synpcc7942_0203
Q31RU8	Q31RU8_SYNE7	Synpcc7942_0189
Q31RY5	MRAY_SYNE7	Synpcc7942_0152
Q31RZ8	Q31RZ8_SYNE7	Synpcc7942_0139
Q31S00	HEMH_SYNE7	Synpcc7942_0137
Q31S19	GATB_SYNE7	Synpcc7942_0118
Q31S32	Q31S32_SYNE7	Synpcc7942_0105
Q31S39	Q31S39_SYNE7	Synpcc7942_0098
Q31S44	Q31S44_SYNE7	Synpcc7942_0093
Q31S64	ISPH_SYNE7	Synpcc7942_0073
Q31S79	Q31S79_SYNE7	Synpcc7942_0058
Q31SA7	Q31SA7_SYNE7	Synpcc7942_0030
Q31SC8	ASSY_SYNE7	Synpcc7942_0009
Q54711	CYB6_SYNE7	Synpcc7942_2331
Q54755	Q54755_SYNE7	Synpcc7942_1379
Q54757	THIL_SYNE7	Synpcc7942_2567
Q54764	ALDEC_SYNE7	Synpcc7942_1593
Q54765	AAR_SYNE7	Synpcc7942_1594
Q54766	ACCA_SYNE7	Synpcc7942_1595
Q54769	GCH1_SYNE7	Synpcc7942_1597
Q54776	ACCD_SYNE7	Synpcc7942_1956
Q54975	PURK_SYNE7	Synpcc7942_1428
Q55038	PUR1_SYNE7	Synpcc7942_0004
Q55039	GPH_SYNE7	Synpcc7942_2613
Q55041	PURL_SYNE7	Synpcc7942_0003
Q55107	CMPC_SYNE7	Synpcc7942_1490
Q55108	CMPD_SYNE7	Synpcc7942_1491
Q55235	COAD_SYNE7	Synpcc7942_2007
Q55244	FUR_SYNE7	Synpcc7942_0987
Q55309	CYSH_SYNE7	Synpcc7942_2506
Q55311	SRP54_SYNE7	Synpcc7942_1771
Q55357	SECA_SYNE7	Synpcc7942_0289
Q56207	MOEA_SYNE7	Synpcc7942_1286
Q56208	MOACB_SYNE7	Synpcc7942_1285
Q56210	MOAE_SYNE7	Synpcc7942_1283
Q56211	MOAA_SYNE7	Synpcc7942_1282
Q59948	CYNS_SYNE7	Synpcc7942_2104
Q59966	CYSK_SYNE7	Synpcc7942_B2664
Q79CM2	Q79CM2_SYNE7	
Q79CM3	Q79CM3_SYNE7	
Q8GAA0	DXS_SYNE7	Synpcc7942_0430
Q8GAA2	Q8GAA2_SYNE7	Synpcc7942_0432
Q8GAA6	TGT_SYNE7	Synpcc7942_0455
Q8GIR8	Q8GIR8_SYNE7	
Q8GIT3	NDHO_SYNE7	Synpcc7942_2487
Q8GIT6	MIAA_SYNE7	Synpcc7942_2490
Q8GIT7	Q8GIT7_SYNE7	Synpcc7942_2491
Q8GJN0	CHLB_SYNE7	Synpcc7942_1838
Q8GJN3	Q8GJN3_SYNE7	
Q8GJN6	QUEF_SYNE7	Synpcc7942_1844
Q8GMR5	Q8GMR5_SYNE7	Synpcc7942_0447
Q8GMR7	SYS_SYNE7	Synpcc7942_0449
Q8GMS2	COBS_SYNE7	Synpcc7942_0454
Q8KPP2	PSBF_SYNE7	Synpcc7942_1176
Q8KPP3	PSBE_SYNE7	Synpcc7942_1177
Q8KPP6	NU3C_SYNE7	Synpcc7942_1180
Q8KPQ7	KGUA_SYNE7	Synpcc7942_1191
Q8KPR0	PDXJ_SYNE7	Synpcc7942_1194
Q8KPU0	SELO_SYNE7	Synpcc7942_1584
