,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS06240,360.550112,299.4696988,294.856969,379.8024372,407.1208167,402.4420504,473.8377118,484.1788461,434.1872826,507.1823781,474.7791109,391.9043755,452.8977238,458.3280681,479.3910175,470.4963617,479.5223311,526.3471848,341.359514,309.1957399,340.3444106,311.2713273,344.3876888,296.5747742,394.2459474,315.0001402,329.6068047,361.1561272,453.9877582,395.3164122
SYNPCC7942_RS06245,5305.094287,5107.935994,4739.125697,12795.72497,11416.30476,9298.475168,14399.81198,13005.16048,9694.353981,14885.85829,13081.78768,9983.763966,8368.518585,10855.30035,9951.496294,16278.39213,15616.76451,17476.35023,3410.891302,3628.231853,3240.97517,18251.58616,15504.33375,10617.37691,11902.62218,12016.12684,10670.79998,17038.54351,14572.67727,11847.51308
SYNPCC7942_RS06250,1924.936987,1655.558901,1549.234521,4916.331549,3674.041404,3142.143701,4794.308964,4006.434114,3166.572768,4694.48897,4658.516405,3661.040041,2412.465103,3686.106051,3677.053084,5677.235877,5509.697844,6674.731781,1311.361301,1300.465551,1224.119403,6289.386408,5734.055018,2886.93198,4307.705222,4338.366417,3810.748192,5973.789867,5258.783136,4289.673134
SYNPCC7942_RS06255,1101.680898,1282.63437,1114.361673,1250.936599,1346.783533,1419.898106,1223.113381,1153.862359,1102.579035,1640.296619,1454.771891,1386.90604,1041.440558,1096.091062,963.9478864,3328.664011,3778.47109,4158.007452,1229.57021,1401.017011,1161.792957,1400.294574,1138.201311,1556.814431,1080.061462,1131.449102,1093.695307,2481.276355,1463.09372,1371.083644
SYNPCC7942_RS06260,254.3881346,253.4595294,253.6758281,264.2540767,207.0443273,169.2320417,514.9951077,413.0103892,241.6904578,237.4989692,189.7087473,193.7749412,164.7919936,199.9417747,194.2360157,164.2175667,104.423201,133.954682,260.9203414,258.082081,238.101028,498.0341237,495.0573026,485.8951094,307.2453506,367.0095092,291.7108352,219.3689069,249.5283804,172.0660968
SYNPCC7942_RS06265,502.7671006,558.5795998,649.8384037,345.6403132,344.4102752,347.7512076,384.1356951,336.0084522,330.4528825,340.711138,290.14279,349.4480682,362.0939722,312.7294424,319.2496216,748.1022483,827.1416714,778.0196177,773.297592,640.1776294,647.7748556,353.058437,389.1580883,422.5174865,460.868026,417.0562604,363.9775678,662.1195665,307.7883107,292.9479748
SYNPCC7942_RS06270,756.1537071,687.7309524,715.7282292,451.1409903,491.7302773,432.3672285,465.395169,379.1762048,381.7853692,354.0288372,349.9974215,360.3343008,409.177399,435.7705345,465.9598036,529.1454927,630.6611747,561.5272023,872.6636287,703.8602208,718.5048669,353.9112352,356.4412579,371.3278679,368.3809051,377.8039065,385.1288066,444.0882749,331.9716779,308.1943379
SYNPCC7942_RS06275,1733.645122,1775.831098,1365.566633,2886.699477,3472.969509,3571.415221,1976.610321,2089.552562,2411.557444,2434.919338,2581.865037,2138.056093,2223.010362,2095.799935,2356.661446,2102.245517,2093.959979,2534.314337,857.7925212,844.632265,857.863998,1704.743516,2137.786578,1945.205505,2458.746594,2761.403099,2620.991009,2031.837619,2720.628817,2756.324626
SYNPCC7942_RS06280,1424.172942,1502.19167,1378.744598,860.0817097,928.7132566,992.6903909,922.3477953,866.8551389,789.2369816,1028.792264,896.8049873,889.4052078,998.8412671,927.9349029,814.1381935,914.926443,817.523745,852.4388855,1128.852254,1080.090267,1208.012569,1555.503838,1349.138771,1326.054881,1336.360517,1212.897736,1221.484041,1198.503296,1220.160803,1195.75047
SYNPCC7942_RS06285,13.01986515,13.72233121,9.059851003,18.08583034,12.94027046,27.86137272,21.10635687,12.83365616,14.97197526,19.97654881,20.2897056,31.57007469,25.78378131,28.70958816,34.09461978,24.76296641,24.73181077,8.118465576,25.01049904,30.16543803,28.71218279,31.55353181,28.41198432,43.8768159,29.00019891,31.40188314,26.43904851,24.07707515,18.68714743,23.95857043
SYNPCC7942_RS06290,241.3682694,266.3746647,271.7955301,149.7104845,205.0535165,207.4124413,180.4593513,227.5057229,344.355431,158.7025822,320.5773484,487.7032229,279.1374585,253.2595812,240.728679,54.7391889,49.46362155,43.29848307,414.3631328,510.2986601,497.2109703,210.6411448,377.1045192,510.2711183,236.7043263,297.336581,321.6750902,46.81653501,67.05388196,148.1075263
