,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS02370,147.6118952,163.8486686,113.8488125,393.4492188,317.9389738,430.5724345,265.6405723,224.3905944,387.9807495,283.3594304,203.484098,280.125487,284.5860829,254.2321412,397.9179842,531.1876674,557.4016105,805.419577,58.90335339,54.58122347,54.11872371,142.4005743,175.7778933,166.6310978,232.0832375,387.9154279,204.9448973,837.8536745,1121.762741,589.4649948
SYNPCC7942_RS02375,157.234696,155.6715196,147.077047,95.58810808,96.51381904,134.6463627,83.12630837,81.79975852,89.05329955,50.5401052,42.82846464,40.06287385,42.79571019,41.09505844,40.57945868,147.3736947,176.9132821,170.5732795,75.54995326,58.43305155,60.017596,48.22850397,48.63517552,50.59838395,40.69633958,62.6316812,58.8532996,115.0939692,83.55714837,71.60346489
SYNPCC7942_RS02380,62.22121659,62.8188459,56.27362287,49.05947706,46.22851547,44.98076291,38.48253158,35.75945728,43.22470095,27.20585373,28.45452787,28.31669094,39.88517071,40.4980358,38.08686293,23.71814701,21.40821454,24.83442383,57.95982142,53.18800906,56.86238524,58.02109361,60.64995662,49.42712506,54.61676976,47.64208677,47.56874363,22.81598508,36.3757112,35.48583481
SYNPCC7942_RS02385,39.61230606,27.97043504,30.16572437,42.92704243,33.86946338,33.34100409,26.56405723,27.26658617,31.6633954,22.81106197,36.37486038,32.82638616,15.19948397,24.97544714,31.80552167,32.36538811,33.75405605,32.54616596,36.3259811,35.81380579,35.73619145,40.96566665,42.54549195,14.44552628,37.88182638,33.03439283,36.45779621,34.60424404,38.19449676,49.06943329
SYNPCC7942_RS02390,285.7878402,282.0734309,252.2742685,274.3047745,215.4814885,188.8994758,190.1905695,162.1467891,165.6078904,240.8764434,205.8308631,196.2241805,198.5634715,203.6842243,194.1233564,353.4250968,363.8083084,382.7115419,233.7263496,218.8985704,226.7636256,247.3444933,231.1610965,197.5523324,239.3096903,219.9746852,201.2991176,366.576827,338.0801394,319.267214
SYNPCC7942_RS02400,63.5291701,64.34728498,53.28767553,33.97174106,55.56856248,87.3968332,33.43233059,46.15204955,74.99225225,40.7041427,53.19334421,61.35283037,39.45397967,34.52780939,32.90226379,23.34755096,20.35750462,26.92574373,80.26761315,80.23275942,80.2520998,24.88949866,29.70778065,30.92123464,27.23231695,42.9638057,50.08606765,17.11198881,20.54157809,22.84992924
SYNPCC7942_RS02405,41.10711006,44.32473312,41.34388619,41.07757801,47.5493302,60.56620269,33.23032255,40.67638265,54.26522698,44.36646916,48.89094137,47.29936153,35.24986709,38.40845656,40.08093953,38.04786083,40.71500925,40.38861559,41.98717296,39.09195735,43.00689451,30.92826227,30.44841784,30.76506679,33.46988676,40.48145248,39.66955445,37.77313086,40.44123186,47.91114195
SYNPCC7942_RS02410,6.166066509,5.884490431,4.364076875,7.787218581,8.019232276,6.411731555,4.444176875,4.022938943,4.166236236,3.766964363,5.280221667,4.40481859,4.311910347,5.572211314,6.381045099,6.300132799,6.698275715,4.705469778,5.863377283,4.835273551,6.927745367,4.896294819,6.171976589,3.20144096,5.781162258,5.537557179,4.687430941,5.450485326,6.633217925,6.107354358
SYNPCC7942_RS02415,412.0053531,414.0541449,365.7402673,285.8882621,289.5414571,314.7666984,207.8662729,211.6512877,242.2666371,208.4386947,220.8892731,208.9142531,173.8777847,192.6393054,201.3020321,282.1471238,308.3833604,304.1563382,351.8700321,374.2010005,337.9505091,260.9725139,280.2077371,191.3837023,188.268113,245.3710681,236.3680454,253.5109454,243.3963029,232.7112609
SYNPCC7942_RS14140,55.77487433,46.38812587,43.71733151,51.0062817,50.94571093,49.71558006,46.76486121,43.47009025,50.93223799,41.64588379,56.12680069,59.15042107,34.71087829,57.91119616,61.31785525,68.43673668,67.50811211,69.40567923,39.56094787,38.51828083,35.73619145,36.23258166,46.33097093,18.7401422,55.9859924,58.43077575,58.59288676,54.88511967,57.55921361,76.65782712
SYNPCC7942_RS02420,1.027677752,0.917063444,0.765627522,0.584041394,0.566063455,0.197284048,0.505020099,0.223496608,0.624935435,0.313913697,1.173382593,0.839013065,0.646786552,0.995037735,0.897334467,0.617660078,1.313387395,0.522829975,0.943531977,1.147353046,0.548732306,0.652839309,0.65834417,0.312335703,0.68461132,0.572850743,0.78123849,0.507021891,1.176861245,0.631795278
SYNPCC7942_RS02425,92.30414714,106.1500936,96.62219328,48.2807552,49.81358402,40.44322981,57.16827526,48.94575715,42.3914537,66.54970374,69.32735486,59.5699276,66.94240813,67.06554332,65.90423141,52.87170271,56.08164177,53.72077997,92.39873856,104.9828037,98.36026591,55.89936585,56.6998916,55.04916772,56.51846787,46.5918604,54.25267293,57.92725102,69.00686389,64.12722076
SYNPCC7942_RS02430,485.531025,551.3843956,528.3595529,341.566875,316.1464395,306.8753364,272.4078417,269.089916,277.3671774,426.8179899,414.399619,437.9648198,454.1519573,409.5575316,372.9920268,435.8209513,489.4994822,446.8889214,562.2102677,557.6135803,577.9523016,279.2520145,287.0380579,365.2766051,270.9539469,282.6063664,255.8122034,420.7014139,457.2640873,419.5120649
SYNPCC7942_RS02435,41.10711006,35.30694259,38.05168784,61.22700609,47.5493302,37.97717921,38.48253158,41.01162756,34.57976076,28.88006011,28.94343729,27.16304797,31.80033881,41.09505844,42.87264676,73.25448529,54.37423816,58.94907972,22.914348,20.48844725,19.47999687,58.67393291,60.07390547,51.53539106,59.409049,50.31539023,55.03391142,73.64492963,45.469639,56.54567742
SYNPCC7942_RS02440,216.8400056,215.7391752,193.0146983,370.2822435,345.8647709,289.9089083,287.4574406,287.0813929,243.3081962,231.2497567,214.6312326,171.1586652,243.6229346,252.0430582,244.9723095,351.3250526,340.2986741,383.2343719,133.644565,136.4530587,136.222795,324.3795318,326.4564151,343.5692737,290.7316073,277.1642843,283.0687463,321.0716123,285.5493329,262.932135
SYNPCC7942_RS02445,76.04815362,75.04635849,98.23001107,80.69505254,72.3617783,86.11448689,116.1546229,115.7712429,127.9034525,89.57004152,117.1426955,146.5126564,74.70384676,88.65786216,93.12337691,42.37148138,44.78651017,36.33668329,200.2983596,197.7544928,196.1717995,76.38219918,84.10346766,56.92318194,71.88418861,72.84751944,74.39126512,27.25242663,38.08750937,43.69917343
SYNPCC7942_RS02450,91.83702089,91.0185468,103.512841,79.23494906,111.6088445,122.0201836,106.1552249,136.6681758,143.3185265,85.90771505,102.8665406,131.4104213,116.9605682,95.32461498,98.90619903,59.78949559,57.78904538,56.85775982,136.7447415,133.5027223,136.9087104,69.20096678,69.29072384,109.2394123,76.60039992,91.27421833,94.87707442,45.88548111,52.85176863,65.91730739
SYNPCC7942_RS02455,181.2449853,198.0092819,197.8381517,168.7879627,198.6882726,239.108266,168.2726971,177.2328101,216.8525961,107.8816738,124.7696824,133.7177072,147.7907271,128.7578829,137.0927658,178.9978907,155.2423901,145.0853182,107.3604599,112.7684137,110.5695597,142.8085989,133.7261594,171.3161333,127.9462489,139.2027305,147.6540746,142.9801732,105.0616129,103.8250241
SYNPCC7942_RS02460,109.3075427,115.7028378,106.4222256,85.46472392,99.06110459,131.2925338,78.48012346,93.30983383,112.4883784,64.66622156,65.7094252,69.21857785,72.44009383,66.56802445,63.91015482,61.14834776,67.90212833,66.13799188,43.13289036,46.22193699,51.99238602,73.03639772,60.64995662,68.16726727,57.81162258,69.98326573,62.75949205,67.43391147,58.52210008,64.02192155
SYNPCC7942_RS02465,80.34571512,88.64946624,61.32676451,124.1087961,126.9869017,117.8772186,122.012856,114.318515,114.050717,162.9212087,151.4641364,123.2300439,153.7196039,145.6735244,131.2102398,175.1683982,188.077075,179.5920965,37.8086742,35.64989821,35.4618253,105.0255239,89.61710007,110.2545033,105.734415,118.2936784,117.7065992,163.3878043,151.1731763,139.4161581
SYNPCC7942_RS02470,39.70573131,36.68253775,35.90793078,81.96047556,96.79685077,72.50188759,95.14578674,102.1379498,84.15797197,78.79233792,82.52790903,61.1430771,73.84146469,81.49359047,71.28823822,87.09007105,89.04766539,108.2258049,15.90525332,17.78397221,18.10816611,97.51787181,75.46270043,71.13445645,73.48161502,74.85249704,77.42941481,99.75655701,78.8497034,66.65440188
SYNPCC7942_RS02475,24.47741554,23.61438368,27.25633978,53.92648867,38.49231492,38.96359945,43.73474061,49.05750545,42.07898599,35.57688565,36.66820602,39.01410752,45.05946312,39.40349429,45.46494633,79.43108608,64.74999858,70.58204667,19.54459094,21.71775408,17.35365919,51.32949069,49.04664063,45.52292877,55.377449,46.11448479,46.09307092,68.95497714,37.98052199,43.17267736
SYNPCC7942_RS02480,104.6362802,122.8865015,113.6191243,68.23550281,86.41902076,116.1016622,55.04719084,65.26100953,86.4494019,56.39982754,61.40702236,62.4015967,89.90333073,66.17000936,75.57550289,46.94216596,45.83722009,42.349228,83.3003945,78.67563743,81.34956441,81.9313333,96.20054177,108.6928248,61.38681503,82.77693232,72.39476676,54.63160873,68.79288912,69.2868822
SYNPCC7942_RS02485,210.9542148,226.0561389,196.9959614,146.3997093,144.8179005,149.0480982,136.0524148,159.5765781,157.6920415,243.4923909,254.330677,275.3011619,225.1895179,233.236845,216.7561257,204.4454859,220.9117599,216.1901948,275.915708,307.2447549,265.7236193,126.4876162,128.7062851,126.339792,122.1650867,135.4792006,138.7132341,165.7961583,206.4856548,223.4449301
SYNPCC7942_RS02490,167.0443473,195.7930453,159.2505246,252.5979027,312.9387466,293.5586632,167.666673,194.4420489,203.9372638,183.6395127,197.2260575,171.6830484,214.1941465,194.8283884,173.8834789,188.5098559,189.2591236,195.9305333,117.3349408,126.4546964,104.8078705,151.4587197,139.980429,195.834486,132.8145961,162.9760363,162.497606,164.7821145,189.7956226,185.9584103
SYNPCC7942_RS02495,158.355799,169.5038932,167.1364881,120.0205064,116.5147278,117.8772186,151.8090419,144.3788087,153.4216494,184.6858917,198.5950038,225.1701313,187.2447068,197.3159828,214.0641223,91.04309555,100.8681519,75.15680895,155.2110101,163.4158553,173.3994088,142.2373645,141.3794104,151.5609001,204.1663092,182.3574864,181.6813511,128.6568048,156.7365203,165.7409614
SYNPCC7942_RS13925,81.09311712,80.4723172,84.44871568,60.6429647,59.24797493,56.62052174,86.45944103,82.02325513,89.67823499,179.7679104,185.7855772,190.3510891,165.253964,145.1760055,150.0542637,109.3258339,132.3894494,104.0431651,164.8485153,186.5268237,170.8615219,62.10133929,60.23849151,71.44679215,95.31310934,91.75159395,88.6271665,104.9535314,121.430683,96.55937839
SYNPCC7942_RS02505,88.56713713,88.8787321,94.40187346,38.15737104,39.81312965,34.32742433,74.23795462,63.58478497,64.88912938,142.5168184,150.8774451,173.6757044,144.1256033,144.2804715,118.3484458,63.24839202,63.43661118,54.37431744,176.9796407,196.6071398,184.3054634,54.34887249,54.88944513,60.74929431,91.73791689,73.51584531,77.34261053,75.03923983,83.87811053,90.87322088
SYNPCC7942_RS02510,34.56734255,34.77198891,40.65482142,33.87440083,39.81312965,43.10656446,44.03775267,49.28100206,55.51509785,72.30478819,83.70129162,92.08168387,50.66494658,57.31417352,55.53503313,22.48282685,25.34837673,22.08956646,121.3112541,121.7013767,121.2012482,37.94628485,57.60511483,54.11216061,43.66298864,54.03892006,55.03391142,17.87252165,23.96517444,28.53608674
SYNPCC7942_RS02515,25.22481754,20.86319335,20.8250686,12.3622095,11.50995691,17.95284836,12.22148641,11.1748304,13.95689139,11.71944468,14.96062806,16.7802613,13.0435288,12.43797168,15.75320509,9.511965207,11.55780908,8.888109581,26.14931478,28.2740572,27.09365762,15.26011885,17.28153445,14.28935843,15.97426414,13.08009196,14.40950993,10.77421518,13.15944846,17.58496858
SYNPCC7942_RS02520,191.1480618,187.2337864,177.2427713,122.5513524,118.5902938,131.6871019,83.42932043,106.0491405,119.8834477,94.27874697,109.6134905,104.1424967,71.90110503,76.81691312,78.06809863,89.68424338,103.363588,107.4415599,198.0069248,214.3091582,200.7674326,87.23565269,101.138123,98.54191442,67.32011314,78.48055175,77.25580625,68.82822167,71.03962423,77.71081925
