Reaction_ID,WT100_0A,WT100_0B,WT205_0A,WT205_0B,WT205_5A,WT205_5B,WT205_10A,WT205_10B,WT205_20A,WT205_20B,WT205_30A,WT205_30B,WT205_40A,WT205_40B,WT205_50A,WT205_50B,WT205_60A,WT205_60B,WT205_70A,WT205_70B,WT205_80A,WT205_80B,AD205_0B,AD205_0A,AD205_50A,AD205_50B,AD205_60A,AD205_60B,AD205_70B,AD205_70A,AD205_80A,AD205_80B
MCTP1App,1.0,0.973395550073844,1.4972488203079688,1.4331522723003374,1.0672189967135726,1.1208322459761038,1.2134131864466284,1.157943211894669,1.2835951928738785,1.2621938198700748,1.5629432468062223,1.4703076351701758,1.270495159293658,1.3415611480995013,1.2314385032624446,1.0742576461758984,1.4259167445510925,1.3582914594792141,1.4213989450790427,1.565078989651048,1.5419605825688738,1.5109150388372257,1.2995105611686617,1.1773171411043546,1.3839222424803261,1.396412791227555,1.3955384193720615,1.3476450136953073,1.4242273159826784,1.434089633494291,1.4997083154664026,1.7001955276640541
MCTP1Bpp,1.0,0.973395550073844,1.4972488203079688,1.4331522723003374,1.0672189967135726,1.1208322459761038,1.2134131864466284,1.157943211894669,1.2835951928738785,1.2621938198700748,1.5629432468062223,1.4703076351701758,1.270495159293658,1.3415611480995013,1.2314385032624446,1.0742576461758984,1.4259167445510925,1.3582914594792141,1.4213989450790427,1.565078989651048,1.5419605825688738,1.5109150388372257,1.2995105611686617,1.1773171411043546,1.3839222424803261,1.396412791227555,1.3955384193720615,1.3476450136953073,1.4242273159826784,1.434089633494291,1.4997083154664026,1.7001955276640541
LEUabcpp,1.0,0.7730724259472646,1.1940062667136262,1.2866886437691136,1.4591352855841342,1.2553128351220293,0.9792084246292904,0.9999880260733803,1.2862005328811623,1.1634639351869864,0.7987045214826148,0.8265666831540975,0.9494994168388589,0.9427825387113608,0.9419385060409275,0.9905612801739196,1.0530360838243586,1.3857507467001666,1.2470960087481815,1.117160452484365,1.368785250182989,2.146637297812937,1.2294100168483404,1.6756646253588836,0.7575020653284836,1.1213918028661924,1.1350707602812566,0.9162156710756555,0.9416015167636126,1.0036359610140237,0.8822858966672248,1.009227153576525
ACLSa,1.0,0.9770296369349983,1.132848539708075,1.2479096760191157,1.2021793574136852,1.2102927448496261,1.5199563377863392,1.3670849623475465,1.2568577300932022,1.0990134000623397,0.897563808542188,1.0240167145500538,1.0982431967370707,1.0001628343013063,0.9024786204030663,0.8912838401420455,0.7307708076744404,0.8348805334660686,0.7421139160311264,0.7865712317030114,0.603838999257003,0.6472273259737493,0.9852528593332084,1.1155094211077625,0.6907370562756407,0.8990840374435125,0.8542909543482088,0.7353876028798352,0.7445942801425626,0.6803585042934793,0.7292456698153428,0.683002505454355
SULabcpp,1.0,1.0769509394296444,1.069728934605096,0.9740660832625534,0.890868907017142,0.9362366629839888,0.8550935764080403,1.0021987586291823,0.9178463159974282,0.9200217530962338,0.8937748387225286,0.9439631106165659,0.8318132464195072,0.8169242451173149,0.5909055224231916,0.5516228689473588,0.6277624345523984,0.6348660445715845,0.6406015612959641,0.5673391463970852,0.8111320001084404,0.8324844229010206,0.5144095208411728,0.6588624613887488,0.6861431751163802,0.7734774378330955,0.659800111127574,0.6028433545918092,0.6140879457154005,0.5845115500269553,0.48959800902014167,0.5126509002239786
PAPA_OLE_PALM,1.0,0.90841493082849,0.8712887148052982,0.8919593130638978,0.7183606596330666,0.7690360797436128,0.6876860867655745,0.8208459893283074,0.6958874008081948,0.7004261582908216,0.9124360996721224,0.8154469519905908,0.7969160489364367,0.957490255951411,0.6625550798417308,0.8068580732911242,0.6922552407185243,0.7641837864914393,0.6196694329596435,0.716960284509928,1.3558271436790204,1.5527651093989077,0.8856447105315695,0.7174419023763131,0.6250241256522017,0.5475655041399465,0.6141199765608297,0.650800727795443,0.5941559859142622,0.47339746375682223,0.5434897782160623,0.6237376005765316
TYRTA,1.0,0.9350090849309608,0.7792592746410183,0.724818305796928,0.7249857127795811,0.6897548856925639,0.701867590418488,0.6543985280871593,0.6303201089895426,0.6207360733520113,0.7701942720193509,0.631515869778569,0.6090441823879431,0.6950921668985466,0.5334094004539687,0.5292372569618392,0.5022361914068186,0.46802553212243614,0.37597413499305593,0.39578235136873635,0.38102643831749716,0.37997483241958563,0.6355718706044763,0.5525779467748239,0.5964631961662558,0.5358881514559991,0.4908861245981555,0.5567714527746758,0.4525978555638677,0.5100091283066945,0.4436678875309437,0.5647351574622501
ACLSb,1.0,0.9770296369349983,1.132848539708075,1.2479096760191157,1.2021793574136852,1.2102927448496261,1.5199563377863392,1.3670849623475465,1.2568577300932022,1.0990134000623397,0.897563808542188,1.0240167145500538,1.0982431967370707,1.0001628343013063,0.9024786204030663,0.8912838401420455,0.7307708076744404,0.8348805334660686,0.7421139160311264,0.7865712317030114,0.603838999257003,0.6472273259737493,0.9852528593332084,1.1155094211077625,0.6907370562756407,0.8990840374435125,0.8542909543482088,0.7353876028798352,0.7445942801425626,0.6803585042934793,0.7292456698153428,0.683002505454355
PHEOX_1,1.0,1.345195843216511,2.5708268900532647,2.509640388775676,1.4215539736374017,1.5246714596623872,1.939199556357741,1.5254054635017689,1.85424790781495,2.0437162545718803,3.121770045139128,3.1844569056252614,3.5130732547612222,3.857790669893785,3.526957714348734,3.2994903492454983,5.125194613078941,4.683463811161511,5.700859089226626,5.450856219843914,11.65468610682127,10.934735349346,2.4629946008167063,2.0476084895689803,4.4054725378314465,3.8909891015630076,3.837682032758726,4.66787773474334,5.415978649053865,5.0279618319805905,5.792292451804238,6.326734058116529
OPMEACPS,1.0,0.9842918305191659,1.070527608931523,1.0291823347802755,0.9116862662400131,0.8928791689257716,0.8679454888845802,0.890527679150995,0.9109495720746871,0.9214725827979482,0.8501993971998184,0.819581612592233,0.8958347427083292,0.9606019085350883,0.8767948481901736,0.8990960670455851,0.7234753769822618,0.6349320987254669,0.5678560749025592,0.5755176247568919,0.5537510223472049,0.5163190803829243,1.008541505532424,0.8875755860322473,0.8241215558429604,0.7117615839424393,0.7132280382874985,0.7783481704886422,0.7491263763405248,0.812834209912488,0.7720590982955233,0.8150653246608998
