Reaction_ID,WT100_0A,WT100_0B,WT205_0A,WT205_0B,WT205_5A,WT205_5B,WT205_10A,WT205_10B,WT205_20A,WT205_20B,WT205_30A,WT205_30B,WT205_40A,WT205_40B,WT205_50A,WT205_50B,WT205_60A,WT205_60B,WT205_70A,WT205_70B,WT205_80A,WT205_80B,AD205_0B,AD205_0A,AD205_50A,AD205_50B,AD205_60A,AD205_60B,AD205_70B,AD205_70A,AD205_80A,AD205_80B
DTMPK,75.7747659250858,69.3388604677337,72.6546046179615,59.6461600188668,105.860714091866,150.730257433002,103.124435793031,104.028517743924,112.292648880976,94.7732979024036,89.2942349881763,85.1807398349678,90.2035831162011,87.5380842035591,89.7287849053531,99.7366611855385,115.165966873653,116.286460775787,147.082199780302,171.386764193263,176.707095147371,176.556596853528,78.1327310506003,85.0167677928237,116.712401432338,114.346653698791,119.665699017352,138.852056025306,153.741474398474,141.77274423451,139.867712638621,164.30542017889
ACOATA,503.90219340182,500.913491999662,640.183025596001,516.168692470963,544.594562494821,519.507197948697,692.945903926343,697.37635969075,786.048542166833,840.83751511086,1390.01359131594,1045.5518262096,962.171553239479,1337.21970007506,890.150332072423,854.445004589511,1284.92314469033,812.26960661296,816.953980126858,1035.95319409126,979.571940490858,931.826483393621,1365.31939002523,601.742057754401,1972.63091601213,1507.4875354602,1604.26827745137,1879.13115820915,1640.19219372073,1668.41169870678,1519.19207375408,1847.48951721886
3HAD160,113.662148887629,117.158764238584,67.1712382317003,89.4692400283002,128.209087066815,73.1700278800982,101.866820722384,136.136084948839,104.877096596383,119.017629923949,104.176607486206,116.079635657456,136.379226854257,117.723630480648,129.494950942953,166.570506309868,90.4875454007276,105.004938461718,93.7363242123167,120.733995828453,82.2072138294289,92.3652566872625,147.250146979977,126.973094755516,141.585536163819,86.0222532412919,118.730810743779,115.710046687755,110.422053435368,92.0114499005426,96.7638263537628,94.6459793657201
RNDR3,14528.5484533698,14460.7389003053,17168.420155384,16882.157368417,8550.01700815304,9452.10420155108,11162.5913670603,11448.2741625844,11464.4438319804,11599.8108572174,13106.4093799312,13399.2644181574,14678.4854478018,13882.3327328334,11581.1311244886,10928.8759973308,11387.446281657,11539.2617084749,10493.8958081594,10369.9400440013,6342.24813235454,6142.698265529,14606.8138997417,14203.3207907388,16527.2413700415,16963.1687184353,16584.9179731861,16487.2931324449,15442.9488731417,15532.0960786191,15263.1741005831,14831.4035505258
G5SD,2071.176935285676,2068.210838089297,1910.953185612045,1967.176239083784,1829.037893476128,1704.861649606288,1780.782940035756,1862.238897885065,1756.4265268364052,1681.6750302217201,2055.751721061129,1954.981489741761,1723.532748827411,1858.423465792801,1770.1042113146968,1770.582789293789,1747.2322402831421,1692.228347110335,1687.253835821705,1888.029900282869,2079.7656807127532,2153.009611630529,2089.54970476349,2003.966669402269,1813.825517341901,1840.036977868609,1791.245932165981,1893.0163638116792,1744.668444278819,1718.172993040746,1905.3677080204611,1950.4643427687602
HISTDa,1722.61301203028,1739.4489996647,1550.42184571537,1403.97884352102,1297.38186270365,1298.03629459294,1413.55933940691,1458.96785379133,1545.61296903155,1455.76193638459,1752.15132210133,1651.83826856437,1623.66449609162,1679.32255788207,1633.47174339063,1674.9589801159,1825.3805749474,1636.68854494876,1915.87901682735,2051.09018200521,2910.28902790539,2996.55779659738,1841.12768808979,1509.32365678948,1659.80341381234,1600.85315178307,1755.72017777021,1761.56975077439,1835.55428826023,1870.27355308042,2131.44319322879,2316.93357487283
TRPS3,788.057565620892,795.005900190395,588.091044926519,558.609229407464,631.635594081467,529.751001851911,542.032095448737,612.612382269775,613.37211039703,665.617115500602,820.514803724687,699.818235114735,713.037847489971,848.213850386211,752.498218865348,663.197386233736,824.259277195718,686.437242340653,702.641389624032,750.771169461988,1150.13270189397,1029.09608999348,861.463444916875,635.969587645019,906.912758670951,687.128974061539,779.696820159931,827.558253910826,849.400411041292,859.086496520372,873.513450629877,934.345108298389
DMBZIDS2,1564.748916353023,1540.996399015663,1762.9022931829961,1837.560545196626,1449.115552901985,1413.6449386434997,1649.990972688493,1702.9853645486828,1751.1297037759791,1788.570494134899,1993.245756569398,2010.9335443392351,2330.259230501866,2293.095332182889,2099.449637728655,2124.288061951778,1858.2851369113082,1849.3018500985252,1450.2457315125089,1534.154395268442,1300.717878628257,1288.209243709076,1599.717583177033,1424.306888996653,2106.563179950882,2103.348996936469,2061.428643228592,2117.031014199173,2103.964818149279,2102.179962523625,1899.2100099797672,1784.644586920016
HSTPT,2572.55330315666,2424.46912118214,2510.01096331109,2322.75911611933,2011.35356774545,2158.5158224629,2110.2780885452,1893.06216240178,2000.08038761588,1850.28333928065,1874.18677658517,1797.14658945932,1681.65251380918,1720.57613779409,1623.27529056048,1602.98406998201,1697.87539733729,1545.56855702744,2004.28075348287,1798.5202137204,1503.54689218871,1367.49623396274,2467.19123817472,2381.5736120665,1903.75146598649,1953.33457969861,1890.34408916473,1929.11789837826,1876.32550799021,1946.32383310025,2045.23542065908,2168.52867922738
ZCAROTDH2,1083.57915272873,1093.88029875821,2278.33873349155,1967.17623908378,1215.04575174331,1388.76712916426,1359.4818913691,1556.57485809427,1714.05194235301,1927.42439571284,1920.81821041233,1612.58831981689,1927.56466301882,2072.74084436014,2120.86218867198,1848.72697743916,2121.52163262251,1699.17082238053,1539.40955210471,1484.88937398212,1680.25398733608,1515.44412299278,1700.88945287076,1358.0600569503,2215.62230915815,2195.66556139054,1974.4840337863,2097.59172635563,1997.78976676912,2242.07492206628,2030.28101113168,2393.40752620033
ORNDC,145.234968023081,160.19667763235,139.825842849662,155.997649280113,123.50416644051,144.876655202594,127.019122135319,125.861663443266,170.557702545634,153.18009777249,161.721781145253,187.898690812429,162.151679173171,185.138017166148,178.437924527691,192.275831357688,255.010355220232,213.481114558534,259.870622409756,226.202773793538,281.963060517761,336.765360665063,136.231428498483,134.701891827591,187.505169514247,217.153736840822,190.717207808904,199.021280302939,208.103100705117,252.56204105353,255.984304263136,248.35104985565
GND,4096.8890110163,4008.50343359157,3583.37993342173,3652.18025961677,3307.55920029252,3210.70082337871,2864.84713093323,2819.04440059152,2952.44917388001,2948.9923858934,4238.49968743877,4141.28714550593,3036.85396491211,2963.21445953427,2976.34458112188,3089.78007074787,2761.51536282039,2776.12229866972,4078.6732291408,3674.75426383613,3701.6294974784,3530.31454541847,2214.76241478048,2347.34608217588,2914.94005872404,2760.05546680292,2579.35674678807,2683.54740278242,3140.23331961966,3370.62352186682,3106.99849710446,3065.77256361441
CMPA_1,258.89711691071,318.002360076158,301.585151244369,289.054467783739,403.446943705667,358.533136612481,326.979918368147,335.203001619311,383.489989574655,347.13475394485,328.404353123182,325.691064074877,350.075810665257,377.319328463617,322.207909432859,342.394929636952,295.318443626011,269.888726128879,179.851809057778,188.733602674363,124.463258321191,120.156572858651,352.598991407837,362.14934852008,322.394092481129,294.783575131744,310.382906826256,323.988130725715,286.247938520915,249.745364015759,204.083706491573,228.66468614758
U23GAAT2,900.456801743102,903.79618126908,937.655652050673,905.015774132421,658.688887682721,677.554458169709,620.004229828833,712.787991949109,786.048542166833,874.999982959401,990.173850202222,843.456345424681,931.02984002079,1090.70440547883,936.034369808115,918.194210708102,887.600558976228,800.988084298891,736.93516677488,721.628480813741,934.242729126968,928.556916785223,884.50258356,686.758825547225,1026.49513718769,893.792192214399,912.450955007306,907.166766032002,877.430624605655,928.564530118741,906.061283130688,994.91853509245
HOXGfx,33584.6391707634,34212.7501528552,24398.2387356694,25325.5301357031,25567.7149134988,24422.6919058192,25130.9219567334,21705.9997332106,19157.5496449394,17997.0084656297,13244.3193650796,12858.1161886176,14863.188022754,13380.2464797578,13588.8126867459,12824.900772858,9576.05014554427,11230.3215589512,9458.98582214044,7299.54963284668,5966.55348223687,5430.75013655019,15746.7504117364,19961.2746094345,9530.23723827006,11573.1402165602,9837.8293028093,8849.50437067953,9520.0798069508,9487.50715556105,9001.67486434596,7845.77310550073
PGK,6269.09896753543,6517.85288396696,9449.2111251247,8794.36747816638,4860.18300697322,5566.77572111787,6002.5967321968,6984.03801841308,6867.86078014499,7743.86005069988,7804.31613796661,6203.99721798015,8832.43418012803,9461.15638811571,8397.79855091464,7794.8827675007,7241.4714742055,5968.79311355121,4480.29146377406,3812.14122460643,3243.7276335313,2771.77509226997,8986.26577249917,6634.62022944257,11055.1517291155,9411.0443149711,8949.6854429149,10017.7130020391,9461.47117858895,10278.054510829,8968.24736069647,8771.03219978001
IMPD,9599.39992994295,9691.89899675719,10434.8462330552,10049.2309216402,6430.45026600257,6810.66619507954,7895.30741352011,8367.23201360081,8223.84748361338,9037.62576857688,10733.1670455788,9994.54014063622,9932.05881240172,10494.5082556681,7852.28832450141,7313.67908260552,6649.18935885528,5702.37562505743,3728.87670220216,4331.85250550018,5209.7861399753,4662.40198357651,8719.81312558302,6927.21040431397,10242.9482142298,9070.10245761232,8507.48328951484,9291.97958921351,8049.76769543832,8487.58680715209,6921.25259774005,7180.22257860099
