,Se_axen_d4_1,Se_axen_d6_3,Se_axen_d8_2
HISTP,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
MTHFR3_1,0.00140228055892125,0.004475004756149232,0.003517653406513158
EX_ca2_e,0.0,0.0,0.0
3HAD40_2,0.006124172425904408,0.01954366446789184,0.015362629011012596
ZCAROTDH1,0.0,0.0,0.0
CYRDAR,3.520188793790024e-08,1.1233744555992856e-07,8.830475487426163e-08
BIOMASS_MEM_LIPIDS,0.002187649084278342,0.006981299137787235,0.005487768624196834
HCO3tcx,0.0,0.0,0.0
GLYALDDy,0.0,0.0,0.0
IMPC,-0.003810807903195155,-0.012161178006166394,-0.009559500284706639
BIOMASS_PROTEIN,0.007033498187943952,0.022445535341112165,0.017643693840813972
LDAPAT,-0.0032872974372146462,-0.010490533847044018,-0.008246262101172491
EX_nh4_e,-0.0031,-0.0031,-0.0031
3OAR40_2,-0.006124172425904408,-0.01954366446789184,-0.015362629011012596
RNDR2,9.038124972543757e-05,0.0002884276757707126,0.00022672346768200797
GRTT,0.0004634892589003575,0.0014791024697638066,0.0011626735891616606
NPDPS,2.4559456701656046e-07,7.837496203144667e-07,6.160796850451788e-07
3OAS100,0.006123812220539462,0.01954251496844892,0.015361725427474354
ADSL2r,0.0026298835574393655,0.008392572622393662,0.006597124088833973
MAN6PI,-0.0019444050007176817,-0.006205050459222743,-0.004877585181441412
HPROb,0.0,0.0,0.0
3OAS120,0.006123812220539462,0.01954251496844892,0.015361725427474354
NTPP2,0.0,0.0,0.0
EAR180y,0.0014967379658973952,0.004776440401665178,0.003754602009492512
DHQTi,0.0053843079684623716,0.0171825841941225,0.013506661806359885
3OAS60,0.006124172425904408,0.01954366446789184,0.015362629011012596
EAR40y,0.006124172425904408,0.01954366446789184,0.015362629011012596
MG2uabcpp,0.00015425361351661948,0.0004922593055628477,0.00038694877826039864
KARA1,-0.004278035565445659,-0.013652210594059246,-0.010731551745647225
TKT1,-0.012929091003243864,-0.06529523538999912,-0.028766109251382555
PTRCabcpp,0.0,0.0,0.0
IPDDI,-0.000309816399714959,-0.0009886964869025268,-0.0007771816466517513
PKETF,0.01833982250693022,0.37579329185726185,0.23246609045578026
ACODA,0.0,0.020606155333338084,0.016197817980832283
ENO,0.10656739186660484,0.4842409666713532,0.4156376074799085
NDHPQRcm,0.0,0.0,0.0
NI2uabcpp,0.0,0.0,0.0
Kabcpp,2.1284862474079213e-08,0.0,0.0
TDPDRR,0.0,0.0,0.0
UAGCVT,0.0006307451716282158,0.002012855148705953,0.0015822389374970552
TDPGDH,0.0,0.0,0.0
PRASCSi,0.0026298835574393655,0.008392572622393662,0.006597124088833973
PRFGS,0.002630232301724517,0.008393685546854327,0.006597998921986914
MG2tex,0.00015425361351661948,0.0004922593055628477,0.00038694877826039864
GLU5K,0.004154994476018248,0.0,0.0
TRDR,0.0,0.007878619151577901,0.00619312224396812
GLUPRT,0.002630232301724517,0.008393685546854327,0.006597998921986914
PSERT,0.012826188287214917,0.32487742925480845,0.3380224816353047
PC8XM,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
GMPS2,0.00146647318628251,0.004679858421790528,0.003678682105709795
RBFK,4.2078535814141214e-07,1.3428243492512389e-06,1.055549860590011e-06
NTRIRfx,0.10054658309565204,0.32766045257934334,0.2568998650629821
UPP3MT,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
ACS,0.038716494476748076,0.0,0.0
DHNCOAS,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
MCOATA,0.04436522453649836,0.14157979267802226,0.11129119791950423
GTHPi,0.0,0.0,0.0
ARGSS,0.0031988349758769095,0.010208229473137813,0.008024351958802195
PKETX,0.01836595630101958,0.6691078393058502,0.42265868287985564
PMPK,3.4874428515158096e-07,1.1129244606652988e-06,8.748331529404019e-07
HMBS,0.00016922443917565452,0.0005400347065699579,0.0004245034427262608
PTPATi,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
PGLYCP,0.0,0.0,0.0
HTHRPDH,3.602053649459559e-07,1.1494994429388037e-06,9.035835382482586e-07
UAGAAT2,0.00013135306537707795,0.0004191783081906886,0.0003295022204652131
SPTc,0.0,0.0,0.0
GTHOr,0.0,0.0,0.0
TDPDRE,0.0,0.0,0.0
SHK3Dr,0.0053843079684623716,0.0171825841941225,0.013506661806359885
ORPT,-0.0025988633263292447,-0.008293579820327697,-0.006519309117399034
PRPPS,0.007399573868428403,0.02361376833194464,0.018562003202165486
CITMS,0.003984476723470249,0.012715395770740042,0.009995152560821115
BCT1_syn,0.0,0.0,0.0
SPODM,0.0055038012635185785,0.003771843942808586,0.003212893344472292
TRDRf,0.0024688318939145555,0.0,0.0
AMPTASECG,0.0,0.0,0.0
SPRMS,0.0,0.0,0.0
PGAMT,-0.0014775775247958328,-0.004715294959325605,-0.0037065375972160737
NNDPR,3.566033112967215e-06,1.1380044485420626e-05,8.945477028413085e-06
ADSK,0.0021426936461777265,0.006837835835785894,0.005374996861820228
MECDPS,0.0018569189060796253,0.005925861899475825,0.0046581242776486675
FCLT,1.4551677598007018e-05,4.643780165532697e-05,3.650322180317324e-05
SHCHCS3,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
PPA,0.0,0.0,0.0
ADCYRS,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
ATPPRT,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
CUabcpp,0.0,0.0,0.0
DHQS,0.0053843079684623716,0.0171825841941225,0.013506661806359885
GTHRDH_syn,0.0,0.0,0.0
ANPRT,0.0009832830466745645,0.003137885840687481,0.0024665883989457935
PC6AR_1,-7.040377587580048e-08,-2.2467489111985711e-07,-1.7660950974852326e-07
ADK1,0.12280128412385238,0.2683342011650893,0.21092865108448677
PRAIi,0.0009832830466745645,0.003137885840687481,0.0024665883989457935
TRSARyr,0.0,0.0,0.0
CYNTtabcpp,0.0,0.0,0.0
RBPCcx,0.0,0.0,0.0
UPP3S,0.00016922443917565452,0.0005400347065699579,0.0004245034427262608
DHNPA_1,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
MOBDabcpp,0.0,0.0,0.0
NADK,6.991258674204914e-07,2.231074176961556e-06,1.7537735038652968e-06
BIOMASS_RNA,0.0015629995973208783,0.00498789674246937,0.003920820853514216
NADTRHD,-0.09620586189605908,0.8402878144488568,0.5092262366258334
PGM,-0.10656739186660484,-0.4842409666713532,-0.4156376074799085
FE3abcpp,2.2041293740465722e-05,7.0338915912919e-05,5.529109814499118e-05
DM_dialurate_c,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
CO2tex,-0.014444339332787506,-2.12463655980325,-1.8047635718032315
USHD2,6.567653268853898e-05,0.0002095891540953443,0.00016475111023260655
DHNCOAT,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
NPHBDC,2.4559456701656046e-07,7.837496203144667e-07,6.160796850451788e-07
DM_co_c,1.4551677598006378e-05,4.643780165532879e-05,3.650322180317328e-05
HCO3E_1_cx,0.0,0.0,0.0
DESAT16a,0.0021508714632414525,0.006863933159907195,0.005395511106183875
UAGDP,0.0014775775247958328,0.004715294959325605,0.0037065375972160737
BIOMASS_CARB,0.0013442346888930439,0.004289766828690646,0.0033720439910945323
EX_fe2_e,0.0,0.0,0.0
PQH2tcm,0.0,0.0,0.0
2PGLYCtcx,0.0,0.0,0.0
PDS1_1,0.0,0.0,0.0
EX_cu2_e,0.0,0.0,0.0
FRTT,0.00046298333409231976,0.0014774879455462244,0.001161404465010212
3OAS180,0.0014967379658973974,0.004776440401665178,0.003754602009492512
EAR80y,0.006124172425904408,0.019543664467891856,0.015362629011012603
DM_5drib_c,1.4293603799894486e-06,4.56142278948171e-06,3.5855837676851778e-06
SK_amylose_c,-0.007068523688075181,-0.02255730989198689,-0.017731556122771486
