,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
3OAS120,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
3OAS140,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
3OAS160,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
3OAS180,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
3OAS60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
3OAS80,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
3PEPTabcpp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3PGtcx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4PCP,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3578.0,3940.0,3205.0,inf,inf,inf,4011.0,3352.0,3724.0,inf,inf,inf,1738.0,2828.0,2940.0,inf,inf,inf
4PEPTabcpp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3080.0,3420.0,2596.0,inf,inf,inf,3579.0,2750.0,3024.0,inf,inf,inf,1716.0,2086.0,2366.0,inf,inf,inf
5DOAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5PISO,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4596.0,4817.0,4005.0,inf,inf,inf,4962.0,4271.0,4573.0,inf,inf,inf,2573.0,3487.0,3798.0,inf,inf,inf
AACPS6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13784.0,14736.0,12769.0,inf,inf,inf,13643.0,12377.0,13221.0,inf,inf,inf,9150.0,9774.0,9907.0,inf,inf,inf
ACBIPGT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1090.0,1098.0,892.0,inf,inf,inf,1014.0,822.0,984.0,inf,inf,inf,460.0,680.0,688.0,inf,inf,inf
ACCOAC,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4456.0,5023.0,4120.0,inf,inf,inf,4078.0,4304.0,4582.0,inf,inf,inf,2582.0,3079.0,2484.0,inf,inf,inf
ACGAMK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1050.0,1083.0,944.0,inf,inf,inf,962.0,1124.0,1030.0,inf,inf,inf,490.0,850.0,660.0,inf,inf,inf
ACGAMT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10944.0,12302.0,10405.0,inf,inf,inf,10852.0,10565.0,11158.0,inf,inf,inf,5486.0,9317.0,8334.0,inf,inf,inf
ACGK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11012.0,12035.0,10832.0,inf,inf,inf,10047.0,10530.0,10629.0,inf,inf,inf,4899.0,7457.0,6462.0,inf,inf,inf
ACGS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4125.0,5092.0,3976.0,inf,inf,inf,3354.0,3794.0,3156.0,inf,inf,inf,1550.0,2472.0,1970.0,inf,inf,inf
ACHBSb,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11343.0,12675.0,11333.0,inf,inf,inf,14149.0,10752.0,11345.0,inf,inf,inf,8760.0,9664.0,11162.0,inf,inf,inf
ACKr,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14884.0,13849.0,11917.0,inf,inf,inf,15304.0,11581.0,12101.0,inf,inf,inf,5206.0,7587.0,8633.0,inf,inf,inf
ACLSa,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11343.0,12675.0,11333.0,inf,inf,inf,14149.0,10752.0,11345.0,inf,inf,inf,8760.0,9664.0,11162.0,inf,inf,inf
ACLSb,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11343.0,12675.0,11333.0,inf,inf,inf,14149.0,10752.0,11345.0,inf,inf,inf,8760.0,9664.0,11162.0,inf,inf,inf
ACM6PH,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2706.0,3215.0,2310.0,inf,inf,inf,2396.0,2578.0,1988.0,inf,inf,inf,1210.0,1784.0,1810.0,inf,inf,inf
ACMAMT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4723.0,5426.0,4616.0,inf,inf,inf,5812.0,4450.0,4410.0,inf,inf,inf,2954.0,4140.0,6274.0,inf,inf,inf
ACOATA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4691.0,5294.0,3826.0,inf,inf,inf,4813.0,4716.0,4054.0,inf,inf,inf,1790.0,3524.0,3105.0,inf,inf,inf
ACODA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ACONT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,48088.0,50284.0,45057.0,inf,inf,inf,51332.0,43013.0,49215.0,inf,inf,inf,27395.0,39800.0,40206.0,inf,inf,inf
ACOTA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22272.0,25233.0,21535.0,inf,inf,inf,22591.0,22054.0,20415.0,inf,inf,inf,14283.0,18824.0,16424.0,inf,inf,inf
ACS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10061.0,11863.0,10640.0,inf,inf,inf,8837.0,9030.0,9712.0,inf,inf,inf,7098.0,6346.0,5740.0,inf,inf,inf
ADCL,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1092.0,1156.0,1022.0,inf,inf,inf,1420.0,1138.0,1166.0,inf,inf,inf,582.0,790.0,926.0,inf,inf,inf
ADCPS2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,822.0,984.0,694.0,inf,inf,inf,816.0,768.0,680.0,inf,inf,inf,376.0,706.0,639.0,inf,inf,inf
ADCS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2346.0,2768.0,2310.0,inf,inf,inf,2742.0,2522.0,2452.0,inf,inf,inf,1152.0,2266.0,2300.0,inf,inf,inf
ADCYRS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3674.0,4006.0,3360.0,inf,inf,inf,4026.0,3689.0,3696.0,inf,inf,inf,1828.0,2830.0,2852.0,inf,inf,inf
ADK1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10512.0,10801.0,9961.0,inf,inf,inf,10846.0,9155.0,9978.0,inf,inf,inf,6343.0,8322.0,8546.0,inf,inf,inf
ADMDC,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,38039.0,37236.0,38709.0,inf,inf,inf,30039.0,27350.0,30727.0,inf,inf,inf,21773.0,19697.0,16791.0,inf,inf,inf
ADNK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOCBLS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,824.0,790.0,632.0,inf,inf,inf,772.0,628.0,694.0,inf,inf,inf,452.0,498.0,546.0,inf,inf,inf
ADPGDP,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ADPGLC,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4743.0,4573.0,4189.0,inf,inf,inf,4685.0,3879.0,4415.0,inf,inf,inf,2670.0,3204.0,3469.0,inf,inf,inf
ADPT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
ADSK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2254.0,2464.0,1894.0,inf,inf,inf,1866.0,1930.0,1686.0,inf,inf,inf,1110.0,1328.0,1420.0,inf,inf,inf
ADSL1r,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22465.0,25333.0,21917.0,inf,inf,inf,20685.0,18748.0,19668.0,inf,inf,inf,14739.0,13328.0,15938.0,inf,inf,inf
ADSL2r,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22465.0,25333.0,21917.0,inf,inf,inf,20685.0,18748.0,19668.0,inf,inf,inf,14739.0,13328.0,15938.0,inf,inf,inf
ADSS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,16045.0,19653.0,14278.0,inf,inf,inf,14969.0,17047.0,17441.0,inf,inf,inf,9532.0,13940.0,11112.0,inf,inf,inf
AFAT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3294.0,4089.0,3218.0,inf,inf,inf,3851.0,3423.0,3763.0,inf,inf,inf,1808.0,2706.0,2548.0,inf,inf,inf
AGDC,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6249.0,6597.0,5674.0,inf,inf,inf,6359.0,5216.0,5789.0,inf,inf,inf,3250.0,4051.0,4188.0,inf,inf,inf
