Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
97)LAC-OL,1747.0,15374.0,46005.5,38432.5,48300.5,55966.5,16598.5,7573.5,31547.25,-30244.0,-37857.5,-42798.5,-16382.5,-13476.0,-53627.0,-7140.5,-9531.5,-10548.0,-675.0,-297.5,-906.0,-828.0,-430.0,-2301.0,-389.0,-2011.0,604.0,4245.0,55997,47890,58431.0,77462.5,71895.0,82250.5,73966.5,79220.0,29013.0,45357.0,51144.0,42885.5,63881.0,13084.5,36564.0,17999.0,-11662.5,17985.0,23611.0,42133.5,32108.5,7601.0,71204.0,21746.0,-82075.0,48395
98)3HBA,4834.0,-1479.0,7057.0,-534.5,115.0,8233.0,1234.0,877.5,-2148.0,-564.0,-839.5,-7768.0,-4606.0,-104.0,-1001.0,556.5,397.0,-1156.0,958.0,-1090.0,71.5,-1282.5,128.5,1144.5,-3655.0,1714.0,5.0,4556.0,1022,53,949.0,1273.0,-254.0,-976.5,-3582.0,324.5,509.5,-2108.5,1567.0,-164.0,3306.5,126.5,42.0,966.5,-2153.5,943.0,-870.5,-886.0,-43.5,-485.0,2413.0,-1247.0,562.0,3962
99)kLEU,6021.0,-1024.0,-394.0,-4568.5,-7827.0,310.0,-6857.5,-8065.5,223.5,-367.0,-813.5,-1909.0,-2222.5,-2097.0,-1861.5,-1066.5,-1084.0,-1129.0,-1471.5,-234.5,-1612.5,-1080.5,-1616.5,-1117.5,917.0,-864.0,-796.0,-1807.0,16564,-450,-1385.75,1467.0,-1864.5,-964.5,-8409.5,-2627.0,-143.25,-2370.5,-515.0,111.5,1367.5,2168.5,-1478.0,-617.0,170.5,861.0,65.0,-2208.5,-127.0,2537.0,522.0,-4477.0,-577.0,2410
101)MAE,-2531.0,-16567.0,2622.0,1045.5,-15841.0,334.5,4941.5,6254.5,515.0,-4139.0,9317.0,4034.5,-6360.5,-7562.5,-6121.0,1818.0,-2135.0,-5328.0,-1794.5,-4700.5,1787.5,-12895.0,-11248.0,-3806.0,-19383.0,-11230.0,-4515.0,16374.0,21220,-1760,19953.0,11624.0,-2615.0,-1874.5,-5809.0,183.0,-13511.0,-10258.0,1811.5,1731.0,-2543.0,-385.0,5578.0,8282.5,7232.5,8935.0,10592.5,-1348.0,2887.5,-14548.5,-6451.5,-4142.0,-35501.0,4815
102)PORP,32074.0,23116.0,100332.0,4464.5,-3446.0,-11789.5,-22374.0,-8283.5,-65084.0,-7383.5,-9494.5,-2052.25,-8569.5,-15261.5,559.25,-4949.0,27035.0,17593.25,22004.0,13895.0,-12670.25,3972.5,-19959.5,-37903.5,-21986.0,-15546.0,-14246.0,39771.0,35774,12239,32658.5,-10996.0,-6860.5,-13856.5,-25642.0,-34496.0,3251.5,63692.0,-903.0,-16356.0,22794.5,22003.5,-22472.0,-63025.0,-13017.5,-40.5,2947.0,-20025.0,21701.5,-6798.0,5946.5,91014.0,-70227.0,23127
103)3HPA,-378.0,884.0,1142.0,-1757.5,-673.5,3299.5,-1021.5,1421.0,2685.0,1159.0,2695.0,-1707.5,-543.0,-2319.0,-3741.5,-1250.5,-2056.5,-1309.0,450.5,140.5,1404.0,-364.5,1944.5,2223.5,-1821.0,4450.0,3176.0,998.0,8146,3082,1012.0,1222.0,-375.0,260.0,1302.5,-1570.5,-98.5,219.5,2481.0,-2281.5,-80.5,-1270.5,-1788.0,-410.0,1286.5,9188.0,-4239.0,4750.0,3403.5,577.0,-695.0,-10273.0,1105.0,-1505
104)PHE,18414.0,23683.0,22560.0,15339.5,-3653.5,22560.0,-9206.5,-33575.0,-18665.5,-678.0,-15493.0,-45112.0,-10000.0,32680.0,615.5,-9549.5,11047.5,31564.0,-9964.0,-23019.5,-5622.0,-14936.0,-6391.5,3609.5,20279.0,-4835.0,50027.0,67588.0,-1068,18314,28027.0,34958.5,-8917.0,-18098.5,30386.0,-26873.0,-9096.0,-44568.5,-3941.5,-5938.0,-31225.5,2177.5,-8433.5,17921.5,-4021.5,6031.0,12045.0,487.5,-2850.5,11377.5,12523.5,-16283.0,18035.0,21389
105)XYL-OL,13363.0,14602.0,17563.0,1525.5,2188.5,4324.0,-7807.0,-3053.5,-6060.0,294.0,1141.5,-1754.0,-6149.5,-3959.0,-2364.5,-9324.0,3600.5,8356.0,-550.5,-2833.5,843.0,1592.5,-5532.5,-4263.5,3827.0,7886.0,10925.0,8726.0,1722,17430,5435.0,2677.0,3655.0,2587.0,154.5,-3232.5,-3516.5,8048.5,5882.0,-4625.5,13589.0,-2710.5,3072.0,-1178.5,1993.5,625.0,-2479.5,3218.5,3668.5,-1313.5,771.5,11419.0,-7783.0,12623
106)9H-CAR,-13812.0,-10509.0,32611.0,-5465.5,-13533.0,39648.0,-19191.5,-19921.0,2579.0,-19029.5,26030.0,-52823.5,-5898.0,-21961.0,-45392.0,-9919.5,-61909.5,-52.5,-17454.0,-18124.0,-4548.0,-23344.0,-13811.0,-7551.5,-16618.0,4074.0,20552.0,188045.0,21060,-11685,51132.5,33848.5,29030.0,-106860.0,-23261.5,-12153.5,-76769.5,-23238.0,-17669.0,-8461.0,33475.0,3577.0,5387.5,-17216.5,-24435.5,-27330.5,-14913.5,-7308.5,-38210.5,10470.0,20610.0,-19662.0,-3932.0,58526
107)SOR-OL,39388.0,42596.0,67838.0,26654.0,-942.0,21372.0,-11269.5,-4542.0,-15488.5,-20520.0,25878.5,-8644.5,-10044.25,-14571.0,-10981.0,-15507.5,-21143.5,5398.5,-17753.25,203.0,303.0,-2342.5,-6502.5,-7797.0,15314.0,-10195.0,5153.0,35635.0,-21678,38935,25543.0,2716.5,-1461.0,-8194.0,-7119.5,-27064.5,-30141.0,-9509.5,6480.5,4507.0,17769.5,18182.5,10446.0,14957.0,-18302.0,-11290.5,2751.0,-9561.0,-11638.0,-4689.5,36199.5,-17260.0,1825.0,43785
