Label,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
SYNPCC7942_RS03405,2994,3550,2814,3163,2895,2748,1550,2164,2468
SYNPCC7942_RS03410,1340,1572,1238,1548,1368,1498,732,1036,1032
SYNPCC7942_RS03415,23945,25109,24044,22964,18703,19471,12467,15460,20404
SYNPCC7942_RS03425,1026,1164,748,1030,820,815,472,660,724
SYNPCC7942_RS03430,2905,2978,2678,2529,2392,2482,1360,1705,1788
SYNPCC7942_RS03435,1902,1820,1646,1594,1250,1190,820,970,1180
SYNPCC7942_RS03440,6390,6334,5106,6305,4918,4518,2632,3348,3706
SYNPCC7942_RS03445,1892,2176,1962,2178,1650,1838,1282,1266,1336
SYNPCC7942_RS03450,18543,19045,18197,14960,12315,13809,13568,8775,10193
SYNPCC7942_RS03455,3550,4169,3204,3761,3532,3867,2822,2794,2698
SYNPCC7942_RS03460,8542,9089,7342,7686,6265,6333,4450,4925,4795
SYNPCC7942_RS03465,48526,48249,47035,47072,37202,44235,31061,28643,28567
SYNPCC7942_RS03470,5194,5207,5152,5248,4118,5392,3376,2927,3087
SYNPCC7942_RS03475,722,660,607,815,610,645,347,564,544
SYNPCC7942_RS03480,59540,73730,46303,63868,53613,43517,41909,49861,65736
SYNPCC7942_RS03485,8270,8292,8013,8669,7052,9451,5373,5050,6302
SYNPCC7942_RS03490,2471,2952,2126,2626,2308,2032,1288,1830,1718
SYNPCC7942_RS03495,5627,6175,5046,4336,4706,4466,2686,3330,2766
SYNPCC7942_RS03500,2420,2742,1930,2590,2064,1962,1016,1663,2054
SYNPCC7942_RS03505,2234,2534,2060,1930,1828,1535,1104,1304,1319
SYNPCC7942_RS03510,34085,35376,32505,33713,25079,21561,24367,20745,18023
SYNPCC7942_RS03515,29790,29956,29850,35088,28753,34564,19472,23523,27445
SYNPCC7942_RS03520,34696,36049,33249,43475,35509,45005,23224,31585,35886
SYNPCC7942_RS03525,30820,31554,27511,35079,28804,33039,17647,24850,24640
SYNPCC7942_RS03530,910,855,707,1030,748,860,424,720,770
SYNPCC7942_RS03535,1894,2332,1410,1864,1734,1558,750,1462,1284
SYNPCC7942_RS03540,10958,10612,10134,12032,9951,12423,5769,8469,8931
SYNPCC7942_RS13620,433,668,470,484,458,378,254,370,480
SYNPCC7942_RS03550,1504,1510,1632,2028,1574,2020,1170,1024,1286
SYNPCC7942_RS03555,502,492,422,488,359,408,198,294,380
SYNPCC7942_RS03560,30184,35588,27829,24902,28532,26910,17608,21234,18404
SYNPCC7942_RS03565,23040,22561,20869,20382,17334,18664,12826,15175,17339
SYNPCC7942_RS03570,25848,26839,23220,21386,19504,17772,27577,14736,11294
SYNPCC7942_RS03575,406961,408594,371865,311485,274644,274707,401340,196238,167517
SYNPCC7942_RS03580,7750,7501,6846,8261,6729,7280,4386,5772,4800
SYNPCC7942_RS03585,6063,6407,5497,4963,5042,4218,3287,3845,3044
SYNPCC7942_RS03590,74330,66974,80029,82865,59637,83180,70986,44506,63302
SYNPCC7942_RS03595,2064,2378,2031,2342,1943,2229,1200,1653,1672
SYNPCC7942_RS03600,718,864,598,814,822,752,408,560,662
SYNPCC7942_RS03605,19217,19773,21643,18675,16784,20093,13844,9496,8751
SYNPCC7942_RS03610,3113,3179,3413,2906,2538,2453,2053,1619,1846
SYNPCC7942_RS03615,6894,6681,6340,6666,5756,6029,3893,3821,3996
SYNPCC7942_RS03620,2880,2918,2204,3016,2515,2576,1645,1840,1874
SYNPCC7942_RS03625,2104,2436,2074,2268,2042,2331,1200,1620,1338
SYNPCC7942_RS03630,46663,48876,41625,45852,44976,45926,22565,36358,28635
SYNPCC7942_RS03635,978,1016,662,910,718,582,416,582,564
SYNPCC7942_RS03640,9933,11154,9407,10613,8590,9320,6768,6896,8397
SYNPCC7942_RS03645,11825,12287,10548,9624,9475,9667,6710,6979,5910
SYNPCC7942_RS03650,130054,137775,126576,134914,124753,121047,67816,113389,95723
SYNPCC7942_RS03655,15043,15521,14095,16527,13724,14240,8071,11454,12601
SYNPCC7942_RS03660,6624,6581,5944,6872,5505,6424,3428,4048,4182
SYNPCC7942_RS03665,44,58,38,60,67,62,26,34,50
SYNPCC7942_RS03670,13504,15329,10155,10564,10818,7669,5576,7615,6077
SYNPCC7942_RS03675,38,60,40,52,24,46,16,16,10
SYNPCC7942_RS03680,1352,1434,1028,1238,1304,1104,666,1092,976
SYNPCC7942_RS03685,86,146,92,92,98,74,56,74,92
SYNPCC7942_RS03695,75,122,82,122,96,94,64,70,66
SYNPCC7942_RS03700,322,322,246,328,300,366,144,172,248
SYNPCC7942_RS03705,296,246,226,244,252,178,96,176,178
SYNPCC7942_RS03710,26,28,44,38,26,14,10,16,16
SYNPCC7942_RS03720,54,62,64,108,72,76,40,66,59
SYNPCC7942_RS03725,164,164,110,164,176,140,76,124,114
SYNPCC7942_RS03730,218,228,188,190,138,148,62,112,108
SYNPCC7942_RS03735,4936,4155,5104,5460,3590,3997,3596,3002,3439
SYNPCC7942_RS03745,1795,1485,1984,1708,1059,1082,1230,836,1206
SYNPCC7942_RS03750,538,656,568,632,514,574,292,454,506
SYNPCC7942_RS03755,18,22,38,18,6,18,10,8,16
SYNPCC7942_RS03760,1466,1750,1312,1470,1462,1348,680,1040,1130
SYNPCC7942_RS03765,10203,11482,8872,11533,10296,9168,5170,8428,9797
SYNPCC7942_RS03770,3454,3560,2890,3762,3382,3678,1464,2934,3210
SYNPCC7942_RS03775,832,882,732,754,648,688,382,464,586
SYNPCC7942_RS03780,1180,1338,1044,1130,976,914,504,784,824
SYNPCC7942_RS03785,912,906,946,1136,752,1120,590,730,749
SYNPCC7942_RS03790,2140,2362,2044,2824,2208,2424,1472,2060,1988
SYNPCC7942_RS03795,3834,3865,3706,4078,3594,3918,2548,2874,2652
SYNPCC7942_RS03800,506,616,524,572,602,632,356,466,506
SYNPCC7942_RS03805,738,846,750,876,854,964,466,802,600
SYNPCC7942_RS03810,798,960,668,911,724,774,554,798,638
SYNPCC7942_RS03815,886,916,770,1062,984,950,545,756,660
SYNPCC7942_RS13625,756,862,590,848,706,760,426,636,610
SYNPCC7942_RS03825,632,674,536,664,614,432,306,518,552
SYNPCC7942_RS03830,1050,1078,890,1004,822,746,636,802,840
SYNPCC7942_RS03835,404,406,348,466,412,342,168,274,328
SYNPCC7942_RS03840,644,676,584,670,672,606,408,512,528
SYNPCC7942_RS03845,2795,2800,2563,3058,2360,2213,1448,1576,1856
SYNPCC7942_RS03850,21536,23767,19791,25951,21569,26926,13670,20508,19941
SYNPCC7942_RS03855,12613,13189,11630,13637,11837,12748,6106,9346,9027
SYNPCC7942_RS03860,11676,12328,9839,13886,9996,11638,5380,8970,9260
SYNPCC7942_RS03865,2630,2924,2547,3276,2534,2746,1362,2130,2244
SYNPCC7942_RS03870,2170,2115,1906,2224,1838,1934,1158,1376,1300
SYNPCC7942_RS03875,582,662,534,580,452,456,284,406,400
SYNPCC7942_RS03880,72,102,68,110,86,64,36,60,90
SYNPCC7942_RS13935,56,48,60,40,40,58,24,62,46
SYNPCC7942_RS03885,3340,3538,3227,3845,2868,3196,1716,2376,2590
SYNPCC7942_RS03890,390,404,380,426,344,354,202,338,412
SYNPCC7942_RS03895,32,50,34,94,46,40,24,30,48
SYNPCC7942_RS03900,836,910,746,1026,834,850,416,850,782
SYNPCC7942_RS03910,1030,1406,993,1609,1372,1482,484,1162,1090
SYNPCC7942_RS03915,4,18,8,6,4,2,2,4,16
SYNPCC7942_RS13940,100,90,116,102,98,92,62,100,64
SYNPCC7942_RS03920,610,582,544,738,630,646,446,556,504
SYNPCC7942_RS03925,4379,3995,3730,3986,3555,3762,1927,2576,2952
SYNPCC7942_RS13690,5537,5011,4850,5310,4449,5104,2867,3635,4026
SYNPCC7942_RS03930,19873,18365,18194,18505,14647,18063,9744,11958,17109
SYNPCC7942_RS03935,4371,3691,3432,3843,3184,4127,1769,2700,3469
SYNPCC7942_RS03940,13431,11922,11214,14874,13147,16185,6809,12346,11478
SYNPCC7942_RS03950,47588,42538,46435,52256,41227,51510,30926,36461,39188
SYNPCC7942_RS03955,858,725,718,820,592,678,556,488,672
SYNPCC7942_RS03960,1288,1047,1207,1169,754,982,719,558,842
SYNPCC7942_RS13695,9365,8682,9692,9286,6695,7807,5026,5281,6090
SYNPCC7942_RS03965,82,56,48,46,54,42,32,26,34
SYNPCC7942_RS03970,590,602,478,482,454,536,252,358,424
SYNPCC7942_RS13700,236,208,170,180,158,156,90,104,162
SYNPCC7942_RS03975,616,662,618,758,524,740,346,472,450
SYNPCC7942_RS13945,0,2,4,2,2,8,2,2,4
SYNPCC7942_RS13950,28,36,36,24,28,14,30,26,34
SYNPCC7942_RS13955,16745,15399,18292,19067,12338,19073,14589,7776,9757
SYNPCC7942_RS03985,12131,12600,13665,12941,9333,11534,10047,6522,8489
SYNPCC7942_RS03990,8129,8278,7710,7729,6721,8143,5439,4309,5087
SYNPCC7942_RS03995,10207,10626,10959,9877,8140,10164,7062,5216,6474
SYNPCC7942_RS04000,5568,5883,5560,6125,5774,5033,3430,5246,4712
SYNPCC7942_RS04005,2342,2450,2012,1860,1788,1760,1016,1234,1198
SYNPCC7942_RS04010,9128,9354,8481,10346,8167,10105,5564,6177,6633
SYNPCC7942_RS04015,7593,8043,6588,8188,6146,6278,4202,5456,7342
SYNPCC7942_RS04020,1762,2136,1394,1594,1492,1508,702,1194,1182
SYNPCC7942_RS04025,7161,8192,6333,6376,5828,5477,4146,4632,4349
SYNPCC7942_RS04030,7233,7768,6809,7842,6340,6694,3916,4960,5803
SYNPCC7942_RS04035,958,1034,796,882,956,830,402,594,702
SYNPCC7942_RS04040,107604,109458,92695,129191,100832,114035,60694,90212,88327
SYNPCC7942_RS04045,10700,11156,10980,11885,10301,12374,5738,7948,8847
SYNPCC7942_RS04050,16011,16305,19506,16672,11441,15231,18456,8403,11960
SYNPCC7942_RS04055,20226,21278,19893,22574,20240,23230,12061,18462,19060
SYNPCC7942_RS04060,2518,2708,2130,2384,2174,1983,1242,1540,1790
SYNPCC7942_RS13710,3221,3656,2908,3402,3142,3189,1660,2406,3006
SYNPCC7942_RS04065,1230,1386,1164,1396,1258,1304,642,943,960
SYNPCC7942_RS04070,696,788,480,628,664,492,328,452,410
SYNPCC7942_RS04075,5790,6718,4931,5718,5387,4176,3378,3911,3335
SYNPCC7942_RS04080,8460,9391,7580,8070,8108,7126,4980,6740,5287
SYNPCC7942_RS04085,2875,3068,2743,2915,2654,3555,1964,1968,1955
SYNPCC7942_RS04090,54879,59360,45701,48872,46086,44390,32262,39364,34115
SYNPCC7942_RS04095,3978,4190,3653,4467,4049,4259,2217,3494,3498
SYNPCC7942_RS04100,10162,10654,9401,11319,10442,12001,5960,9768,8330
SYNPCC7942_RS04105,8175,7728,7115,7125,6173,6560,3615,4114,4046
SYNPCC7942_RS04110,70899,71656,66889,68904,60739,59269,41591,49532,48463
SYNPCC7942_RS04115,2036,2161,1810,2252,2049,2180,884,1632,1310
SYNPCC7942_RS04120,3306,3135,2998,3851,3276,3790,2208,2490,2527
SYNPCC7942_RS04125,15870,18419,18626,9038,8668,9932,19580,4787,4163
SYNPCC7942_RS04130,5275,5664,5539,3948,3436,3915,5668,2453,2408
SYNPCC7942_RS04135,9490,10952,9135,10362,9316,9716,5200,7568,7308
SYNPCC7942_RS04140,2148,2209,1856,1832,1764,1450,1156,1198,1054
SYNPCC7942_RS04145,22684,24893,24314,24847,22195,28664,17528,21282,18879
SYNPCC7942_RS04150,1122,1310,958,1264,1042,968,786,932,1134
SYNPCC7942_RS04155,4367,4167,4347,5437,4254,5061,2864,3707,3868
SYNPCC7942_RS04160,7898,8416,7023,9552,7327,7143,4306,6630,7790
SYNPCC7942_RS04165,10860,10359,9545,12368,8990,11586,5940,7107,7282
SYNPCC7942_RS04170,1006,1226,764,1162,946,1078,548,698,724
SYNPCC7942_RS04175,6301,6223,6394,6882,5755,5712,3658,4743,5313
SYNPCC7942_RS04180,19067,21066,17864,22594,20297,19446,11925,18905,15347
SYNPCC7942_RS04185,8011,8700,6952,7740,7216,7192,4442,5799,5371
SYNPCC7942_RS04190,238,228,194,236,238,240,142,192,180
SYNPCC7942_RS04195,4824,5142,4534,4170,3657,3799,2388,2979,2914
SYNPCC7942_RS04200,12656,12990,12062,14137,12624,15563,7151,9375,9617
SYNPCC7942_RS04205,9437,10599,8804,10580,9032,9296,4771,7037,7916
SYNPCC7942_RS04210,588,698,560,638,666,540,332,550,496
SYNPCC7942_RS04215,642,700,610,668,556,618,406,390,446
SYNPCC7942_RS04220,6932,7222,6358,7130,6039,7181,3408,4948,4614
SYNPCC7942_RS04225,4018,4253,3916,4502,3977,4652,1960,3150,3251
SYNPCC7942_RS04230,2734,2775,2298,2011,1642,1314,1171,1114,1557
SYNPCC7942_RS04235,2576,3183,2292,2482,2174,1742,1506,1736,2044
SYNPCC7942_RS04240,6274,6340,5461,6504,5590,5208,3001,4720,4877
SYNPCC7942_RS04245,5840,6299,4670,6062,5568,5350,2544,4476,4186
SYNPCC7942_RS04250,3080,3420,2596,3579,2750,3024,1716,2086,2366
SYNPCC7942_RS04255,4093,4394,4060,3801,3602,3721,1896,2407,2704
SYNPCC7942_RS04260,8405,8445,7668,7018,6348,6734,3615,4471,4298
SYNPCC7942_RS04265,820,783,698,664,684,620,328,482,458
SYNPCC7942_RS04270,1696,1788,1504,1478,1492,1464,824,1174,950
SYNPCC7942_RS04275,6418,6798,6095,6135,5952,5674,3455,4029,3929
SYNPCC7942_RS04280,4061,3970,4104,4902,3562,4540,2498,2808,3012
SYNPCC7942_RS04285,1886,1944,1384,2023,1656,2055,620,1288,1474
SYNPCC7942_RS04290,6008,6558,5577,5686,5580,5683,2716,3882,3526
SYNPCC7942_RS04295,1616,1479,1406,1758,1428,1696,804,1460,1212
SYNPCC7942_RS04300,206,212,178,226,172,182,98,160,172
SYNPCC7942_RS04310,14426,15506,14064,15734,12359,14886,8537,10297,11215
SYNPCC7942_RS14150,670,664,578,742,560,802,334,464,494
SYNPCC7942_RS04315,828088,702052,1114722,955013,602234,1033189,620229,308111,356885
SYNPCC7942_RS04320,6684,6891,6081,6888,6097,6087,3562,5441,5130
SYNPCC7942_RS04325,566,764,500,568,480,532,318,384,451
SYNPCC7942_RS04330,1027,979,940,786,632,724,422,478,536
SYNPCC7942_RS04335,886,1030,772,844,674,850,406,534,596
SYNPCC7942_RS04340,702,880,662,790,548,674,350,490,546
SYNPCC7942_RS04345,304,308,311,350,170,180,142,68,160
SYNPCC7942_RS04350,6553,6586,5291,7307,5027,5748,3028,4007,4846
SYNPCC7942_RS04355,9400,10007,8429,9009,8926,8104,4370,6665,5900
SYNPCC7942_RS04360,11674,12746,10015,10555,10108,8823,5922,7784,7587
SYNPCC7942_RS04365,16387,16794,14864,19835,15251,17192,8992,12667,13788
SYNPCC7942_RS04370,5598,6088,4494,5541,4799,4259,2896,4241,4798
SYNPCC7942_RS04375,24183,25293,20769,26677,22443,23842,13887,19430,22253
SYNPCC7942_RS04380,13705,13736,10942,12644,11388,11227,6440,9421,8777
SYNPCC7942_RS13960,54023,56649,51089,71759,57476,65618,39943,59552,53149
SYNPCC7942_RS04385,10252,11187,8750,10180,9661,10257,9100,6985,6183
SYNPCC7942_RS04390,5464,5624,3879,5208,4800,3631,3420,3068,2413
SYNPCC7942_RS04395,6402,7721,5414,6974,7447,6963,3090,5957,5853
SYNPCC7942_RS13715,516,498,366,488,366,318,138,250,222
SYNPCC7942_RS04400,5051,5769,4190,3634,4265,3530,1996,2740,2018
SYNPCC7942_RS04405,8065,8753,7276,7906,6812,7188,3962,5318,5057
SYNPCC7942_RS13965,963,842,844,848,640,692,416,406,464
SYNPCC7942_RS04410,16465,15687,16132,15895,13252,16619,15858,10124,11051
SYNPCC7942_RS04415,3750,3851,3724,3130,2594,2700,3060,2478,3149
SYNPCC7942_RS04420,8803,8294,8286,8440,7098,9392,7800,5998,6227
SYNPCC7942_RS04425,90759,88691,87952,88526,77200,96667,70232,61011,61648
SYNPCC7942_RS04430,31012,28962,29493,28875,25429,32750,21991,19453,19533
SYNPCC7942_RS04435,17551,17375,17582,18608,14677,15838,11119,10965,16902
SYNPCC7942_RS04440,23632,23603,20489,21157,18879,20055,9790,12736,11528
SYNPCC7942_RS04445,8099,8238,7766,7946,6891,7552,3750,4497,3302
SYNPCC7942_RS04450,22523,25523,20709,23388,23031,22749,12623,17701,15926
SYNPCC7942_RS04455,10545,11843,9538,11436,9329,10649,7250,6497,7315
SYNPCC7942_RS04460,2445,2526,2129,2410,2168,2342,1208,1873,1606
SYNPCC7942_RS04465,4091,4219,3384,3997,3381,3592,2004,2747,2290
SYNPCC7942_RS04470,566,670,510,592,500,396,252,398,448
SYNPCC7942_RS04475,6268,7256,5142,6356,6103,5216,2980,5324,4498
SYNPCC7942_RS04480,1519,1426,1346,1442,1258,1120,532,964,1038
SYNPCC7942_RS04485,1397,1150,1171,1532,1098,1295,604,853,997
SYNPCC7942_RS04490,2645,2346,2368,2739,2229,3036,1476,1656,1565
SYNPCC7942_RS04495,1066,946,883,1032,764,978,478,602,762
SYNPCC7942_RS04500,2051,1894,1582,1568,1517,1451,834,939,1141
SYNPCC7942_RS04505,5454,5566,4848,4522,4387,4116,2592,3310,3376
SYNPCC7942_RS04510,1816,2292,1766,1980,1481,1520,1326,1198,1362
SYNPCC7942_RS04515,25050,27906,24342,24622,23324,24393,14603,19469,18133
SYNPCC7942_RS04520,20017,21629,19000,21676,19181,20314,11271,16198,15577
SYNPCC7942_RS14155,39582,37102,34475,47282,33475,46548,21005,29901,35712
SYNPCC7942_RS04525,44385,47879,44296,51579,48177,51724,19330,42819,37861
SYNPCC7942_RS04530,1450,1468,1314,1418,1262,1178,584,980,1250
SYNPCC7942_RS04535,1120,1228,998,1236,1142,1338,724,824,744
SYNPCC7942_RS04540,1244,1414,1080,1196,1038,1054,734,740,800
SYNPCC7942_RS04545,4466,4352,3439,3564,3324,3214,2196,2465,2240
SYNPCC7942_RS04550,35880,36938,32453,34924,29736,35015,24197,24136,19709
SYNPCC7942_RS04555,233742,235352,231336,229758,194747,224508,165898,161443,148157
SYNPCC7942_RS04560,174451,179442,159813,165564,149897,148351,105878,136727,131278
SYNPCC7942_RS04565,36525,36819,33560,33649,31146,34462,22453,25508,19924
SYNPCC7942_RS04570,39070,41156,36663,38158,34511,36613,25067,28241,25136
SYNPCC7942_RS04575,642,742,588,648,586,542,286,488,592
SYNPCC7942_RS04580,14096,14970,13464,14632,13362,14103,7322,10455,9644
SYNPCC7942_RS04585,259875,275625,256608,281632,233941,256999,144077,193588,196697
SYNPCC7942_RS04590,27582,29659,30868,30302,20027,21531,15126,15338,19519
SYNPCC7942_RS04595,1202,1556,1196,1562,1424,1578,824,1010,1088
SYNPCC7942_RS04600,83107,91224,68814,84707,71145,71759,64803,51400,49705
SYNPCC7942_RS04605,1746,1695,1548,1760,1345,1666,932,1194,1590
SYNPCC7942_RS04610,974,1112,922,952,800,750,372,620,750
SYNPCC7942_RS04615,10833,11391,9483,8724,9671,9377,4449,6101,4766
SYNPCC7942_RS04620,3004,2870,2425,2556,1995,2438,1392,1241,1036
SYNPCC7942_RS04625,1236,1368,1017,1016,874,799,526,586,622
SYNPCC7942_RS04630,64,60,44,52,64,56,40,40,46
SYNPCC7942_RS04635,1324,1398,1060,1334,1372,1366,822,984,776
SYNPCC7942_RS04640,9200,9919,8755,12016,11502,11277,9964,13031,11990
SYNPCC7942_RS04645,582,732,420,674,616,538,386,450,470
SYNPCC7942_RS04650,3008,2792,2670,3036,2556,2712,1550,2134,1968
SYNPCC7942_RS04655,48088,50284,45057,51332,43013,49215,27395,39800,40206
SYNPCC7942_RS04660,23942,23930,24819,28045,21019,24226,14952,19112,22615
SYNPCC7942_RS13970,87776,89001,115881,99015,84949,118104,96725,73895,84915
SYNPCC7942_RS13975,7357,7312,7531,8180,6806,9042,4810,5922,7145
SYNPCC7942_RS13980,1374,1198,1316,1611,1192,2202,844,1016,1500
SYNPCC7942_RS04670,5543,5553,4690,5838,4765,4993,2574,3886,3494
SYNPCC7942_RS04675,14122,15009,14142,17263,13411,16097,10033,10951,12544
SYNPCC7942_RS04680,10376,11333,9588,11504,9134,9936,7079,8522,9806
SYNPCC7942_RS04685,410,434,346,378,316,286,214,258,313
SYNPCC7942_RS04690,5265,5884,4759,5922,5556,5604,2474,4658,3946
SYNPCC7942_RS04695,394,420,302,350,266,297,180,208,220
SYNPCC7942_RS04700,556,614,392,510,563,448,190,418,360
SYNPCC7942_RS04705,1682,1811,1272,1641,1448,1542,1010,1098,1189
SYNPCC7942_RS13870,2815,3178,2300,2320,2145,1277,1255,1708,2393
SYNPCC7942_RS04710,884,828,599,792,778,610,394,256,192
SYNPCC7942_RS04715,214,277,256,254,156,196,170,178,152
SYNPCC7942_RS04720,3407,3632,3148,2854,2190,1802,1838,1738,2614
SYNPCC7942_RS04725,13784,14736,12769,13643,12377,13221,9150,9774,9907
SYNPCC7942_RS04730,2846,3130,2348,2602,2554,2003,1560,1689,2134
SYNPCC7942_RS04735,18059,18489,18533,13738,14138,14913,18010,9481,7639
SYNPCC7942_RS04740,1546,1578,1323,1798,1516,1377,826,1284,1562
SYNPCC7942_RS04745,1306,1432,1276,1526,1250,1640,586,876,1126
SYNPCC7942_RS04750,3328,3414,3044,3338,2444,2921,1517,2006,2086
SYNPCC7942_RS04755,24169,23873,23059,26341,21399,25875,12754,16973,17880
SYNPCC7942_RS04760,6056,7164,5146,5920,5710,5754,2712,4352,3753
SYNPCC7942_RS04765,6672,7560,6047,7200,6687,6879,3812,5718,5720
SYNPCC7942_RS04770,4058,4803,3586,3981,3890,3645,2171,2936,2831
SYNPCC7942_RS04775,31649,32358,28074,34464,31193,31436,17818,23201,21438
SYNPCC7942_RS04780,6422,6782,5337,6034,5321,4788,3307,4126,4498
SYNPCC7942_RS04785,1636,1826,1332,1591,1476,999,711,1132,1436
SYNPCC7942_RS04790,3404,3908,2740,3031,3220,2891,1428,2803,2362
SYNPCC7942_RS04795,4077,4114,3136,3958,3620,3742,1788,2890,2639
SYNPCC7942_RS04800,862,978,712,678,705,636,386,474,410
SYNPCC7942_RS04805,1546,1658,1452,1892,1310,1484,851,1068,1432
SYNPCC7942_RS04810,696,820,656,700,720,681,402,460,612
SYNPCC7942_RS04815,1254,1343,1194,1436,1154,1224,746,990,1050
SYNPCC7942_RS04820,876,946,718,802,764,730,556,616,542
SYNPCC7942_RS04825,302,420,330,364,312,248,172,220,312
SYNPCC7942_RS04830,2254,2464,1894,1866,1930,1686,1110,1328,1420
SYNPCC7942_RS04835,8116,7612,8193,9328,7024,9101,6179,5942,5698
SYNPCC7942_RS04840,14897,15732,12812,12378,13255,11133,6902,11795,9784
SYNPCC7942_RS04845,73132,75501,66644,70388,59242,60898,58619,46806,48565
SYNPCC7942_RS04850,22272,25233,21535,22591,22054,20415,14283,18824,16424
SYNPCC7942_RS04855,2536,2665,2236,2312,2171,2316,1370,1586,1328
SYNPCC7942_RS04860,1060,1180,1170,1084,998,1184,598,722,778
SYNPCC7942_RS04865,2390,2678,2500,2832,2140,2598,1176,1752,1783
SYNPCC7942_RS04870,2812,3158,2730,3116,2609,2911,1585,1927,1784
SYNPCC7942_RS04875,2391,2604,2342,2364,2046,2220,1518,1438,1402
SYNPCC7942_RS04880,3044,3465,3142,3250,2788,3060,1609,1804,1816
SYNPCC7942_RS04885,5611,6227,5656,5562,4888,6259,3280,3382,3372
SYNPCC7942_RS04890,3526,3646,3181,3300,2824,2596,1926,2096,2226
SYNPCC7942_RS04895,4532,4477,4492,4230,3934,4904,2738,3024,2768
SYNPCC7942_RS04900,472,556,398,430,436,388,258,342,326
SYNPCC7942_RS04905,2423,2977,2364,2406,2416,2076,1378,1906,1730
SYNPCC7942_RS04910,3137,3070,3032,3119,2380,2770,1628,1676,2190
SYNPCC7942_RS04915,28081,28882,28890,32443,28567,33537,20056,25077,24575
SYNPCC7942_RS04920,6674,7591,6565,7358,6542,7178,3660,5711,5752
SYNPCC7942_RS04925,1868,1950,1988,2074,1662,2088,1152,1226,1159
SYNPCC7942_RS04930,6279,8174,6402,8858,7392,7027,4291,6891,8718
SYNPCC7942_RS04935,2502,2788,1934,1992,2386,2092,1104,1718,1332
SYNPCC7942_RS04940,3209,3433,2744,4442,3997,3864,1736,3890,3712
SYNPCC7942_RS04945,3236,3968,3169,3690,3698,4262,1752,3173,3198
SYNPCC7942_RS04950,5361,5446,4917,5878,5023,6127,2852,4196,5175
SYNPCC7942_RS04955,9609,9669,9333,11605,9331,10737,5477,8088,8110
SYNPCC7942_RS04960,7434,8428,6591,8886,7991,7472,3597,7405,7857
SYNPCC7942_RS04965,1520,1666,1438,1778,1514,1542,914,1316,1640
SYNPCC7942_RS04970,11743,13085,10480,10562,8998,8994,7100,6739,6986
SYNPCC7942_RS04975,1866,1822,1808,2325,1812,1880,880,1754,1874
SYNPCC7942_RS04980,4587,5295,3740,6229,5952,6003,1976,5671,4753
SYNPCC7942_RS04985,2346,2595,1946,2696,2306,2204,884,1996,2064
SYNPCC7942_RS04990,48447,45730,42123,48539,36956,36884,28155,27644,25712
SYNPCC7942_RS04995,1900,1962,1572,1742,1572,1556,870,1116,1117
SYNPCC7942_RS05005,490,524,402,494,398,374,208,358,368
SYNPCC7942_RS05010,5412,5670,5166,6810,5116,6160,3020,4513,4910
SYNPCC7942_RS05015,140232,147967,130508,119649,120815,124309,76321,85053,72909
SYNPCC7942_RS05020,79177,83702,73657,61434,63404,60955,40737,46190,41593
SYNPCC7942_RS05025,1520,1868,1481,1416,1564,1504,686,1115,1008
SYNPCC7942_RS05030,2415,2456,2068,2763,2242,2677,1490,1870,1883
SYNPCC7942_RS05035,1372,1458,1208,1724,1208,1748,894,1034,1111
SYNPCC7942_RS13720,5019656,5476759,4891854,5982851,5384765,4670652,2993874,4817071,6035330
SYNPCC7942_RS05040,5509,5859,4562,4490,4946,4582,2188,3507,2900
SYNPCC7942_RS05045,15012,14872,13436,17621,12287,15561,8678,11057,13407
SYNPCC7942_RS05050,9012,8583,7720,9671,7523,7737,4183,6374,7486
SYNPCC7942_RS05055,3401,3694,2768,3988,2852,2902,1721,2584,3415
SYNPCC7942_RS05060,13772,14110,11677,13768,11702,13440,6744,9894,9891
SYNPCC7942_RS05065,10405,11468,8972,11379,11037,9610,5119,9607,7667
SYNPCC7942_RS05070,5440,5209,5425,5350,4511,5740,3927,3552,3413
SYNPCC7942_RS05075,8140,8072,8261,8578,6685,6614,4314,4515,5405
SYNPCC7942_RS05080,37443,33853,39741,46686,29005,39954,23434,18897,22819
SYNPCC7942_RS13875,1090,1098,892,1014,822,984,460,680,688
SYNPCC7942_RS05090,9362,9525,9017,10357,9199,10795,5115,6840,6489
SYNPCC7942_RS05095,6924,7652,6554,7651,6957,7183,3871,5953,5700
SYNPCC7942_RS05100,5496,5955,5342,4806,4488,4790,3078,3374,3596
SYNPCC7942_RS05105,2749,2897,2444,2804,2336,2366,1328,1736,1743
SYNPCC7942_RS05110,1420,1608,1302,1172,1216,1132,686,810,758
SYNPCC7942_RS05115,6624,6713,5640,7407,5454,6701,3501,4166,3734
SYNPCC7942_RS05120,15032,15588,13003,11728,10258,6015,5649,8178,10260
SYNPCC7942_RS05125,40747,43273,39715,48592,40845,43223,20949,36489,40510
SYNPCC7942_RS13725,3207,2788,2923,2208,1792,2034,1158,1110,1347
SYNPCC7942_RS05130,4901,5662,4572,5752,4958,5112,2646,4202,4740
SYNPCC7942_RS05135,5528,6072,5366,4302,4291,4277,2872,3092,3152
