Label,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
SYNPCC7942_RS00385,2239,2342,2153,2773,2066,2048,1630,1774,1803
SYNPCC7942_RS00390,15036,14929,14949,14949,11979,12666,8297,9291,10406
SYNPCC7942_RS00395,12563,14277,11765,15142,14491,13254,7040,14292,13345
SYNPCC7942_RS00400,3205,3428,2688,3428,2989,2948,1647,2679,2844
SYNPCC7942_RS00405,15294,15400,12145,13508,12423,11478,6455,9497,9410
SYNPCC7942_RS00410,1152,1242,969,1076,914,912,530,772,622
SYNPCC7942_RS00415,2791,3104,2262,2381,2172,1878,1260,1789,1994
SYNPCC7942_RS00420,6406,6647,5963,6906,5716,5980,3843,4224,4946
SYNPCC7942_RS00425,31208,30911,33265,32276,26292,34048,17199,18968,20779
SYNPCC7942_RS00430,24727,25822,23506,26244,21687,23254,13111,18441,20833
SYNPCC7942_RS00435,6747,7215,6794,7787,6488,7321,4284,5687,6791
SYNPCC7942_RS00440,8568,8595,7460,8777,6555,9348,8227,5446,5104
SYNPCC7942_RS00445,2530,2594,2441,2259,1956,2493,2326,1625,1503
SYNPCC7942_RS00450,8218,8908,7099,8339,7031,6494,4610,5498,5057
SYNPCC7942_RS00455,4816,5347,4453,4667,4386,4153,2536,3268,3142
SYNPCC7942_RS00460,4183,4307,3429,5941,4852,5620,1866,4611,4315
SYNPCC7942_RS00465,6396,6366,5966,7096,5596,6273,4007,4647,5289
SYNPCC7942_RS00470,1810,2030,1568,2020,1758,1736,946,1376,1598
SYNPCC7942_RS00475,560,710,508,667,604,638,312,478,480
SYNPCC7942_RS00480,34876,38482,31918,34717,34086,33653,27200,30707,29570
SYNPCC7942_RS00490,17009,16666,17228,21820,14368,17788,19657,13056,16774
SYNPCC7942_RS00495,6004,6159,5350,6200,5482,6280,2998,4226,3816
SYNPCC7942_RS00500,27496,29555,28382,27833,23945,28806,15335,16647,16568
SYNPCC7942_RS00505,2194,2053,1996,1892,1510,1728,1284,1120,1221
SYNPCC7942_RS00510,4822,4940,5649,5256,4420,5050,4718,2845,2609
SYNPCC7942_RS00515,38852,40170,34375,39674,32177,35711,17952,26432,27062
SYNPCC7942_RS00520,7767,7276,8000,8504,6884,8484,4375,5375,5183
SYNPCC7942_RS00525,798,742,630,862,608,828,432,448,622
SYNPCC7942_RS00530,2946,2968,2770,2896,2600,2454,1410,2083,2036
SYNPCC7942_RS00535,5465,5850,5170,6162,5595,5953,2696,4781,4976
SYNPCC7942_RS00540,2348,2628,2436,3432,2720,3228,1492,2736,2672
SYNPCC7942_RS00545,4314,5029,3714,5220,4291,3650,2064,4322,5364
SYNPCC7942_RS00550,170,230,170,253,278,139,94,166,138
SYNPCC7942_RS00555,11398,12038,12276,12729,10793,13107,8898,7334,6145
SYNPCC7942_RS00560,2574,2767,2512,2557,2276,2306,1755,1601,1658
SYNPCC7942_RS00565,2792,3292,2806,2968,2594,2609,1638,1912,2032
SYNPCC7942_RS00570,1108,1150,962,956,1122,1016,494,822,768
SYNPCC7942_RS00575,351,342,282,249,212,245,134,160,163
SYNPCC7942_RS00580,9206,9708,8457,10735,9006,9378,5488,7945,9693
SYNPCC7942_RS13655,1166,1248,1070,1655,1280,1516,592,1270,1234
SYNPCC7942_RS00585,2938,3301,2595,3418,2890,2970,1926,2880,3038
SYNPCC7942_RS13660,3506,3551,2936,3650,3212,3466,2085,2858,2879
SYNPCC7942_RS00590,52008,57053,51442,54487,47063,49280,28169,39480,41561
SYNPCC7942_RS00595,1711,1696,1524,1694,1361,1590,742,1144,1370
SYNPCC7942_RS00600,542,588,400,598,602,540,234,628,386
SYNPCC7942_RS00605,896,866,904,900,956,990,528,752,668
SYNPCC7942_RS00610,758,868,630,666,708,666,340,534,550
SYNPCC7942_RS00615,18,24,16,34,20,16,14,16,26
SYNPCC7942_RS00620,2826,2526,2342,2330,1774,2164,1411,1232,1752
SYNPCC7942_RS00625,166,170,132,142,166,112,64,70,114
SYNPCC7942_RS00630,1634,1724,1471,1528,1196,1345,878,1042,1208
SYNPCC7942_RS00635,17104,18398,17124,18036,14861,16848,10591,13138,13516
SYNPCC7942_RS00640,3429,3898,2942,2835,3064,2580,2068,2088,1642
SYNPCC7942_RS00645,3194,3264,3049,2878,2414,2983,1586,1480,1530
SYNPCC7942_RS00650,7144,7651,6407,7414,6483,6302,3890,4590,5307
SYNPCC7942_RS00655,1648,1720,1284,1759,1532,1601,928,1104,1072
SYNPCC7942_RS00660,8061,8986,8278,7624,7569,8178,4968,5182,4334
SYNPCC7942_RS00665,9475,9380,9175,9521,8536,9043,5958,6682,6204
SYNPCC7942_RS00670,2366,2534,2116,2162,1925,1875,1082,1404,1486
SYNPCC7942_RS00675,5668,5475,4916,6231,4578,5315,2938,3512,4042
SYNPCC7942_RS00680,5749,6493,5253,5532,5187,5064,2920,4120,4147
SYNPCC7942_RS00685,778,790,602,758,640,518,430,458,540
SYNPCC7942_RS00690,2633,2882,2198,2390,2360,2674,1256,1682,1328
SYNPCC7942_RS00695,30078,32138,26058,30839,27047,27148,16375,22588,22541
SYNPCC7942_RS00700,4501,4902,3612,4382,4085,3836,2538,3092,3714
SYNPCC7942_RS00705,57055,67142,60492,54568,53240,47672,30999,46358,51303
SYNPCC7942_RS00710,3460,3678,3053,4028,3511,3446,1897,3604,3754
SYNPCC7942_RS00715,13373,13419,12497,12654,11014,11963,7080,8118,7973
SYNPCC7942_RS00720,24796,26999,21938,22351,21049,20013,12152,16303,14695
SYNPCC7942_RS00725,23246,25238,21964,24218,21385,23632,15103,16710,16793
SYNPCC7942_RS00730,3712,3668,3412,4042,3683,3924,2550,3233,2794
SYNPCC7942_RS00735,1546,1532,1114,1496,1096,1096,714,964,1024
SYNPCC7942_RS00740,5094,5183,4414,5092,4326,4812,2420,3551,3806
SYNPCC7942_RS00745,15548,13969,16543,20744,13776,20062,9504,13682,15233
SYNPCC7942_RS00750,6805,6991,6622,6747,5377,5889,3134,3917,4140
SYNPCC7942_RS00755,468,524,471,488,422,472,184,320,382
SYNPCC7942_RS00760,2300,2600,1924,2044,2168,2124,1064,1724,1552
SYNPCC7942_RS00765,11363,11685,9734,10826,8891,9280,6606,7132,7050
SYNPCC7942_RS00770,11390,11171,9599,9680,8998,8444,5328,7776,5484
SYNPCC7942_RS00775,14547,14929,12832,14218,12058,11152,8749,10314,9159
SYNPCC7942_RS00780,2769,3048,2442,2688,2505,2318,1474,1902,2200
SYNPCC7942_RS00785,240,248,222,192,178,194,112,176,160
SYNPCC7942_RS00790,23960,24582,20306,24068,21186,20555,15544,18054,16117
SYNPCC7942_RS00795,31815,30290,29164,35317,28240,34659,25421,20438,28403
SYNPCC7942_RS00800,40997,44473,37663,47220,41289,41076,20246,40494,37582
SYNPCC7942_RS00805,1098,1068,1250,1474,1176,1648,738,1229,879
SYNPCC7942_RS00810,5527,6004,5004,6734,5720,6200,3050,4056,4279
SYNPCC7942_RS00815,3762,3843,3141,3265,2686,2780,2296,2156,2385
SYNPCC7942_RS00820,2995,2791,2915,3289,2104,2131,1688,2010,2951
SYNPCC7942_RS00825,6931,6411,7219,8667,5928,7662,4455,5460,7342
SYNPCC7942_RS00830,19058,19143,19708,21618,17580,23288,11184,14368,16166
SYNPCC7942_RS00835,6506,6696,6351,7018,5165,5568,3442,4468,5423
SYNPCC7942_RS00840,8242,9163,7684,7704,6717,6554,3629,5681,6033
SYNPCC7942_RS00845,653,792,598,954,750,694,346,408,512
SYNPCC7942_RS00850,3596,3779,3164,3532,3061,3352,2018,2544,2118
SYNPCC7942_RS00855,25528,25769,24733,23115,19328,21601,13910,12860,13548
SYNPCC7942_RS00860,66496,69155,64049,68495,48139,50778,34887,37452,38032
SYNPCC7942_RS00865,4735,4280,5208,5464,4356,5671,3177,3361,3740
SYNPCC7942_RS00870,2970,3470,2824,3267,3220,2916,1470,2452,2450
SYNPCC7942_RS00875,654,647,518,610,536,710,307,426,346
SYNPCC7942_RS00880,692,832,610,778,720,590,430,500,506
SYNPCC7942_RS00885,1180,1368,1152,1325,1120,1254,730,1064,1154
SYNPCC7942_RS00890,216,238,176,218,186,176,134,160,146
SYNPCC7942_RS13665,5494,6416,5077,6338,5260,4446,2943,4758,6247
SYNPCC7942_RS00900,7484,7839,7157,8202,6699,8181,3875,6593,6194
SYNPCC7942_RS00905,4629,5341,4248,5798,4776,4958,3060,4546,5153
SYNPCC7942_RS00910,850,896,676,880,677,724,442,426,566
SYNPCC7942_RS00915,4637,3921,3889,4207,3569,4774,2453,2322,2938
SYNPCC7942_RS00920,9937,9368,8974,9040,7872,8493,5544,5693,6769
SYNPCC7942_RS00925,1702,1738,1448,1900,1436,1677,1028,1180,1436
SYNPCC7942_RS00930,2054,1650,1766,1936,1476,1532,888,1226,1448
SYNPCC7942_RS00935,2671,2844,2772,3294,2702,3157,1424,2156,2293
SYNPCC7942_RS00940,2510,2586,2133,2328,2158,2312,1168,1522,1470
SYNPCC7942_RS00945,354,304,322,298,266,266,158,176,202
SYNPCC7942_RS00950,4638,4976,4472,4695,4804,5156,2626,3131,2508
SYNPCC7942_RS00955,2072,2316,2022,2692,2280,2718,1212,1618,1632
SYNPCC7942_RS00960,45049,50679,43860,45863,44123,47918,22371,38831,38019
SYNPCC7942_RS00965,1054,1018,834,896,894,858,500,766,820
SYNPCC7942_RS00970,12628,15247,11357,13439,13415,12026,6826,11886,11607
SYNPCC7942_RS00975,9403,9906,9194,9106,8913,8741,6264,6975,6622
SYNPCC7942_RS00980,17324,16579,19103,22516,14123,17592,11522,11937,15567
SYNPCC7942_RS00985,12985,13068,10879,12207,9874,11286,6495,7642,8180
SYNPCC7942_RS00990,26654,25221,31877,26684,17685,26185,15736,12291,21142
SYNPCC7942_RS00995,10500,10788,8658,14815,11799,12368,5381,13001,11435
SYNPCC7942_RS01000,17903,18539,13460,25126,21568,22694,8782,24551,21756
SYNPCC7942_RS01005,8028,7996,7263,8884,7041,7722,4588,5426,5983
SYNPCC7942_RS01010,7860,7125,7450,8625,6815,8474,4730,5081,5460
SYNPCC7942_RS01015,1972,1832,2078,2096,1672,1660,1202,1277,1638
SYNPCC7942_RS01020,5991,5512,5433,6302,5399,6185,3810,3314,3741
SYNPCC7942_RS01025,11611,12390,12281,13481,11021,13136,7301,7613,9338
SYNPCC7942_RS01030,1899,2136,1540,2076,1680,1514,844,1392,1624
SYNPCC7942_RS01035,4899,4365,4738,5170,3385,4338,2750,2812,3535
SYNPCC7942_RS01040,2236,2174,2254,3071,2382,3706,1078,2196,2456
SYNPCC7942_RS01045,530,472,372,450,406,430,190,294,292
SYNPCC7942_RS14130,1192,1244,1184,1636,1474,1912,702,1298,1332
SYNPCC7942_RS01055,4568,4647,4052,4762,4422,4558,2318,3846,3707
SYNPCC7942_RS01060,692,798,648,812,576,638,438,598,778
SYNPCC7942_RS01065,654,710,656,632,568,434,350,454,552
SYNPCC7942_RS01070,3674,4006,3360,4026,3689,3696,1828,2830,2852
SYNPCC7942_RS01075,6634,7350,6256,7230,6345,6713,3491,4912,5518
SYNPCC7942_RS01080,1981,2124,1888,2180,1870,2102,1234,1328,1436
SYNPCC7942_RS01085,3692,3924,3336,3575,2686,2958,2539,2137,2726
SYNPCC7942_RS01090,11860,11622,11957,11329,7072,7693,10656,5079,7725
SYNPCC7942_RS01095,3496,3544,3098,3793,2950,3484,2162,2345,2357
SYNPCC7942_RS01100,12477,11073,8995,16514,10950,11041,5484,10721,10741
SYNPCC7942_RS01105,138,132,111,114,96,128,56,58,52
SYNPCC7942_RS01110,1610,1818,1378,1490,1424,1335,734,1121,1104
SYNPCC7942_RS01115,1378,1473,1138,1555,1284,1194,610,1065,1036
SYNPCC7942_RS01120,3854,4192,3408,4176,3856,4096,2359,2860,2652
SYNPCC7942_RS01125,5016,5098,4579,5360,4544,4329,2582,3938,3952
SYNPCC7942_RS01130,2702,2949,2226,2771,2331,2316,1338,2146,2041
SYNPCC7942_RS01135,8365,8941,8176,10467,7900,9085,5356,6721,7225
SYNPCC7942_RS01140,11027,11848,10483,13642,10888,14413,8269,8747,7783
SYNPCC7942_RS01145,33683,33286,30923,28708,25334,25449,21088,21591,20720
SYNPCC7942_RS01150,3874,3850,3437,3537,3252,3120,2291,2295,1909
SYNPCC7942_RS01155,7828,7369,6227,6665,5754,5068,3858,4528,3811
SYNPCC7942_RS01160,726,728,664,696,724,514,322,508,540
SYNPCC7942_RS01165,5632,5887,5673,6336,5287,5832,3058,4789,4239
SYNPCC7942_RS01170,4358,4818,4106,4510,3568,3956,2772,3220,3288
SYNPCC7942_RS01175,436,430,400,420,324,370,166,290,302
SYNPCC7942_RS01180,2286,2630,1900,1768,1930,1676,1070,1160,1140
SYNPCC7942_RS01185,5693,5600,5470,5458,4518,4624,2443,2846,3410
SYNPCC7942_RS01190,2942,3448,2560,2690,2888,2512,1322,1876,1318
SYNPCC7942_RS01195,1784,1871,1550,1554,1424,1186,776,1062,1136
SYNPCC7942_RS01200,7254,8014,7749,5774,5662,5196,3656,3962,4404
SYNPCC7942_RS01205,1745,1938,1662,1910,1586,1806,1038,1330,1188
SYNPCC7942_RS01210,3762,4176,3113,3778,3425,3244,1890,2838,2649
SYNPCC7942_RS01215,1486,1546,1170,1202,1334,1127,842,952,822
SYNPCC7942_RS01220,32748,34608,33705,28937,25989,28615,37114,20542,19472
SYNPCC7942_RS01225,5517,5748,5186,5839,4858,4912,3092,3566,4041
SYNPCC7942_RS01235,11009,12061,10625,10041,9398,9479,5413,7021,7126
SYNPCC7942_RS01240,18410,20764,16342,26142,21203,21751,10021,20200,18040
SYNPCC7942_RS01245,188322,194127,207880,224278,178236,243687,99404,132148,137221
SYNPCC7942_RS01250,73069,77045,80618,92422,73602,98580,41585,54298,56957
SYNPCC7942_RS01255,5494,5814,4144,3912,4050,3314,2150,2658,2176
SYNPCC7942_RS01260,2736,3218,2186,2368,2168,1936,1168,1542,1376
SYNPCC7942_RS01265,4486,4920,4056,4294,3679,3672,2175,2778,2643
SYNPCC7942_RS01270,1910,2031,1696,1788,1602,1508,848,1300,1258
SYNPCC7942_RS01275,1196,1523,1222,1313,1178,1268,554,876,786
SYNPCC7942_RS01280,6605,6698,7116,7424,5785,8004,3461,4863,5632
SYNPCC7942_RS01285,67927,66542,74375,79079,53867,66449,47707,43051,55921
SYNPCC7942_RS01290,27896,22135,32654,46135,23528,28932,30330,23638,25332
SYNPCC7942_RS01295,82461,84693,76439,88651,62775,72013,48738,55670,65264
SYNPCC7942_RS01300,16827,17064,16796,17694,14767,18097,9135,10379,12738
SYNPCC7942_RS01305,9564,10644,9916,10887,9641,10258,5534,7722,8522
SYNPCC7942_RS01310,4925,5151,4849,5519,4736,5391,2422,3870,3892
SYNPCC7942_RS01315,1862,2166,2167,2333,2447,2553,1613,2184,1626
SYNPCC7942_RS01320,12049,11520,11450,8950,8024,7922,9489,5251,4264
SYNPCC7942_RS01325,466203,480301,470839,489634,396116,419948,313631,361960,376624
SYNPCC7942_RS01330,1767,1696,1448,1630,1306,1265,792,1174,1264
SYNPCC7942_RS01335,37037,38023,35908,39259,30162,33673,21440,23764,25828
SYNPCC7942_RS01340,6161,6422,5967,6040,5365,6054,3646,3866,3533
SYNPCC7942_RS01345,3732,4294,3121,4256,3406,3498,1938,2518,2880
SYNPCC7942_RS01350,1808,2240,1894,2111,2052,2016,1066,1750,1582
SYNPCC7942_RS01355,5000,5452,4558,5765,5242,5763,2678,4289,3803
SYNPCC7942_RS13905,83120,86133,96886,96133,73402,97154,76984,59479,60129
SYNPCC7942_RS01360,17649,18506,18478,21594,15447,20391,14710,13439,14971
SYNPCC7942_RS01365,1294,1218,1106,1191,972,958,591,884,904
SYNPCC7942_RS01370,3014,3670,2890,3867,3706,3690,1850,2976,3404
SYNPCC7942_RS01375,3946,4328,3618,3706,3222,3626,2050,2542,2440
SYNPCC7942_RS01380,1322,1422,1109,1036,972,854,502,696,768
SYNPCC7942_RS01385,2085,2290,1658,1836,1896,1722,908,1219,1330
SYNPCC7942_RS01390,498,604,504,521,478,420,218,368,362
SYNPCC7942_RS01395,1074,964,968,972,731,862,462,514,604
SYNPCC7942_RS01400,1192,1122,970,1040,898,1096,586,848,901
SYNPCC7942_RS01405,8647,9295,8485,7938,7861,8002,5502,6128,6540
SYNPCC7942_RS01410,5054,5369,4913,5043,4764,5159,2542,3390,3268
SYNPCC7942_RS01415,3932,4112,4605,4572,3296,4497,2172,2148,2606
SYNPCC7942_RS01420,7642,8389,8744,7721,6820,7523,3524,4114,5024
SYNPCC7942_RS01425,2388,2680,2229,2973,2502,2598,1234,2218,2304
SYNPCC7942_RS01430,10944,12302,10405,10852,10565,11158,5486,9317,8334
SYNPCC7942_RS01435,38617,44875,37803,42646,42308,44979,21869,38300,33419
SYNPCC7942_RS01440,1190,1368,1166,1190,956,1068,596,710,786
SYNPCC7942_RS01445,4748,5108,4035,3482,3557,3180,2294,2723,2634
SYNPCC7942_RS01450,2589,3122,2061,1800,1846,1362,1029,1470,1501
SYNPCC7942_RS01455,1469,1276,1230,1162,1036,1206,664,642,660
SYNPCC7942_RS13610,1003,1109,814,924,742,760,398,674,616
SYNPCC7942_RS01465,3682,3932,3260,3380,3010,2908,1829,2264,1766
SYNPCC7942_RS01470,54073,57547,50696,52549,46418,46588,30337,37894,41017
SYNPCC7942_RS01475,2752,3250,2648,2908,2810,2764,1442,2282,2068
SYNPCC7942_RS01480,46,34,36,72,36,38,26,22,20
SYNPCC7942_RS01485,19010,17437,20706,20368,13524,16470,11093,8340,9793
SYNPCC7942_RS01490,4776,4913,4707,5289,3941,4461,2560,3076,3173
SYNPCC7942_RS01495,691,900,602,642,756,470,446,494,458
SYNPCC7942_RS01500,36988,41431,34299,22887,26264,25028,33333,16205,11871
SYNPCC7942_RS01505,9086,10641,8412,7536,7520,7048,6315,6328,5562
