Label,Se_Rt_CC_90_1,Se_Rt_CC_90_2,Se_Rt_CC_90_3,Se_Rt_CC_140_1,Se_Rt_CC_140_2,Se_Rt_CC_140_3,Se_Rt_CC_190_1,Se_Rt_CC_190_2,Se_Rt_CC_190_3,Se_ax_90_1,Se_ax_90_2,Se_ax_90_3,Se_ax_140_1,Se_ax_140_2,Se_ax_140_3,Se_ax_190_1,Se_ax_190_2,Se_ax_190_3
SYNPCC7942_RS00805,829,687,1003,764,587,407,441,654,784,1098,1068,1250,1474,1176,1648,738,1229,879
SYNPCC7942_RS00810,3920,2792,3954,3664,3073,1916,1934,2606,3429,5527,6004,5004,6734,5720,6200,3050,4056,4279
SYNPCC7942_RS00815,2930,2864,3440,2117,2300,1887,1595,2453,2600,3762,3843,3141,3265,2686,2780,2296,2156,2385
SYNPCC7942_RS00820,2607,2792,2512,2431,2320,2489,3023,3783,2428,2995,2791,2915,3289,2104,2131,1688,2010,2951
SYNPCC7942_RS00825,5188,5155,4453,4628,4363,3440,5741,6032,5184,6931,6411,7219,8667,5928,7662,4455,5460,7342
SYNPCC7942_RS00830,15072,14398,11373,10502,12936,11553,11173,14701,11304,19058,19143,19708,21618,17580,23288,11184,14368,16166
SYNPCC7942_RS00835,4615,3797,4416,3490,3277,2690,2590,3737,3998,6506,6696,6351,7018,5165,5568,3442,4468,5423
SYNPCC7942_RS00840,6310,5680,6001,4734,4818,3258,3178,4124,3724,8242,9163,7684,7704,6717,6554,3629,5681,6033
SYNPCC7942_RS00845,876,526,976,646,540,576,222,374,298,653,792,598,954,750,694,346,408,512
SYNPCC7942_RS00850,2138,2160,2466,1376,1530,975,1186,1524,1920,3596,3779,3164,3532,3061,3352,2018,2544,2118
SYNPCC7942_RS00855,16576,17462,17083,8836,10462,6571,6819,10884,10134,25528,25769,24733,23115,19328,21601,13910,12860,13548
SYNPCC7942_RS00860,43624,41141,45695,29823,29521,23363,21266,28769,33604,66496,69155,64049,68495,48139,50778,34887,37452,38032
SYNPCC7942_RS00865,3259,2788,3128,2875,2744,2389,2864,3215,3430,4735,4280,5208,5464,4356,5671,3177,3361,3740
SYNPCC7942_RS00870,2148,1788,2594,2149,1818,1190,1276,1669,1674,2970,3470,2824,3267,3220,2916,1470,2452,2450
SYNPCC7942_RS00875,358,308,374,260,342,202,186,228,228,654,647,518,610,536,710,307,426,346
SYNPCC7942_RS00880,504,394,540,386,258,182,210,330,362,692,832,610,778,720,590,430,500,506
SYNPCC7942_RS00885,946,756,972,958,814,578,582,716,956,1180,1368,1152,1325,1120,1254,730,1064,1154
SYNPCC7942_RS00890,184,182,212,159,162,124,120,154,180,216,238,176,218,186,176,134,160,146
SYNPCC7942_RS13665,4081,2976,4143,4453,3693,3470,2809,4026,2884,5494,6416,5077,6338,5260,4446,2943,4758,6247
SYNPCC7942_RS00900,5583,4509,4991,4762,4580,3712,3985,4729,5553,7484,7839,7157,8202,6699,8181,3875,6593,6194
SYNPCC7942_RS00905,3992,3146,4470,3948,3384,2538,3042,3640,5290,4629,5341,4248,5798,4776,4958,3060,4546,5153
SYNPCC7942_RS00910,580,414,614,380,448,336,356,462,412,850,896,676,880,677,724,442,426,566
SYNPCC7942_RS00915,2689,2705,3084,2162,2588,2110,1940,2450,2703,4637,3921,3889,4207,3569,4774,2453,2322,2938
SYNPCC7942_RS00920,6523,6071,7387,5800,6254,5153,4676,5805,7203,9937,9368,8974,9040,7872,8493,5544,5693,6769
SYNPCC7942_RS00925,1314,1208,1466,1058,1060,1040,976,1302,1198,1702,1738,1448,1900,1436,1677,1028,1180,1436
SYNPCC7942_RS00930,1252,1314,1314,1136,1088,932,962,1164,1052,2054,1650,1766,1936,1476,1532,888,1226,1448
SYNPCC7942_RS00935,2227,1610,1820,1754,1638,1336,1448,1731,1872,2671,2844,2772,3294,2702,3157,1424,2156,2293
SYNPCC7942_RS00940,1804,1648,1682,1162,1258,740,820,1182,1258,2510,2586,2133,2328,2158,2312,1168,1522,1470
SYNPCC7942_RS00945,220,196,251,168,152,106,112,158,128,354,304,322,298,266,266,158,176,202
SYNPCC7942_RS00950,3752,2880,3414,2620,2368,1504,1748,2084,2858,4638,4976,4472,4695,4804,5156,2626,3131,2508
SYNPCC7942_RS00955,1642,1204,1558,1406,1064,748,934,1224,1194,2072,2316,2022,2692,2280,2718,1212,1618,1632
SYNPCC7942_RS00960,38155,33695,33589,33656,32240,20640,24148,26405,29400,45049,50679,43860,45863,44123,47918,22371,38831,38019
SYNPCC7942_RS00965,594,544,608,470,516,296,326,494,564,1054,1018,834,896,894,858,500,766,820
SYNPCC7942_RS00970,8504,7960,10586,7920,8558,5205,4664,6568,8120,12628,15247,11357,13439,13415,12026,6826,11886,11607
SYNPCC7942_RS00975,6980,5787,7562,5026,4778,3513,3889,5560,6637,9403,9906,9194,9106,8913,8741,6264,6975,6622
SYNPCC7942_RS00980,14969,11831,11010,9941,10662,11137,10198,14133,10620,17324,16579,19103,22516,14123,17592,11522,11937,15567
SYNPCC7942_RS00985,8704,7837,9076,5948,6742,4945,4666,6874,6598,12985,13068,10879,12207,9874,11286,6495,7642,8180
SYNPCC7942_RS00990,30303,27625,23162,17833,21194,20930,17327,24656,19787,26654,25221,31877,26684,17685,26185,15736,12291,21142
SYNPCC7942_RS00995,6946,6273,7112,5944,6905,4538,4278,6196,6337,10500,10788,8658,14815,11799,12368,5381,13001,11435
SYNPCC7942_RS01000,11283,10245,11185,9958,11423,8156,8381,12218,12276,17903,18539,13460,25126,21568,22694,8782,24551,21756
SYNPCC7942_RS01005,4894,4814,4645,2922,3312,1932,2379,3766,3130,8028,7996,7263,8884,7041,7722,4588,5426,5983
SYNPCC7942_RS01010,5313,5075,4222,2492,2674,1674,2302,3197,2991,7860,7125,7450,8625,6815,8474,4730,5081,5460
SYNPCC7942_RS01015,1402,1239,1106,696,658,368,480,878,552,1972,1832,2078,2096,1672,1660,1202,1277,1638
SYNPCC7942_RS01020,3540,3634,2792,1540,1676,1017,1500,2138,2042,5991,5512,5433,6302,5399,6185,3810,3314,3741
SYNPCC7942_RS01025,8849,7993,7159,4545,4335,2920,3696,5072,4382,11611,12390,12281,13481,11021,13136,7301,7613,9338
SYNPCC7942_RS01030,1494,1116,1336,1120,918,624,710,958,834,1899,2136,1540,2076,1680,1514,844,1392,1624
SYNPCC7942_RS01035,3261,3257,3136,2308,2432,2022,2280,3008,2586,4899,4365,4738,5170,3385,4338,2750,2812,3535
SYNPCC7942_RS01040,1608,1408,1300,1276,1558,1226,1068,1524,1174,2236,2174,2254,3071,2382,3706,1078,2196,2456
SYNPCC7942_RS01045,384,258,378,280,270,196,240,306,340,530,472,372,450,406,430,190,294,292
