Label,Se_Rt_CC_90_1,Se_Rt_CC_90_2,Se_Rt_CC_90_3,Se_Rt_CC_140_1,Se_Rt_CC_140_2,Se_Rt_CC_140_3,Se_Rt_CC_190_1,Se_Rt_CC_190_2,Se_Rt_CC_190_3,Se_ax_90_1,Se_ax_90_2,Se_ax_90_3,Se_ax_140_1,Se_ax_140_2,Se_ax_140_3,Se_ax_190_1,Se_ax_190_2,Se_ax_190_3
SYNPCC7942_RS03050,10249,10493,10401,8544,9194,7506,8484,9779,12192,14095,14354,15670,15782,13860,19327,11653,11607,11452
SYNPCC7942_RS03055,2092,1624,2072,1446,1586,1248,1206,1774,1560,2696,2884,2438,3315,2438,2736,1396,2194,2418
SYNPCC7942_RS03060,1106,1028,1400,754,838,550,554,812,850,1491,1758,1374,1351,1356,1272,858,988,1108
SYNPCC7942_RS03065,36355,35673,47685,21989,28831,17678,15145,26283,24952,53794,59826,40878,46751,54894,46564,25086,44106,32168
SYNPCC7942_RS03070,3213,2622,2225,2508,2294,1536,1806,2142,2479,3151,3068,3478,3951,2705,4072,2277,1610,1550
SYNPCC7942_RS03075,18282,15549,13571,14846,12619,8923,10411,12338,10650,19214,20596,22395,21281,16197,18759,11783,9431,10606
SYNPCC7942_RS03080,13450,11014,12066,14292,13260,9134,11869,11337,14831,17235,18233,16789,20560,18659,22387,9624,17272,15278
SYNPCC7942_RS03090,5090,4824,5246,2596,3226,2246,2000,3227,3270,8415,8252,6685,8822,7452,7762,3977,5955,5471
SYNPCC7942_RS03095,27882,27295,31719,13856,18770,12456,10179,16656,18192,50957,49136,41221,52659,43986,46796,25472,35370,29022
SYNPCC7942_RS03100,14689,16397,20039,11107,11933,8355,7720,12213,12669,18627,21670,17540,15655,15281,13709,11715,11371,10898
SYNPCC7942_RS03105,1918,1656,1758,1338,1601,1052,1102,1388,1424,2659,2746,2455,2594,2320,2588,1422,1676,1552
SYNPCC7942_RS03110,786,730,846,598,578,432,424,592,631,1174,1162,902,1104,944,1182,606,836,880
SYNPCC7942_RS03115,1260,984,1413,1202,938,761,816,1140,970,1646,1662,1448,1349,1302,902,913,922,960
SYNPCC7942_RS03120,7473,6183,6805,5803,5564,4233,4837,6240,6716,9583,9691,8966,10950,9319,11116,5630,8149,8987
SYNPCC7942_RS03125,6590,5886,6730,4376,4810,3480,3236,4520,4392,8769,9828,8018,6921,6970,6796,3959,4982,4398
SYNPCC7942_RS03130,7320,5739,7646,5857,5766,4672,5024,6901,8339,8727,9916,7874,8593,8868,7994,5687,7438,5863
SYNPCC7942_RS03135,5812,4836,5540,4660,4822,3314,3440,5238,5032,7986,9239,7220,9049,8451,7908,4180,7374,7074
SYNPCC7942_RS03140,5273,4974,6141,3726,4030,2570,2356,3364,4302,7890,9069,6682,7927,7200,7242,4412,5434,4942
SYNPCC7942_RS03145,770,712,762,430,522,342,374,538,630,1158,1242,978,1254,974,1058,566,692,770
SYNPCC7942_RS03150,6465,5989,6982,3782,4778,3216,3104,4574,5180,9478,9816,8303,8304,7872,8044,4905,6240,5234
SYNPCC7942_RS03155,2551,2174,2483,2125,2057,1565,1742,2185,2126,3286,3706,2804,3089,2992,2824,1672,2294,2032
SYNPCC7942_RS03160,1296,1052,1358,908,872,546,574,842,918,1905,1954,1418,1962,1616,1478,868,1352,1362
SYNPCC7942_RS03165,1338,1260,1194,900,938,738,640,986,848,1691,1676,1500,1686,1302,1542,786,1068,1328
SYNPCC7942_RS03170,21933,20016,24622,16183,16589,11280,10187,14610,16863,28409,33530,25533,25749,26347,23044,15140,20405,17163
SYNPCC7942_RS03175,5636,5643,5918,3246,4057,3054,2634,4112,3435,8231,8276,6927,6967,6031,5820,3979,4271,4271
SYNPCC7942_RS03180,8078,6512,8009,5912,5733,3922,4510,6100,7513,9955,10896,9559,12197,9587,10526,7509,8108,8188
SYNPCC7942_RS03185,15154,12215,12965,11179,12316,8563,9089,12202,13814,18422,18956,17325,21442,17027,18761,10859,15444,15878
SYNPCC7942_RS03190,19757,18001,19897,14303,15551,11600,11102,15409,14816,28258,28708,26818,27649,23567,25295,14902,19073,19620
SYNPCC7942_RS03195,12959,6910,12196,11287,7270,9568,11128,9003,13138,17068,18299,15689,20235,16744,10236,11686,14593,9301
SYNPCC7942_RS03200,8759,6716,7573,7397,7129,5857,6953,8610,8262,10025,11010,8906,13727,10404,11920,6487,10776,12570
SYNPCC7942_RS03205,19608,17420,18598,15328,16231,12132,12374,16729,16473,30622,32937,26590,35437,28249,28788,15901,26276,26879
SYNPCC7942_RS03210,12034,12518,11949,11376,11480,9433,9079,11326,11001,13811,15269,13834,13469,11545,12433,7976,9826,11160
SYNPCC7942_RS03215,77,78,72,44,66,26,40,76,52,76,76,46,106,52,86,48,52,44
SYNPCC7942_RS03220,672,526,728,668,608,424,552,562,596,718,870,718,736,774,740,376,504,772
SYNPCC7942_RS03225,2629,2142,3446,1916,1688,1062,1332,1790,2234,3724,4090,3108,4180,3334,2788,2120,2904,3199
SYNPCC7942_RS03230,332,294,326,212,251,196,232,284,278,416,510,290,405,338,294,202,290,274
SYNPCC7942_RS03235,10832,9789,12257,6215,6992,5102,5130,7256,8938,18699,18056,15700,17396,15940,15659,9977,12429,9213
SYNPCC7942_RS03240,15838,11328,19388,14309,15594,13471,12417,15051,13872,15630,15876,15131,10601,9427,9051,14417,7255,5367
SYNPCC7942_RS03245,26648,18718,33982,25103,27972,24618,23260,27359,25765,26113,25284,25462,18506,15785,15080,26564,12407,8643
SYNPCC7942_RS03250,38828,29297,44603,38740,38029,28704,33560,38303,42288,48174,50126,46313,51607,43232,47503,37419,38421,33685
SYNPCC7942_RS03255,26937,20628,26100,27142,26106,20798,26544,28170,34195,33537,33048,33379,38569,32296,38524,22898,30517,27747
SYNPCC7942_RS03260,54670,42945,51860,56651,53603,43479,57221,56878,85099,68720,67918,68406,79984,66699,84233,48694,60230,52330
SYNPCC7942_RS03265,32287,24660,28809,33181,30393,25378,32067,33612,43558,37941,36576,34950,39871,32584,36304,23884,31278,28188
SYNPCC7942_RS03270,20322,18161,18498,19213,18632,14896,15306,17591,18894,28546,30720,28229,29298,25831,28483,15900,21942,23144
SYNPCC7942_RS03275,8393,7482,8427,7654,7508,6409,6418,8598,9584,10761,11215,10539,11733,9311,10302,7966,8849,9256
SYNPCC7942_RS03280,6784,6554,9327,4210,5585,3170,3175,4926,4589,10410,11217,8132,7669,8153,7074,4828,6371,4557
SYNPCC7942_RS03285,7538,6549,6716,7527,7761,5746,6416,7562,9337,9049,10023,9203,10324,9854,11204,5408,9252,9250
SYNPCC7942_RS03290,4691,4349,4876,3892,4256,2930,2976,3700,4290,6947,7534,6464,6776,6255,6883,3718,4910,4630
SYNPCC7942_RS03295,10246,8734,10058,8533,9327,7629,7570,10406,10781,14150,15177,13035,17782,14065,14903,9001,13133,13088
SYNPCC7942_RS03300,4424,3664,3954,3607,3979,3287,3697,4371,5257,4675,4862,5092,5838,4681,6243,3011,4339,4690
SYNPCC7942_RS03305,39705,32351,31384,31667,30971,24492,25813,29860,32563,49653,48373,49176,58860,43483,56236,27822,29791,32920
SYNPCC7942_RS03310,37196,37885,41011,29648,30977,22164,22918,30625,34459,46537,49991,45694,41525,36669,38131,30650,28417,31107
SYNPCC7942_RS03315,688,740,769,602,440,282,325,429,580,1138,1200,850,894,850,919,592,660,668
SYNPCC7942_RS03320,14317,12999,11316,10481,10382,9372,9991,13156,11507,15300,16017,17526,20153,14624,19551,10721,10480,12244
SYNPCC7942_RS13685,2194,1961,1980,2176,1722,1034,1422,1568,2065,3609,3835,3594,3371,3295,3522,1613,2246,2287
SYNPCC7942_RS03325,73167,63872,75178,56211,61981,41041,42088,52941,73844,113629,112905,105405,103522,99769,109141,56710,80706,65656
SYNPCC7942_RS03330,8019,4614,6684,3011,3214,1784,2086,4026,3297,11410,10802,9275,17823,12106,13780,5240,10273,11524
SYNPCC7942_RS03335,13527,11090,13219,8261,9151,6548,5512,8734,7337,18684,19545,16711,21225,15952,16252,8517,12165,14132
SYNPCC7942_RS03340,4568,4014,5278,3383,3501,2347,2253,3412,3543,6635,7296,5410,6437,5473,5241,2934,4998,5017
SYNPCC7942_RS03345,16426,14407,15613,11661,14094,9634,9761,11899,16842,22781,23479,21389,22732,19958,23097,12317,17148,15180
SYNPCC7942_RS03350,14860,12694,15532,11383,11942,8764,9156,13103,13994,20560,21672,19582,21479,18678,19300,12245,15633,15715
SYNPCC7942_RS03355,137678,155135,164352,146533,171149,144483,146732,210323,178638,160791,161401,140930,128750,115169,101482,166217,91931,103654
SYNPCC7942_RS03360,313972,367476,354751,307370,377887,320209,325992,471230,440451,365134,365187,319940,313775,273235,290307,422553,228150,230542
SYNPCC7942_RS03365,93699,89283,89249,57881,64224,59397,49176,73466,76487,98917,96854,106318,100695,77806,112659,64209,64284,76121
SYNPCC7942_RS03370,7916,8318,8851,5941,7271,7231,5076,7290,6409,12622,11483,10906,11793,8199,9869,6371,6152,6327
SYNPCC7942_RS03375,7230,5592,7339,6392,6502,4066,4967,6239,8068,8958,10240,7846,11167,10098,11487,5307,10166,9148
SYNPCC7942_RS03380,2362,1826,2318,1634,1738,1106,1200,1776,1684,2973,3430,2666,2903,2448,2444,1548,2065,2820
SYNPCC7942_RS03385,4917,3902,4338,3778,3762,2500,2726,3320,3534,6373,7154,5788,6911,6419,6585,3038,5852,5606
SYNPCC7942_RS03390,13459,12097,12490,9683,9714,7989,8408,11734,10329,16193,17102,18161,18526,13158,16425,12880,9102,11876
SYNPCC7942_RS03395,3062,2296,2992,2358,2346,1592,1700,2378,2494,4014,4344,3428,4050,3552,3818,2000,2786,2634
SYNPCC7942_RS03400,1988,1620,1920,1352,1296,1007,1064,1552,1534,3263,3374,2995,3154,2705,3008,1547,2198,2142
SYNPCC7942_RS03405,2278,2014,2454,1856,1728,1286,1272,1750,2015,2994,3550,2814,3163,2895,2748,1550,2164,2468
SYNPCC7942_RS03410,1354,1014,1260,836,806,512,652,732,792,1340,1572,1238,1548,1368,1498,732,1036,1032
SYNPCC7942_RS03415,21369,19536,19024,18836,18174,15743,15447,19238,14608,23945,25109,24044,22964,18703,19471,12467,15460,20404
SYNPCC7942_RS03425,774,646,904,644,669,372,390,584,644,1026,1164,748,1030,820,815,472,660,724
SYNPCC7942_RS03430,1956,1931,2196,1374,1396,832,960,1390,1373,2905,2978,2678,2529,2392,2482,1360,1705,1788
SYNPCC7942_RS03435,747,714,768,684,662,578,542,676,530,1902,1820,1646,1594,1250,1190,820,970,1180
SYNPCC7942_RS03440,3751,4394,3582,3225,4286,3332,2547,3694,2957,6390,6334,5106,6305,4918,4518,2632,3348,3706
SYNPCC7942_RS03445,1575,1310,1680,1384,1238,898,1090,1300,1492,1892,2176,1962,2178,1650,1838,1282,1266,1336
SYNPCC7942_RS03450,12624,13737,16942,8398,9766,7326,6514,10475,11485,18543,19045,18197,14960,12315,13809,13568,8775,10193
SYNPCC7942_RS03455,3445,2910,3987,3042,2703,1708,2192,2700,4182,3550,4169,3204,3761,3532,3867,2822,2794,2698
SYNPCC7942_RS03460,8591,6192,8183,9492,7664,6174,6694,6179,8411,8542,9089,7342,7686,6265,6333,4450,4925,4795
SYNPCC7942_RS03465,26425,18989,23620,25167,22131,19340,19195,21631,21977,48526,48249,47035,47072,37202,44235,31061,28643,28567
SYNPCC7942_RS03470,3966,3614,4129,3174,2925,2198,2278,3090,3502,5194,5207,5152,5248,4118,5392,3376,2927,3087
SYNPCC7942_RS03475,490,434,498,488,392,345,457,516,616,722,660,607,815,610,645,347,564,544
SYNPCC7942_RS03480,75092,47467,83237,79883,63875,46850,71946,78593,102835,59540,73730,46303,63868,53613,43517,41909,49861,65736
SYNPCC7942_RS03485,6293,4956,6259,4161,4212,2976,3589,4309,5263,8270,8292,8013,8669,7052,9451,5373,5050,6302
SYNPCC7942_RS03490,1964,1500,2088,1428,1222,882,1156,1476,1466,2471,2952,2126,2626,2308,2032,1288,1830,1718
SYNPCC7942_RS03495,3882,3492,3972,2570,2636,1720,1544,2148,2448,5627,6175,5046,4336,4706,4466,2686,3330,2766
SYNPCC7942_RS03500,1990,1538,2034,1616,1296,960,1232,1366,1334,2420,2742,1930,2590,2064,1962,1016,1663,2054
SYNPCC7942_RS03505,1408,1313,1548,1154,1108,746,764,1134,1038,2234,2534,2060,1930,1828,1535,1104,1304,1319
SYNPCC7942_RS03510,27171,21832,29526,18056,20419,16095,16589,26497,27898,34085,35376,32505,33713,25079,21561,24367,20745,18023
SYNPCC7942_RS03515,21230,17678,17851,19236,18865,16499,18034,20120,21050,29790,29956,29850,35088,28753,34564,19472,23523,27445
SYNPCC7942_RS03520,24054,21405,21573,22866,20249,16176,20148,20501,24668,34696,36049,33249,43475,35509,45005,23224,31585,35886
SYNPCC7942_RS03525,22908,19042,21860,16266,17616,12397,12669,16924,20154,30820,31554,27511,35079,28804,33039,17647,24850,24640
SYNPCC7942_RS03530,604,538,640,460,510,436,344,564,528,910,855,707,1030,748,860,424,720,770
SYNPCC7942_RS03535,1284,950,1386,1176,1066,662,674,824,1210,1894,2332,1410,1864,1734,1558,750,1462,1284
SYNPCC7942_RS03540,7681,5598,7439,7642,7030,4952,7297,7767,10113,10958,10612,10134,12032,9951,12423,5769,8469,8931
SYNPCC7942_RS13620,414,318,372,438,292,234,252,388,276,433,668,470,484,458,378,254,370,480
SYNPCC7942_RS03550,1098,978,1078,866,729,566,778,866,998,1504,1510,1632,2028,1574,2020,1170,1024,1286
SYNPCC7942_RS03555,388,256,398,312,282,170,222,290,294,502,492,422,488,359,408,198,294,380
SYNPCC7942_RS03560,28125,21819,30926,26835,27660,16229,18709,22849,30377,30184,35588,27829,24902,28532,26910,17608,21234,18404
SYNPCC7942_RS03565,16950,15644,16387,17386,16862,13537,15722,18370,18824,23040,22561,20869,20382,17334,18664,12826,15175,17339
SYNPCC7942_RS03570,22533,26910,26137,17802,22942,18640,18019,27577,26157,25848,26839,23220,21386,19504,17772,27577,14736,11294
SYNPCC7942_RS03575,359899,413493,412358,286075,376510,295163,286182,432914,475629,406961,408594,371865,311485,274644,274707,401340,196238,167517
SYNPCC7942_RS03580,5351,5445,5588,4693,5487,4343,4510,5059,6100,7750,7501,6846,8261,6729,7280,4386,5772,4800
SYNPCC7942_RS03585,4860,5834,6472,3720,3924,3238,2337,3702,3471,6063,6407,5497,4963,5042,4218,3287,3845,3044
SYNPCC7942_RS03590,49405,54966,50924,32951,45405,34896,42295,67672,65974,74330,66974,80029,82865,59637,83180,70986,44506,63302
SYNPCC7942_RS03595,1804,1575,1630,1590,1248,694,1040,1361,1232,2064,2378,2031,2342,1943,2229,1200,1653,1672
SYNPCC7942_RS03600,618,490,530,444,400,208,296,441,444,718,864,598,814,822,752,408,560,662
SYNPCC7942_RS03605,16072,13381,14140,11694,11154,7072,7765,10171,11977,19217,19773,21643,18675,16784,20093,13844,9496,8751
SYNPCC7942_RS03610,3179,2536,3080,2286,2083,1476,1632,2250,2290,3113,3179,3413,2906,2538,2453,2053,1619,1846
SYNPCC7942_RS03615,4382,3540,4248,3006,3044,2064,1930,3104,3234,6894,6681,6340,6666,5756,6029,3893,3821,3996
SYNPCC7942_RS03620,2116,1469,2228,1412,1470,962,1058,1302,1562,2880,2918,2204,3016,2515,2576,1645,1840,1874
SYNPCC7942_RS03625,1704,1468,1504,1238,1290,822,912,1210,1342,2104,2436,2074,2268,2042,2331,1200,1620,1338
SYNPCC7942_RS03630,30531,26806,31061,25519,27282,21239,20470,26376,32608,46663,48876,41625,45852,44976,45926,22565,36358,28635
SYNPCC7942_RS03635,646,620,658,450,514,384,332,594,468,978,1016,662,910,718,582,416,582,564
SYNPCC7942_RS03640,7352,6462,8455,6334,5718,4167,5382,6704,6391,9933,11154,9407,10613,8590,9320,6768,6896,8397
SYNPCC7942_RS03645,8138,7966,9654,5762,6794,4640,4599,6592,6332,11825,12287,10548,9624,9475,9667,6710,6979,5910
SYNPCC7942_RS03650,104282,74576,86806,86828,72681,57719,66646,69562,92027,130054,137775,126576,134914,124753,121047,67816,113389,95723
SYNPCC7942_RS03655,10974,9798,11082,7969,8510,5890,6181,8319,8828,15043,15521,14095,16527,13724,14240,8071,11454,12601
SYNPCC7942_RS03660,4416,4328,4444,2974,3232,2244,2242,3206,3636,6624,6581,5944,6872,5505,6424,3428,4048,4182
SYNPCC7942_RS03665,42,40,54,46,38,36,8,38,46,44,58,38,60,67,62,26,34,50
SYNPCC7942_RS03670,8016,6744,9094,4960,4591,3018,3466,4447,4751,13504,15329,10155,10564,10818,7669,5576,7615,6077
SYNPCC7942_RS03675,88,70,90,60,50,58,26,30,24,38,60,40,52,24,46,16,16,10
SYNPCC7942_RS03680,664,612,708,720,626,482,534,658,562,1352,1434,1028,1238,1304,1104,666,1092,976
SYNPCC7942_RS03685,80,48,64,58,66,48,30,62,32,86,146,92,92,98,74,56,74,92
SYNPCC7942_RS03695,68,68,60,30,34,22,32,64,50,75,122,82,122,96,94,64,70,66
SYNPCC7942_RS03700,224,170,238,146,136,94,142,166,174,322,322,246,328,300,366,144,172,248
SYNPCC7942_RS03705,156,148,194,136,122,74,110,96,98,296,246,226,244,252,178,96,176,178
SYNPCC7942_RS03710,18,8,14,10,14,4,2,16,12,26,28,44,38,26,14,10,16,16
SYNPCC7942_RS03720,36,62,70,62,50,28,36,56,24,54,62,64,108,72,76,40,66,59
SYNPCC7942_RS03725,166,116,122,146,64,86,92,84,124,164,164,110,164,176,140,76,124,114
SYNPCC7942_RS03730,142,100,172,92,88,70,50,60,48,218,228,188,190,138,148,62,112,108
SYNPCC7942_RS03735,3987,3280,3230,2817,2760,2790,3935,4722,4617,4936,4155,5104,5460,3590,3997,3596,3002,3439
SYNPCC7942_RS03745,1479,1109,1346,1096,886,1342,1272,2066,958,1795,1485,1984,1708,1059,1082,1230,836,1206
SYNPCC7942_RS03750,505,348,458,310,350,174,190,318,294,538,656,568,632,514,574,292,454,506
SYNPCC7942_RS03755,18,10,20,12,10,12,18,24,18,18,22,38,18,6,18,10,8,16
SYNPCC7942_RS03760,1094,804,1032,794,784,504,738,916,956,1466,1750,1312,1470,1462,1348,680,1040,1130
SYNPCC7942_RS03765,9104,6589,8497,8038,6601,4635,5821,7110,7214,10203,11482,8872,11533,10296,9168,5170,8428,9797
SYNPCC7942_RS03770,2086,1514,1806,1690,1636,1072,1200,1344,1646,3454,3560,2890,3762,3382,3678,1464,2934,3210
SYNPCC7942_RS03775,578,518,644,501,352,236,280,358,392,832,882,732,754,648,688,382,464,586
SYNPCC7942_RS03780,918,804,804,540,528,342,436,422,414,1180,1338,1044,1130,976,914,504,784,824
SYNPCC7942_RS03785,652,566,516,438,344,340,414,486,358,912,906,946,1136,752,1120,590,730,749
SYNPCC7942_RS03790,1666,1392,1370,1212,1054,848,908,948,1036,2140,2362,2044,2824,2208,2424,1472,2060,1988
SYNPCC7942_RS03795,2918,2588,2806,2023,1870,1372,1604,1812,2258,3834,3865,3706,4078,3594,3918,2548,2874,2652
SYNPCC7942_RS03800,442,346,382,280,244,200,240,304,288,506,616,524,572,602,632,356,466,506
SYNPCC7942_RS03805,646,512,524,436,472,300,280,382,442,738,846,750,876,854,964,466,802,600
SYNPCC7942_RS03810,506,490,570,388,396,294,308,396,422,798,960,668,911,724,774,554,798,638
SYNPCC7942_RS03815,708,614,686,572,514,402,404,494,446,886,916,770,1062,984,950,545,756,660
SYNPCC7942_RS13625,722,536,576,460,416,330,382,570,580,756,862,590,848,706,760,426,636,610
SYNPCC7942_RS03825,576,508,588,506,432,348,406,448,500,632,674,536,664,614,432,306,518,552
SYNPCC7942_RS03830,1012,892,1166,979,966,704,798,1100,1122,1050,1078,890,1004,822,746,636,802,840
SYNPCC7942_RS03835,302,240,282,246,256,162,186,180,220,404,406,348,466,412,342,168,274,328
SYNPCC7942_RS03840,486,474,432,420,350,292,306,470,452,644,676,584,670,672,606,408,512,528
SYNPCC7942_RS03845,2564,2238,2190,1995,1791,1344,1332,1938,1960,2795,2800,2563,3058,2360,2213,1448,1576,1856
SYNPCC7942_RS03850,20735,18728,17623,19883,19400,14686,17899,21951,24972,21536,23767,19791,25951,21569,26926,13670,20508,19941
SYNPCC7942_RS03855,9306,7983,7924,6712,6780,4351,4982,6471,6858,12613,13189,11630,13637,11837,12748,6106,9346,9027
SYNPCC7942_RS03860,8268,6226,6827,4678,4890,3092,3386,5126,4994,11676,12328,9839,13886,9996,11638,5380,8970,9260
SYNPCC7942_RS03865,2077,1592,1614,1132,1128,796,933,1348,1134,2630,2924,2547,3276,2534,2746,1362,2130,2244
SYNPCC7942_RS03870,1632,1408,1550,802,874,548,626,800,800,2170,2115,1906,2224,1838,1934,1158,1376,1300
SYNPCC7942_RS03875,420,402,366,252,202,180,176,232,188,582,662,534,580,452,456,284,406,400
SYNPCC7942_RS03880,120,62,104,74,58,48,54,58,18,72,102,68,110,86,64,36,60,90
SYNPCC7942_RS13935,70,34,44,16,50,32,20,34,30,56,48,60,40,40,58,24,62,46
SYNPCC7942_RS03885,2504,2104,2220,1690,1686,1158,1248,1608,1562,3340,3538,3227,3845,2868,3196,1716,2376,2590
SYNPCC7942_RS03890,382,274,344,304,216,148,176,258,216,390,404,380,426,344,354,202,338,412
SYNPCC7942_RS03895,18,12,36,28,28,24,22,38,34,32,50,34,94,46,40,24,30,48
SYNPCC7942_RS03900,768,528,693,562,520,442,486,638,572,836,910,746,1026,834,850,416,850,782
SYNPCC7942_RS03910,861,588,654,709,504,390,518,548,572,1030,1406,993,1609,1372,1482,484,1162,1090
SYNPCC7942_RS03915,4,8,16,10,0,4,6,4,4,4,18,8,6,4,2,2,4,16
SYNPCC7942_RS13940,84,84,74,34,32,52,28,32,10,100,90,116,102,98,92,62,100,64
SYNPCC7942_RS03920,500,378,362,194,150,107,132,186,150,610,582,544,738,630,646,446,556,504
SYNPCC7942_RS03925,2171,1706,2702,1868,1781,1377,1156,1471,2062,4379,3995,3730,3986,3555,3762,1927,2576,2952
SYNPCC7942_RS13690,2713,2466,3042,2212,2513,2210,1727,2442,2445,5537,5011,4850,5310,4449,5104,2867,3635,4026
SYNPCC7942_RS03930,11307,11104,12346,7368,9127,9229,6169,9454,9191,19873,18365,18194,18505,14647,18063,9744,11958,17109
SYNPCC7942_RS03935,2486,2182,2529,1395,1733,1312,1154,1610,1499,4371,3691,3432,3843,3184,4127,1769,2700,3469
SYNPCC7942_RS03940,7588,6180,7241,6662,7006,4723,5288,6108,8471,13431,11922,11214,14874,13147,16185,6809,12346,11478
SYNPCC7942_RS03950,28096,24817,27291,28616,28957,30269,29317,32901,34919,47588,42538,46435,52256,41227,51510,30926,36461,39188
SYNPCC7942_RS03955,525,474,518,392,346,316,338,393,448,858,725,718,820,592,678,556,488,672
SYNPCC7942_RS03960,738,744,688,434,532,557,538,712,580,1288,1047,1207,1169,754,982,719,558,842
SYNPCC7942_RS13695,6722,6582,5403,3759,4999,5667,4238,6348,4588,9365,8682,9692,9286,6695,7807,5026,5281,6090
SYNPCC7942_RS03965,56,30,38,22,30,12,36,34,20,82,56,48,46,54,42,32,26,34
SYNPCC7942_RS03970,448,344,398,308,276,206,212,282,268,590,602,478,482,454,536,252,358,424
SYNPCC7942_RS13700,172,146,146,124,134,72,78,98,136,236,208,170,180,158,156,90,104,162
SYNPCC7942_RS03975,484,428,322,346,452,400,426,344,374,616,662,618,758,524,740,346,472,450
SYNPCC7942_RS13945,0,4,0,0,6,0,4,2,0,0,2,4,2,2,8,2,2,4
SYNPCC7942_RS13950,44,22,38,18,34,12,8,26,20,28,36,36,24,28,14,30,26,34
SYNPCC7942_RS13955,16772,14935,12769,13494,13113,14453,12607,15469,15606,16745,15399,18292,19067,12338,19073,14589,7776,9757
SYNPCC7942_RS03985,11482,9900,10396,10074,9008,5886,8531,9419,10543,12131,12600,13665,12941,9333,11534,10047,6522,8489
SYNPCC7942_RS03990,5894,6020,6250,4521,5380,2370,2914,4216,4992,8129,8278,7710,7729,6721,8143,5439,4309,5087
SYNPCC7942_RS03995,6639,7062,7189,4581,5432,2973,3152,5475,4685,10207,10626,10959,9877,8140,10164,7062,5216,6474
SYNPCC7942_RS04000,4590,3556,4222,4495,3750,3142,3606,3733,4674,5568,5883,5560,6125,5774,5033,3430,5246,4712
SYNPCC7942_RS04005,1546,1498,1724,1042,1128,776,694,990,1078,2342,2450,2012,1860,1788,1760,1016,1234,1198
SYNPCC7942_RS04010,3965,3458,3972,2778,3124,2216,2300,3374,3594,9128,9354,8481,10346,8167,10105,5564,6177,6633
SYNPCC7942_RS04015,6492,5230,5956,5519,4850,3780,4298,5574,5333,7593,8043,6588,8188,6146,6278,4202,5456,7342
SYNPCC7942_RS04020,1188,1032,1298,892,856,480,618,727,792,1762,2136,1394,1594,1492,1508,702,1194,1182
SYNPCC7942_RS04025,5694,4974,6929,4052,3730,2389,2516,3752,4379,7161,8192,6333,6376,5828,5477,4146,4632,4349
SYNPCC7942_RS04030,6225,5115,5676,4627,4615,3494,3734,5111,4657,7233,7768,6809,7842,6340,6694,3916,4960,5803
SYNPCC7942_RS04035,622,638,826,542,506,318,330,554,526,958,1034,796,882,956,830,402,594,702
SYNPCC7942_RS04040,80215,60860,72668,63448,67439,52358,55409,72789,84337,107604,109458,92695,129191,100832,114035,60694,90212,88327
SYNPCC7942_RS04045,9301,7556,7965,7420,6991,4754,5531,6816,7354,10700,11156,10980,11885,10301,12374,5738,7948,8847
SYNPCC7942_RS04050,14730,13422,14640,14094,13588,14717,14849,18946,19543,16011,16305,19506,16672,11441,15231,18456,8403,11960
SYNPCC7942_RS04055,15797,12806,14453,13632,13775,10573,11783,14168,16635,20226,21278,19893,22574,20240,23230,12061,18462,19060
SYNPCC7942_RS04060,1972,1742,2367,1697,1514,1056,1080,1588,1800,2518,2708,2130,2384,2174,1983,1242,1540,1790
SYNPCC7942_RS13710,2443,1964,2383,2186,1830,1280,1412,1794,1886,3221,3656,2908,3402,3142,3189,1660,2406,3006
SYNPCC7942_RS04065,932,746,1038,782,752,498,600,794,890,1230,1386,1164,1396,1258,1304,642,943,960
SYNPCC7942_RS04070,554,418,616,432,414,294,322,350,514,696,788,480,628,664,492,328,452,410
SYNPCC7942_RS04075,4160,3386,4631,3027,3102,2186,2314,3762,3887,5790,6718,4931,5718,5387,4176,3378,3911,3335
SYNPCC7942_RS04080,6344,5707,7092,5343,5406,3144,4006,5304,6379,8460,9391,7580,8070,8108,7126,4980,6740,5287
SYNPCC7942_RS04085,2206,2026,2249,1272,1524,850,1006,1475,1694,2875,3068,2743,2915,2654,3555,1964,1968,1955
SYNPCC7942_RS04090,35167,36345,44810,28705,34785,23966,23041,33914,35319,54879,59360,45701,48872,46086,44390,32262,39364,34115
SYNPCC7942_RS04095,3015,2521,2830,2522,2558,1690,1944,2388,2782,3978,4190,3653,4467,4049,4259,2217,3494,3498
SYNPCC7942_RS04100,7621,6616,7264,6555,7468,4950,5498,6606,8793,10162,10654,9401,11319,10442,12001,5960,9768,8330
SYNPCC7942_RS04105,4484,4224,4676,3799,3449,2958,2610,3054,3554,8175,7728,7115,7125,6173,6560,3615,4114,4046
SYNPCC7942_RS04110,50752,47036,54148,37942,37395,28263,25858,37395,39192,70899,71656,66889,68904,60739,59269,41591,49532,48463
SYNPCC7942_RS04115,1290,1080,1352,828,812,472,514,728,1024,2036,2161,1810,2252,2049,2180,884,1632,1310
SYNPCC7942_RS04120,2870,2312,2692,2577,2188,1554,1994,2338,3068,3306,3135,2998,3851,3276,3790,2208,2490,2527
SYNPCC7942_RS04125,24544,20470,19479,50990,39227,40319,51232,41884,46829,15870,18419,18626,9038,8668,9932,19580,4787,4163
SYNPCC7942_RS04130,6282,4989,5057,12302,8147,8162,11361,8577,10754,5275,5664,5539,3948,3436,3915,5668,2453,2408
